,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
0,1,Ohio State,14,136,231,36,403,28.8
1,2,UCF,13,174,141,32,347,26.7
2,3,Texas Tech,12,95,200,24,319,26.6
3,4,Oklahoma,14,160,188,21,369,26.4
4,5,Oklahoma State,13,132,184,23,339,26.1
5,6,Texas A&M,13,151,154,31,336,25.8
6,7,Houston,13,147,160,27,334,25.7
7,8,Baylor,13,146,156,29,331,25.5
8,9,Alabama,15,155,195,21,371,24.7
9,9,North Texas,13,108,182,31,321,24.7
10,11,Memphis,14,165,154,25,344,24.6
11,11,Wake Forest,13,158,141,21,320,24.6
12,11,Missouri,13,129,160,31,320,24.6
13,14,Ohio,13,169,119,30,318,24.5
14,14,Washington State,13,58,235,25,318,24.5
15,16,North Carolina State,13,100,185,30,315,24.2
16,16,Boise State,13,128,169,17,314,24.2
17,16,West Virginia,12,98,173,19,290,24.2
18,19,Mississippi,12,105,163,21,289,24.1
19,20,Florida Atlantic,12,156,115,17,288,24.0
20,21,Clemson,15,158,180,20,358,23.9
21,22,Georgia,14,169,141,21,331,23.6
22,22,Ball State,12,111,147,25,283,23.6
23,24,Cincinnati,13,161,129,15,305,23.5
24,24,Arizona,12,114,130,38,282,23.5
25,24,Indiana,12,106,143,33,282,23.5
26,27,Syracuse,13,141,134,29,304,23.4
27,27,Notre Dame,13,127,156,21,304,23.4
28,29,Utah State,13,122,164,17,303,23.3
29,29,Old Dominion,12,89,156,35,280,23.3
30,31,Texas,14,129,170,26,325,23.2
31,31,Nebraska,12,130,130,18,278,23.2
32,33,Arkansas State,13,122,156,22,300,23.1
33,34,Toledo,13,132,134,33,299,23.0
34,34,Liberty,12,101,153,22,276,23.0
35,36,Western Michigan,13,129,136,31,296,22.8
36,36,Colorado State,12,84,165,25,274,22.8
37,36,East Carolina,12,91,150,32,273,22.8
38,39,LSU,13,129,132,34,295,22.7
39,40,Virginia Tech,13,126,145,19,290,22.3
40,41,Washington,14,130,156,24,310,22.1
41,41,Buffalo,14,136,128,45,309,22.1
42,43,Air Force,12,185,62,17,264,22.0
43,44,Oregon State,12,106,138,19,263,21.9
44,45,Army,13,230,37,17,284,21.8
45,45,Florida,13,144,123,17,284,21.8
46,45,South Florida,13,128,137,19,284,21.8
47,45,Purdue,13,97,156,31,284,21.8
48,49,Massachusetts,12,88,155,17,260,21.7
49,50,Hawai'i,14,94,182,26,302,21.6
50,50,South Carolina,13,104,157,20,281,21.6
51,52,Wisconsin,13,172,100,8,280,21.5
52,52,Michigan,13,136,123,21,280,21.5
53,52,Arizona State,13,127,131,21,279,21.5
54,52,Oregon,13,118,140,21,279,21.5
55,56,UAB,14,154,125,20,299,21.4
56,57,Penn State,13,133,116,28,277,21.3
57,57,North Carolina,11,105,117,12,234,21.3
58,59,Georgia Tech,13,219,39,18,276,21.2
59,59,Virginia,13,136,124,16,276,21.2
60,59,Vanderbilt,13,108,137,30,275,21.2
61,62,Middle Tennessee,14,114,157,25,296,21.1
62,62,Temple,13,104,154,16,274,21.1
63,62,UCLA,12,98,134,21,253,21.1
64,65,Florida International,13,106,143,24,273,21.0
65,66,Nevada,13,102,154,16,272,20.9
66,66,Western Kentucky,12,102,125,24,251,20.9
67,68,Louisiana Tech,13,100,143,27,270,20.8
68,68,Connecticut,12,128,93,29,250,20.8
69,68,Kent State,12,113,108,28,249,20.8
70,68,Southern Mississippi,11,77,132,20,229,20.8
71,72,Minnesota,13,121,119,29,269,20.7
72,72,Coastal Carolina,12,127,96,25,248,20.7
73,72,Colorado,12,91,133,24,248,20.7
74,75,Northwestern,14,92,160,35,287,20.5
75,75,Duke,13,113,137,17,267,20.5
76,75,UNLV,12,135,89,22,246,20.5
77,75,Louisiana-Monroe,12,106,122,18,246,20.5
78,75,New Mexico State,12,78,139,29,246,20.5
79,80,Appalachian State,13,131,112,22,265,20.4
80,80,Auburn,13,128,115,22,265,20.4
81,82,Utah,14,136,127,21,284,20.3
82,82,Georgia State,12,113,110,21,244,20.3
83,84,Michigan State,13,92,146,25,263,20.2
84,84,Tulsa,12,133,97,12,242,20.2
85,86,Fresno State,14,105,159,18,282,20.1
86,86,Iowa,13,99,138,24,261,20.1
87,88,Marshall,13,114,129,17,260,20.0
88,88,SMU,12,75,135,30,240,20.0
89,90,Kentucky,13,139,96,23,258,19.8
90,90,Charlotte,12,119,96,22,237,19.8
91,92,Louisiana-Lafayette,14,140,118,18,276,19.7
92,93,Mississippi State,13,153,87,15,255,19.6
93,94,Illinois,12,125,91,17,233,19.4
94,94,Boston College,12,114,107,12,233,19.4
95,96,Northern Illinois,14,140,111,19,270,19.3
96,96,California,13,111,113,27,251,19.3
97,96,Iowa State,13,103,123,25,251,19.3
98,96,Stanford,13,66,150,35,251,19.3
99,96,USC,12,83,125,23,231,19.3
100,101,BYU,13,108,121,20,249,19.2
101,102,Bowling Green,12,78,128,23,229,19.1
102,103,Troy,13,107,120,20,247,19.0
103,103,Miami (Ohio),12,86,123,19,228,19.0
104,105,TCU,13,114,119,13,246,18.9
105,106,Kansas State,12,116,87,22,225,18.8
106,106,Louisville,12,95,114,16,225,18.8
107,108,Tulane,13,133,93,17,243,18.7
108,109,Eastern Michigan,13,94,124,20,238,18.3
109,109,Arkansas,12,95,101,23,219,18.3
110,111,Navy,13,181,38,14,233,17.9
111,111,Kansas,12,86,111,18,215,17.9
112,113,South Alabama,12,96,94,23,213,17.8
113,114,New Mexico,12,110,85,15,210,17.5
114,115,Texas State,12,92,94,23,209,17.4
115,116,Pittsburgh,14,153,72,17,242,17.3
116,116,San Diego State,13,105,105,15,225,17.3
117,116,Florida State,12,61,129,17,207,17.3
118,119,Miami (Florida),13,117,89,16,222,17.1
119,120,Wyoming,12,116,72,16,204,17.0
120,121,Georgia Southern,13,169,38,13,220,16.9
121,122,Maryland,12,122,63,17,202,16.8
122,122,Akron,12,69,105,27,201,16.8
123,122,San Jose State,12,43,141,17,201,16.8
124,125,Rice,13,91,106,13,210,16.2
125,126,Tennessee,12,75,96,21,192,16.0
126,127,UTEP,12,79,90,17,186,15.5
127,128,UTSA,12,70,97,16,183,15.3
128,129,Rutgers,12,86,72,24,182,15.2
129,130,Central Michigan,12,85,76,20,181,15.1
