,Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
0,1,Clemson,15,23,13,20,0,0,197,13.1
1,2,Mississippi State,13,15,22,15,0,0,171,13.2
2,3,Fresno State,14,23,13,19,1,0,198,14.1
3,4,Appalachian State,13,21,18,21,0,0,201,15.5
4,5,Washington,14,26,17,20,1,0,229,16.4
5,6,Kentucky,13,27,11,24,0,0,219,16.8
6,7,UAB,14,28,15,25,0,0,238,17.0
7,8,Michigan State,13,24,17,22,2,1,223,17.2
8,8,Cincinnati,13,28,10,26,0,0,224,17.2
9,10,Army,13,30,7,23,3,0,230,17.7
10,11,Iowa,13,28,12,25,1,0,231,17.8
11,12,Alabama,15,35,9,34,0,0,271,18.1
12,13,Notre Dame,13,28,14,25,1,0,237,18.2
13,14,Auburn,13,26,22,25,0,1,249,19.2
14,14,Georgia,14,32,15,28,2,0,269,19.2
15,16,Michigan,13,32,10,30,0,0,252,19.4
16,16,Utah,14,35,9,33,1,0,272,19.4
17,18,Miami (Florida),13,28,19,28,0,0,253,19.5
18,19,Southern Mississippi,11,27,10,24,1,0,218,19.8
19,20,Florida,13,30,17,25,1,1,260,20.0
20,21,Virginia,13,30,16,25,3,1,261,20.1
21,22,California,13,32,14,29,1,0,265,20.4
22,23,Penn State,13,34,9,32,0,2,267,20.5
23,24,BYU,13,37,7,33,1,0,278,21.4
24,25,Georgia Southern,13,35,12,30,2,0,280,21.5
25,26,LSU,13,35,13,26,4,0,283,21.8
26,26,Marshall,13,33,18,30,1,0,284,21.8
27,28,Wyoming,12,33,12,30,0,0,264,22.0
28,28,Troy,13,38,7,31,3,0,286,22.0
29,30,Eastern Michigan,13,34,18,29,0,0,287,22.1
30,30,Boise State,13,35,15,32,0,0,287,22.1
31,32,San Diego State,13,35,13,27,3,3,288,22.2
32,32,Utah State,13,33,19,24,4,1,289,22.2
33,34,Wisconsin,13,33,21,31,1,0,294,22.6
34,34,Northern Illinois,14,35,25,28,1,1,317,22.6
35,36,UCF,13,35,18,31,0,0,295,22.7
36,37,Stanford,13,33,22,32,0,1,298,22.9
37,37,Iowa State,13,37,13,37,0,0,298,22.9
38,39,Louisiana Tech,13,39,9,36,0,1,299,23.0
39,40,TCU,13,38,11,35,0,2,300,23.1
40,41,Northwestern,14,38,20,33,1,1,325,23.2
41,42,Washington State,13,38,12,33,2,1,303,23.3
42,43,North Texas,13,38,15,35,2,1,314,24.2
43,44,Ohio,13,42,9,37,1,1,320,24.6
44,45,North Carolina State,13,39,17,37,1,0,324,24.9
45,46,Florida International,13,42,11,39,2,0,328,25.2
46,47,Texas A&M,13,43,9,36,4,0,329,25.3
47,48,Kansas State,12,37,15,34,1,1,305,25.4
48,48,Oregon,13,38,23,33,0,0,330,25.4
49,50,Miami (Ohio),12,42,5,37,0,1,306,25.5
50,50,Missouri,13,39,20,35,0,1,331,25.5
51,50,Arizona State,13,40,17,37,1,1,332,25.5
