,Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
0,1,Mississippi State,13,1236,2184,829,3420,4.13,263.1
1,2,Michigan,13,1656,1921,781,3577,4.58,275.2
2,3,Southern Mississippi,11,1130,1932,672,3062,4.56,278.4
3,4,Miami (Florida),13,1863,1763,843,3626,4.30,278.9
4,5,Clemson,15,1444,2844,1023,4288,4.19,285.9
5,6,Appalachian State,13,1637,2107,845,3744,4.43,288.0
6,7,Iowa,13,1424,2393,837,3817,4.56,293.6
7,8,Army,13,1388,2454,688,3842,5.58,295.5
8,9,UAB,14,1653,2536,875,4189,4.79,299.2
9,10,Michigan State,13,1013,2928,869,3941,4.54,303.2
10,11,Cincinnati,13,1469,2477,840,3946,4.70,303.5
11,12,Washington,14,1626,2661,918,4287,4.67,306.2
12,13,Georgia,14,1876,2524,890,4400,4.94,314.3
13,14,Utah,14,1404,3014,956,4418,4.62,315.6
14,15,California,13,1847,2276,898,4123,4.59,317.2
15,16,Alabama,15,1819,2974,981,4793,4.89,319.5
16,17,Fresno State,14,1851,2652,953,4503,4.73,321.6
17,18,BYU,13,1691,2522,891,4213,4.73,324.1
18,19,Wyoming,12,1554,2360,818,3914,4.78,326.2
19,20,Virginia,13,1918,2379,815,4297,5.27,330.5
20,21,San Diego State,13,1349,3001,854,4350,5.09,334.6
21,22,Charlotte,12,1268,2780,700,4048,5.78,337.3
22,23,Kentucky,13,1971,2422,838,4393,5.24,337.9
23,24,TCU,13,1802,2595,906,4397,4.85,338.2
24,25,LSU,13,1802,2601,915,4403,4.81,338.7
25,25,Marshall,13,1355,3048,913,4403,4.82,338.7
26,27,Louisiana Tech,13,1946,2491,880,4437,5.04,341.3
27,28,Florida,13,2113,2350,872,4463,5.12,343.3
28,29,Wisconsin,13,2016,2458,814,4474,5.50,344.2
29,30,Notre Dame,13,1813,2703,957,4516,4.72,347.4
30,31,Troy,13,1673,2850,896,4523,5.05,347.9
31,32,Texas A&M,13,1238,3291,785,4529,5.77,348.4
32,33,Iowa State,13,1495,3044,898,4539,5.05,349.2
33,34,Penn State,13,2197,2359,965,4556,4.72,350.5
34,35,Eastern Michigan,13,2646,1953,922,4599,4.99,353.8
35,36,Central Michigan,12,2456,1808,860,4264,4.96,355.3
36,37,Auburn,13,1767,2853,897,4620,5.15,355.4
37,37,Buffalo,14,2256,2719,949,4975,5.24,355.4
38,39,Boise State,13,1598,3029,820,4627,5.64,355.9
39,40,Northern Illinois,14,1529,3469,1046,4998,4.78,357.0
40,41,Georgia Southern,13,1827,2815,851,4642,5.45,357.1
41,42,Washington State,13,1839,2835,838,4674,5.58,359.5
42,43,Air Force,12,1403,2928,732,4331,5.92,360.9
43,44,Miami (Ohio),12,1916,2502,843,4418,5.24,368.2
44,45,Arkansas State,13,2493,2311,862,4804,5.57,369.5
45,46,Georgia Tech,13,2053,2752,804,4805,5.98,369.6
46,47,Temple,13,2407,2436,1036,4843,4.67,372.5
47,48,North Texas,13,1558,3312,915,4870,5.32,374.6
48,49,Tennessee,12,1854,2675,799,4529,5.67,377.4
49,50,Middle Tennessee,14,2305,2985,965,5290,5.48,377.9
50,51,Utah State,13,1859,3074,986,4933,5.00,379.5
51,52,Colorado,12,1747,2816,871,4563,5.24,380.3
52,53,Texas State,12,2188,2419,869,4607,5.30,383.9
53,54,Minnesota,13,2254,2761,845,5015,5.93,385.8
54,55,Oregon,13,1876,3141,956,5017,5.25,385.9
55,56,Florida International,13,2499,2523,887,5022,5.66,386.3
56,57,Western Michigan,13,2156,2870,813,5026,6.18,386.6
57,58,Nevada,13,1846,3192,959,5038,5.25,387.5
58,59,Pittsburgh,14,2496,2930,929,5426,5.84,387.6
59,60,USC,12,1977,2679,868,4656,5.36,388.0
60,61,Akron,12,2364,2293,898,4657,5.19,388.1
61,62,Missouri,13,1644,3406,889,5050,5.68,388.5
62,63,Maryland,12,2207,2478,843,4685,5.56,390.4
63,64,Northwestern,14,1815,3657,983,5472,5.57,390.9
64,64,Ohio,13,1782,3300,834,5082,6.09,390.9
65,66,North Carolina State,13,1710,3394,859,5104,5.94,392.6
66,67,Texas,14,1839,3660,982,5499,5.60,392.8
67,68,UTEP,12,2349,2387,797,4736,5.94,394.7
68,69,Rutgers,12,2578,2240,845,4818,5.70,401.5
69,70,Boston College,12,1859,2975,935,4834,5.17,402.8
70,71,Ohio State,14,2215,3433,979,5648,5.77,403.4
71,71,Kansas State,12,1892,2949,814,4841,5.95,403.4
72,73,Arizona State,13,2217,3040,921,5257,5.71,404.4
73,74,West Virginia,12,1772,3108,839,4880,5.82,406.7
74,75,Tulane,13,1915,3373,951,5288,5.56,406.8
75,76,Tulsa,12,2797,2095,869,4892,5.63,407.7
76,77,Duke,13,2721,2593,964,5314,5.51,408.8
77,78,Stanford,13,1899,3432,942,5331,5.66,410.1
78,79,Arkansas,12,2014,2944,827,4958,6.00,413.2
79,80,Florida State,12,1772,3224,954,4996,5.24,416.3
80,81,Kansas,12,2061,2961,829,5022,6.06,418.5
81,82,Western Kentucky,12,2074,2985,862,5059,5.87,421.6
82,83,Indiana,12,2198,2887,848,5085,6.00,423.8
83,84,South Carolina,13,2539,2977,991,5516,5.57,424.3
84,85,Florida Atlantic,12,2232,2861,863,5093,5.90,424.4
85,86,Baylor,13,2385,3147,852,5532,6.49,425.5
86,87,Navy,13,2490,3053,850,5543,6.52,426.4
87,88,Syracuse,13,2112,3433,951,5545,5.83,426.5
88,89,Memphis,14,2405,3589,1069,5994,5.61,428.1
