,Rank,Name,G,Att.,Made,Pct.,Att/G,Made/G
0,1,Nebraska,14,14,12,85.7,1.0,0.9
1,2,Colorado State,12,43,37,86.0,3.6,3.1
2,3,Temple,13,29,25,86.2,2.2,1.9
3,3,USC,13,29,25,86.2,2.2,1.9
4,5,East Carolina,14,37,32,86.5,2.6,2.3
5,6,Buffalo,12,34,30,88.2,2.8,2.5
6,7,Auburn,13,43,38,88.4,3.3,2.9
7,8,Houston,14,55,49,89.1,3.9,3.5
8,9,BYU,13,30,27,90.0,2.3,2.1
9,9,Pittsburgh,13,30,27,90.0,2.3,2.1
10,11,Florida State,13,51,46,90.2,3.9,3.5
11,12,Air Force,13,21,19,90.5,1.6,1.5
12,12,Oklahoma,13,21,19,90.5,1.6,1.5
13,14,North Texas,12,53,48,90.6,4.4,4.0
14,15,SMU,13,43,39,90.7,3.3,3.0
15,15,Tulane,12,54,49,90.7,4.5,4.1
16,17,Troy,13,45,41,91.1,3.5,3.2
17,18,Missouri,13,35,32,91.4,2.7,2.5
18,19,Eastern Michigan,12,61,56,91.8,5.1,4.7
19,20,Miami (Ohio),12,54,50,92.6,4.5,4.2
20,21,Louisiana-Lafayette,12,43,40,93.0,3.6,3.3
21,22,Boise State,14,29,27,93.1,2.1,1.9
22,22,Toledo,12,58,54,93.1,4.8,4.5
23,24,Oregon,13,31,29,93.5,2.4,2.2
24,25,Florida,14,16,15,93.8,1.1,1.1
25,25,Cincinnati,13,32,30,93.8,2.5,2.3
26,27,Connecticut,13,33,31,93.9,2.5,2.4
27,27,Florida Atlantic,12,49,46,93.9,4.1,3.8
28,29,Texas A&M,13,50,47,94.0,3.8,3.6
29,30,UCF,13,34,32,94.1,2.6,2.5
30,30,Army,12,34,32,94.1,2.8,2.7
31,32,Memphis,12,52,49,94.2,4.3,4.1
32,33,Arkansas,13,35,33,94.3,2.7,2.5
33,33,Tulsa,12,35,33,94.3,2.9,2.8
34,33,Arkansas State,12,35,33,94.3,2.9,2.8
35,36,TCU,13,18,17,94.4,1.4,1.3
36,36,Kentucky,13,36,34,94.4,2.8,2.6
37,36,Kansas State,12,36,34,94.4,3.0,2.8
38,36,New Mexico,12,54,51,94.4,4.5,4.3
39,36,San Jose State,12,54,51,94.4,4.5,4.3
40,41,Kansas,12,37,35,94.6,3.1,2.9
41,42,Southern Mississippi,13,38,36,94.7,2.9,2.8
42,42,Idaho,13,57,54,94.7,4.4,4.2
43,42,Washington State,12,57,54,94.7,4.8,4.5
44,45,Marshall,13,40,38,95.0,3.1,2.9
45,46,Mississippi State,12,41,39,95.1,3.4,3.3
46,46,Maryland,12,41,39,95.1,3.4,3.3
47,46,Louisiana-Monroe,12,41,39,95.1,3.4,3.3
48,49,Syracuse,12,42,40,95.2,3.5,3.3
49,49,Western Kentucky,12,62,59,95.2,5.2,4.9
50,51,Bowling Green,13,44,42,95.5,3.4,3.2
51,51,San Diego State,12,44,42,95.5,3.7,3.5
52,53,Akron,12,45,43,95.6,3.8,3.6
53,54,North Carolina State,12,49,47,95.9,4.1,3.9
54,55,Texas,14,26,25,96.2,1.9,1.8
55,55,South Florida,13,26,25,96.2,2.0,1.9
56,57,Kent State,12,28,27,96.4,2.3,2.3
57,58,Navy,14,29,28,96.6,2.1,2.0
58,58,Miami (Florida),13,29,28,96.6,2.2,2.2
59,58,West Virginia,13,29,28,96.6,2.2,2.2
60,61,South Carolina,13,30,29,96.7,2.3,2.2
61,62,Arizona,13,32,31,96.9,2.5,2.4
62,62,UCLA,13,32,31,96.9,2.5,2.4
63,62,Vanderbilt,12,32,31,96.9,2.7,2.6
64,65,Northern Illinois,13,33,32,97.0,2.5,2.5
65,65,Louisiana Tech,12,33,32,97.0,2.8,2.7
66,65,Rice,12,66,64,97.0,5.5,5.3
67,68,Virginia,12,35,34,97.1,2.9,2.8
68,69,Iowa State,13,36,35,97.2,2.8,2.7
69,69,Notre Dame,12,36,35,97.2,3.0,2.9
70,71,Minnesota,13,37,36,97.3,2.8,2.8
71,71,Georgia,13,37,36,97.3,2.8,2.8
72,71,Baylor,12,37,36,97.3,3.1,3.0
73,71,Western Michigan,12,37,36,97.3,3.1,3.0
74,75,Oregon State,13,39,38,97.4,3.0,2.9
75,76,Michigan State,13,40,39,97.5,3.1,3.0
76,76,Purdue,12,40,39,97.5,3.3,3.3
77,78,Wyoming,13,42,41,97.6,3.2,3.2
78,78,Duke,12,41,40,97.6,3.4,3.3
79,80,Stanford,13,43,42,97.7,3.3,3.2
80,81,Hawai'i,13,46,45,97.8,3.5,3.5
81,82,UAB,12,48,47,97.9,4.0,3.9
82,82,UNLV,12,48,47,97.9,4.0,3.9
83,84,UTEP,12,50,49,98.0,4.2,4.1
84,85,Florida International,12,53,52,98.1,4.4,4.3
85,86,Alabama,14,16,16,100.0,1.1,1.1
86,86,Penn State,13,16,16,100.0,1.2,1.2
87,86,LSU,13,16,16,100.0,1.2,1.2
88,86,Ohio State,13,17,17,100.0,1.3,1.3
89,86,Virginia Tech,13,18,18,100.0,1.4,1.4
90,86,North Carolina,13,22,22,100.0,1.7,1.7
91,86,Iowa,13,23,23,100.0,1.8,1.8
92,86,Mississippi,13,24,24,100.0,1.8,1.8
93,86,Boston College,13,27,27,100.0,2.1,2.1
94,86,Central Michigan,14,29,29,100.0,2.1,2.1
95,86,Rutgers,13,28,28,100.0,2.2,2.2
96,86,Tennessee,13,29,29,100.0,2.2,2.2
97,86,Utah,13,29,29,100.0,2.2,2.2
98,86,Clemson,14,31,31,100.0,2.2,2.2
99,86,Arizona State,12,28,28,100.0,2.3,2.3
100,86,Wisconsin,13,30,30,100.0,2.3,2.3
101,86,Oklahoma State,13,32,32,100.0,2.5,2.5
102,86,Middle Tennessee,13,33,33,100.0,2.5,2.5
103,86,Ohio,14,35,35,100.0,2.5,2.5
104,86,Texas Tech,13,34,34,100.0,2.6,2.6
105,86,Washington,12,34,34,100.0,2.8,2.8
106,86,Georgia Tech,14,39,39,100.0,2.8,2.8
107,86,Michigan,12,35,35,100.0,2.9,2.9
108,86,California,13,38,38,100.0,2.9,2.9
109,86,Louisville,12,36,36,100.0,3.0,3.0
110,86,Northwestern,13,39,39,100.0,3.0,3.0
111,86,Wake Forest,12,37,37,100.0,3.1,3.1
112,86,Ball State,12,38,38,100.0,3.2,3.2
113,86,Colorado,12,41,41,100.0,3.4,3.4
114,86,Fresno State,13,44,44,100.0,3.4,3.4
115,86,Nevada,13,45,45,100.0,3.5,3.5
116,86,Indiana,12,43,43,100.0,3.6,3.6
117,86,Illinois,12,43,43,100.0,3.6,3.6
118,86,New Mexico State,13,52,52,100.0,4.0,4.0
119,86,Utah State,12,51,51,100.0,4.3,4.3
