,Rank,Name,G,Int.,Passes Broken Up,Passes Defended,Passes Defended/G
0,1,Alabama,14,24,75,99,7.07
1,2,Nebraska,14,20,78,98,7.00
2,3,Oklahoma State,13,18,69,87,6.69
3,4,Iowa,13,21,65,86,6.62
4,5,Texas Tech,13,10,72,82,6.31
5,6,Boise State,14,24,52,76,5.43
6,7,Oregon,13,14,60,74,5.69
7,7,LSU,13,13,61,74,5.69
8,9,SMU,13,17,56,73,5.62
9,9,Kentucky,13,16,57,73,5.62
10,9,Houston,14,11,62,73,5.21
11,12,West Virginia,13,17,55,72,5.54
12,13,Kent State,12,15,56,71,5.92
13,13,Middle Tennessee,13,19,52,71,5.46
14,15,Temple,13,16,53,69,5.31
15,16,Utah,13,17,51,68,5.23
16,16,Florida,14,20,48,68,4.86
17,18,Pittsburgh,13,15,52,67,5.15
18,18,Mississippi,13,13,54,67,5.15
19,18,Marshall,13,9,58,67,5.15
20,18,Ohio,14,20,47,67,4.79
21,22,Louisiana-Monroe,12,13,53,66,5.50
22,22,North Carolina,13,19,47,66,5.08
23,22,Auburn,13,17,49,66,5.08
24,22,Texas,14,25,41,66,4.71
25,26,Oklahoma,13,18,46,64,4.92
26,26,Penn State,13,14,50,64,4.92
27,26,Clemson,14,21,43,64,4.57
28,29,Minnesota,13,12,51,63,4.85
29,29,Southern Mississippi,13,12,51,63,4.85
30,29,USC,13,11,52,63,4.85
31,32,Central Michigan,14,11,51,62,4.43
32,33,UCLA,13,20,41,61,4.69
33,33,New Mexico State,13,7,54,61,4.69
34,35,Kansas State,12,13,47,60,5.00
35,35,Ohio State,13,24,36,60,4.62
36,35,TCU,13,14,46,60,4.62
37,38,Buffalo,12,7,52,59,4.92
38,38,Troy,13,10,49,59,4.54
39,40,Florida International,12,10,48,58,4.83
40,40,Wisconsin,13,15,43,58,4.46
41,40,UCF,13,12,46,58,4.46
42,40,California,13,11,47,58,4.46
43,40,Navy,14,13,45,58,4.14
44,45,Rutgers,13,15,42,57,4.38
45,45,Nevada,13,8,49,57,4.38
46,47,Arizona State,12,15,41,56,4.67
47,47,Texas A&M,13,12,44,56,4.31
48,47,East Carolina,14,17,39,56,4.00
49,50,Iowa State,13,15,40,55,4.23
50,50,BYU,13,14,41,55,4.23
51,50,Wyoming,13,12,43,55,4.23
52,50,Tennessee,13,10,45,55,4.23
53,50,South Carolina,13,6,49,55,4.23
54,55,Virginia Tech,13,11,43,54,4.15
55,56,Miami (Florida),13,9,44,53,4.08
56,57,Utah State,12,12,40,52,4.33
57,58,Louisiana-Lafayette,12,16,35,51,4.25
58,58,Akron,12,13,38,51,4.25
59,58,UAB,12,11,40,51,4.25
60,58,Duke,12,8,43,51,4.25
61,58,Illinois,12,5,46,51,4.25
62,58,Air Force,13,20,31,51,3.92
63,58,Hawai'i,13,12,39,51,3.92
64,58,Georgia,13,10,41,51,3.92
65,58,Stanford,13,8,43,51,3.92
66,67,Virginia,12,12,38,50,4.17
67,67,Wake Forest,12,9,41,50,4.17
68,69,Vanderbilt,12,12,37,49,4.08
69,69,Memphis,12,9,40,49,4.08
70,69,Arizona,13,12,37,49,3.77
71,72,Mississippi State,12,17,31,48,4.00
72,72,Purdue,12,12,36,48,4.00
73,72,UTEP,12,11,37,48,4.00
74,72,South Florida,13,13,35,48,3.69
75,76,Colorado,12,9,38,47,3.92
76,76,Arkansas,13,13,34,47,3.62
77,78,Colorado State,12,11,35,46,3.83
78,78,Boston College,13,15,31,46,3.54
79,78,Florida State,13,14,32,46,3.54
80,81,Louisiana Tech,12,13,32,45,3.75
81,81,San Diego State,12,11,34,45,3.75
82,81,Western Michigan,12,10,35,45,3.75
83,81,Kansas,12,7,38,45,3.75
84,81,Northwestern,13,17,28,45,3.46
85,81,Northern Illinois,13,8,37,45,3.46
86,87,Indiana,12,16,27,43,3.58
87,87,Toledo,12,12,31,43,3.58
88,87,Baylor,12,10,33,43,3.58
89,87,Rice,12,6,37,43,3.58
90,91,Michigan,12,11,31,42,3.50
91,91,Missouri,13,8,34,42,3.23
92,91,Georgia Tech,14,12,30,42,3.00
93,94,Army,12,13,28,41,3.42
94,94,Tulsa,12,9,32,41,3.42
95,94,Miami (Ohio),12,6,35,41,3.42
96,94,Connecticut,13,12,29,41,3.15
97,94,Michigan State,13,6,35,41,3.15
98,99,Maryland,12,10,30,40,3.33
99,99,Cincinnati,13,16,24,40,3.08
100,99,Oregon State,13,8,32,40,3.08
101,99,Fresno State,13,8,32,40,3.08
102,103,Arkansas State,12,8,31,39,3.25
103,104,Notre Dame,12,12,26,38,3.17
104,104,Ball State,12,10,28,38,3.17
105,104,North Carolina State,12,8,30,38,3.17
106,107,San Jose State,12,6,31,37,3.08
107,108,Washington State,12,10,26,36,3.00
108,108,Washington,12,8,28,36,3.00
109,108,North Texas,12,7,29,36,3.00
110,111,Louisville,12,10,25,35,2.92
111,111,Florida Atlantic,12,5,30,35,2.92
112,113,Bowling Green,13,9,25,34,2.62
113,113,Idaho,13,7,27,34,2.62
114,115,Syracuse,12,9,24,33,2.75
115,115,New Mexico,12,7,26,33,2.75
116,117,Western Kentucky,12,6,26,32,2.67
117,117,Tulane,12,5,27,32,2.67
118,119,UNLV,12,5,26,31,2.58
119,120,Eastern Michigan,12,12,14,26,2.17
