,Rank,Name,G,TFL,TFL Yards,TFL/G
0,1,Stanford,13,43.0,127,3.31
1,2,Florida Atlantic,12,44.0,206,3.67
2,3,TCU,13,47.0,156,3.62
3,3,Houston,14,47.0,207,3.36
4,5,Oklahoma State,13,50.0,148,3.85
5,5,Idaho,13,50.0,194,3.85
6,5,Nevada,13,50.0,207,3.85
7,8,Arizona,13,51.0,166,3.92
8,9,Louisiana-Lafayette,12,52.0,144,4.33
9,9,Toledo,12,52.0,190,4.33
10,11,Indiana,12,53.0,205,4.42
11,11,BYU,13,53.0,213,4.08
12,13,Western Michigan,12,54.0,227,4.50
13,14,Pittsburgh,13,55.0,188,4.23
14,14,Penn State,13,55.0,203,4.23
15,14,San Diego State,12,55.0,212,4.58
16,17,Navy,14,57.0,204,4.07
17,17,Southern Mississippi,13,57.0,245,4.39
18,19,Air Force,13,59.0,187,4.54
19,19,Iowa State,13,59.0,201,4.54
20,19,UTEP,12,59.0,303,4.92
21,22,Army,12,61.0,194,5.08
22,22,Utah,13,61.0,220,4.69
23,24,Boise State,14,62.0,167,4.43
24,24,Georgia,13,62.0,198,4.77
25,24,Kentucky,13,62.0,213,4.77
26,24,Hawai'i,13,62.0,292,4.77
27,24,Syracuse,12,62.0,293,5.17
28,29,Fresno State,13,63.0,173,4.85
29,29,Central Michigan,14,63.0,205,4.50
30,31,Colorado State,12,63.5,280,5.29
31,32,Purdue,12,64.0,221,5.33
32,32,UNLV,12,64.0,234,5.33
33,32,Vanderbilt,12,64.0,263,5.33
34,32,Notre Dame,12,64.0,279,5.33
35,36,Michigan State,13,65.0,192,5.00
36,36,Buffalo,12,65.0,246,5.42
37,36,Oklahoma,13,65.0,288,5.00
38,39,Alabama,14,66.0,222,4.71
39,39,Northern Illinois,13,66.0,238,5.08
40,39,Kansas State,12,66.0,306,5.50
41,39,Kansas,12,66.0,364,5.50
42,43,Florida State,13,67.0,258,5.15
43,44,Cincinnati,13,68.0,276,5.23
44,44,Washington,12,68.0,276,5.67
45,46,USC,13,69.0,238,5.31
46,46,Connecticut,13,69.0,240,5.31
47,48,Nebraska,14,70.0,252,5.00
48,48,Wisconsin,13,70.0,278,5.39
49,48,Akron,12,70.0,285,5.83
50,51,Georgia Tech,14,71.0,239,5.07
51,51,Tennessee,13,71.0,269,5.46
52,51,Arkansas State,12,71.0,318,5.92
53,54,Arizona State,12,72.0,271,6.00
54,54,Arkansas,13,72.0,280,5.54
55,54,Duke,12,72.0,313,6.00
56,54,Florida International,12,72.0,324,6.00
57,58,East Carolina,14,73.0,235,5.21
58,58,Temple,13,73.0,286,5.62
59,58,Marshall,13,73.0,287,5.62
60,61,Louisiana-Monroe,12,74.0,238,6.17
61,61,Clemson,14,74.0,257,5.29
62,61,North Carolina,13,74.0,271,5.69
63,61,Texas A&M,13,74.0,354,5.69
64,61,Texas Tech,13,74.0,429,5.69
65,66,North Texas,12,75.0,275,6.25
66,66,New Mexico State,13,75.0,276,5.77
67,66,SMU,13,75.0,317,5.77
68,66,Miami (Florida),13,75.0,368,5.77
69,70,Louisiana Tech,12,76.0,296,6.33
70,70,UAB,12,76.0,308,6.33
71,70,Northwestern,13,76.0,313,5.85
72,70,Missouri,13,76.0,326,5.85
73,74,Mississippi State,12,77.0,286,6.42
74,74,Baylor,12,77.0,320,6.42
75,76,Boston College,13,78.0,308,6.00
76,76,Wake Forest,12,78.0,311,6.50
77,76,Iowa,13,78.0,341,6.00
78,76,Minnesota,13,78.0,344,6.00
79,76,Auburn,13,78.0,351,6.00
80,76,South Carolina,13,78.0,375,6.00
81,82,Florida,14,79.0,252,5.64
82,82,Bowling Green,13,79.0,296,6.08
83,82,Eastern Michigan,12,79.0,306,6.58
84,82,North Carolina State,12,79.0,317,6.58
85,86,Troy,13,80.0,256,6.15
86,86,Colorado,12,80.0,460,6.67
87,88,Mississippi,13,81.0,263,6.23
88,88,LSU,13,81.0,372,6.23
89,90,Ohio State,13,82.0,295,6.31
90,90,Middle Tennessee,13,82.0,335,6.31
91,90,Ohio,14,82.0,350,5.86
92,90,Oregon State,13,82.0,362,6.31
93,94,Maryland,12,84.0,365,7.00
94,95,Memphis,12,85.0,297,7.08
95,95,Virginia Tech,13,85.0,321,6.54
96,95,UCF,13,85.0,327,6.54
97,98,California,13,86.0,323,6.62
98,98,West Virginia,13,86.0,356,6.62
99,98,Wyoming,13,86.0,362,6.62
100,98,Tulane,12,86.0,363,7.17
101,102,UCLA,13,87.0,312,6.69
102,102,Utah State,12,87.0,355,7.25
103,102,Virginia,12,87.0,429,7.25
104,105,Oregon,13,88.0,304,6.77
105,105,Kent State,12,88.0,310,7.33
106,105,Illinois,12,88.0,321,7.33
107,105,Tulsa,12,88.0,399,7.33
108,105,Ball State,12,88.0,405,7.33
109,110,Rice,12,89.0,380,7.42
110,111,Michigan,12,91.0,348,7.58
111,112,Louisville,12,92.0,337,7.67
112,113,San Jose State,12,93.0,428,7.75
113,113,Miami (Ohio),12,93.0,461,7.75
114,115,South Florida,13,94.0,378,7.23
115,115,New Mexico,12,94.0,393,7.83
116,117,Texas,14,95.0,332,6.79
117,118,Rutgers,13,97.0,416,7.46
118,119,Western Kentucky,12,101.0,443,8.42
119,120,Washington State,12,113.0,460,9.42
