,Rank,Name,G,Attempts,Conversions,Conversion %
0,1,Stanford,13,172,99,57.56
1,2,Nevada,14,187,101,54.01
2,3,Auburn,14,162,86,53.09
3,4,TCU,13,159,84,52.83
4,5,Navy,13,170,88,51.76
5,6,UCF,14,177,90,50.85
6,7,Northern Illinois,14,170,86,50.59
7,8,Air Force,13,186,94,50.54
8,9,Wisconsin,13,145,73,50.34
9,10,South Carolina,14,181,89,49.17
10,11,Boise State,13,155,76,49.03
11,12,Southern Mississippi,13,215,105,48.84
12,13,Houston,12,163,79,48.47
13,14,Arizona,13,194,94,48.45
14,15,Florida State,14,185,89,48.11
15,16,Tulsa,13,181,87,48.07
16,17,UTEP,13,178,84,47.19
17,18,Northwestern,13,192,90,46.88
18,19,Kansas State,13,176,82,46.59
19,20,San Diego State,13,172,80,46.51
20,21,Ohio State,13,171,79,46.20
21,21,Iowa,13,158,73,46.20
22,23,Army,13,193,89,46.11
23,24,BYU,13,200,92,46.00
24,25,Mississippi State,13,196,90,45.92
25,26,Rice,12,184,84,45.65
26,27,Cincinnati,12,171,78,45.61
27,28,Oregon,13,184,83,45.11
28,29,Colorado,12,182,82,45.05
29,30,Michigan,13,172,77,44.77
30,31,West Virginia,13,199,89,44.72
31,32,Virginia Tech,14,180,80,44.44
32,33,Alabama,13,151,67,44.37
33,34,Oklahoma,14,246,109,44.31
34,35,Texas Tech,13,210,93,44.29
35,36,Kentucky,13,179,79,44.13
36,37,SMU,14,182,80,43.96
37,38,Indiana,12,169,74,43.79
38,39,Idaho,13,198,86,43.43
39,39,Oklahoma State,13,175,76,43.43
40,41,North Carolina State,13,208,90,43.27
41,42,USC,13,178,77,43.26
42,43,East Carolina,13,181,78,43.09
43,44,Troy,13,200,86,43.00
44,45,Pittsburgh,13,175,74,42.29
45,45,Utah,13,175,74,42.29
46,47,UAB,12,186,78,41.94
47,48,Penn State,13,189,79,41.80
48,49,Texas A&M,13,201,84,41.79
49,50,Arkansas,13,165,68,41.21
50,51,Nebraska,14,192,79,41.15
51,52,Kansas,12,198,81,40.91
52,53,Miami (Florida),13,186,76,40.86
53,54,Illinois,13,177,72,40.68
54,55,Georgia,13,163,66,40.49
55,56,Georgia Tech,13,183,74,40.44
56,57,Texas,12,192,77,40.10
57,58,Baylor,13,180,72,40.00
58,58,Arizona State,12,180,72,40.00
59,60,Toledo,13,188,75,39.89
60,60,Western Michigan,12,183,73,39.89
61,60,Duke,12,183,73,39.89
62,60,Louisville,13,178,71,39.89
63,64,Utah State,12,186,74,39.78
64,65,North Texas,12,179,71,39.66
65,66,Clemson,13,191,75,39.27
66,67,Western Kentucky,12,184,72,39.13
67,68,Washington State,12,179,70,39.11
68,69,North Carolina,13,182,71,39.01
69,70,Minnesota,12,172,67,38.95
70,71,Tulane,12,183,71,38.80
71,72,Notre Dame,13,180,69,38.33
72,73,Syracuse,13,175,67,38.29
73,74,Missouri,13,184,70,38.04
74,74,LSU,13,184,70,38.04
75,76,Middle Tennessee,13,199,75,37.69
76,77,Hawai'i,14,149,56,37.58
77,78,Iowa State,12,181,68,37.57
78,78,Louisiana Tech,12,181,68,37.57
79,80,Michigan State,13,168,63,37.50
80,81,Central Michigan,12,171,64,37.43
81,81,Florida,13,171,64,37.43
82,83,Virginia,12,172,64,37.21
83,84,Florida International,13,183,68,37.16
84,85,Marshall,12,178,66,37.08
85,86,Colorado State,12,169,62,36.69
86,87,Oregon State,12,153,56,36.60
87,88,Tennessee,13,189,69,36.51
88,89,Buffalo,12,200,73,36.50
89,90,Miami (Ohio),14,195,70,35.90
90,91,Maryland,13,171,61,35.67
91,92,Louisiana-Monroe,12,189,67,35.45
92,93,Fresno State,13,178,63,35.39
93,94,Temple,12,147,52,35.37
94,95,UCLA,12,167,59,35.33
95,96,Eastern Michigan,12,173,61,35.26
96,97,Louisiana-Lafayette,12,196,69,35.20
97,98,Bowling Green,12,185,65,35.14
98,99,California,12,149,52,34.90
99,100,Akron,12,175,61,34.86
100,101,Ohio,13,145,50,34.48
101,102,Mississippi,12,175,60,34.29
102,103,UNLV,13,179,61,34.08
103,103,Wake Forest,12,179,61,34.08
104,105,Arkansas State,12,153,52,33.99
105,106,Ball State,12,153,51,33.33
106,107,Boston College,13,192,63,32.81
107,108,Florida Atlantic,12,164,53,32.32
108,109,New Mexico,12,183,59,32.24
109,110,Purdue,12,180,58,32.22
110,111,Memphis,12,165,53,32.12
111,112,Washington,13,184,59,32.07
112,113,South Florida,13,162,51,31.48
113,114,Connecticut,13,191,60,31.41
114,115,Rutgers,12,173,54,31.21
115,116,Wyoming,12,146,45,30.82
116,117,Kent State,12,160,49,30.63
117,118,New Mexico State,12,190,57,30.00
118,119,Vanderbilt,12,171,46,26.90
119,120,San Jose State,13,173,45,26.01
