,Rank,Name,G,Int.,Yards,TD,Int./G
0,1,Tulsa,13,24,444,4,1.85
1,2,Virginia Tech,14,23,364,2,1.64
2,2,Hawai'i,14,23,322,3,1.64
3,4,Florida,13,22,538,4,1.69
4,4,Alabama,13,22,239,2,1.69
5,6,Oregon,13,21,231,2,1.62
6,6,Miami (Ohio),14,21,300,2,1.50
7,8,Connecticut,13,20,486,5,1.54
8,8,Boston College,13,20,313,2,1.54
9,8,Toledo,13,20,226,1,1.54
10,11,LSU,13,19,363,1,1.46
11,11,Oklahoma State,13,19,324,3,1.46
12,11,Iowa,13,19,315,4,1.46
13,11,Ohio State,13,19,311,3,1.46
14,11,Maryland,13,19,310,4,1.46
15,11,North Carolina,13,19,287,2,1.46
16,11,Nebraska,14,19,313,4,1.36
17,11,Oklahoma,14,19,223,3,1.36
18,19,Missouri,13,18,359,0,1.38
19,19,Tennessee,13,18,294,4,1.38
20,19,Stanford,13,18,153,1,1.38
21,19,Notre Dame,13,18,145,1,1.38
22,23,Ball State,12,17,158,1,1.42
23,23,Michigan State,13,17,238,0,1.31
24,23,Ohio,13,17,161,1,1.31
25,23,UCF,14,17,351,5,1.21
26,27,Kent State,12,16,177,2,1.33
27,27,BYU,13,16,211,0,1.23
28,27,Texas A&M,13,16,209,1,1.23
29,27,Georgia,13,16,169,3,1.23
30,27,Miami (Florida),13,16,155,2,1.23
31,27,Southern Mississippi,13,16,118,2,1.23
32,27,Northern Illinois,14,16,176,2,1.14
33,34,Buffalo,12,15,123,1,1.25
34,34,Western Michigan,12,15,111,2,1.25
35,34,Texas Tech,13,15,250,1,1.15
36,34,Northwestern,13,15,244,3,1.15
37,34,South Florida,13,15,219,1,1.15
38,34,Clemson,13,15,189,2,1.15
39,34,Florida International,13,15,188,2,1.15
40,34,USC,13,15,152,2,1.15
41,34,Florida State,14,15,185,1,1.07
42,43,Bowling Green,12,14,354,4,1.17
43,43,Louisiana-Lafayette,12,14,80,0,1.17
44,43,Army,13,14,299,1,1.08
45,43,Wisconsin,13,14,250,3,1.08
46,43,Boise State,13,14,181,3,1.08
47,43,Troy,13,14,128,0,1.08
48,49,Houston,12,13,245,2,1.08
49,49,Iowa State,12,13,231,3,1.08
50,49,Utah State,12,13,13,0,1.08
51,49,Pittsburgh,13,13,126,1,1.00
52,49,Kansas State,13,13,125,0,1.00
53,49,Mississippi State,13,13,84,1,1.00
54,55,Arizona State,12,12,154,1,1.00
55,55,Louisiana Tech,12,12,154,0,1.00
56,55,Louisiana-Monroe,12,12,145,1,1.00
57,55,West Virginia,13,12,204,0,0.92
58,55,Utah,13,12,194,1,0.92
59,55,Air Force,13,12,189,0,0.92
60,55,Michigan,13,12,177,0,0.92
61,55,TCU,13,12,164,3,0.92
62,55,Washington,13,12,51,1,0.92
63,55,Nevada,14,12,210,2,0.86
64,55,Auburn,14,12,95,1,0.86
65,66,Marshall,12,11,180,1,0.92
66,66,Arkansas State,12,11,173,1,0.92
67,66,Virginia,12,11,165,0,0.92
68,66,Florida Atlantic,12,11,155,1,0.92
69,66,Minnesota,12,11,123,0,0.92
70,66,Wake Forest,12,11,113,1,0.92
71,66,Washington State,12,11,92,0,0.92
72,66,Middle Tennessee,13,11,286,2,0.85
73,66,UTEP,13,11,203,0,0.85
74,66,Illinois,13,11,199,3,0.85
75,66,East Carolina,13,11,120,1,0.85
76,66,Idaho,13,11,119,0,0.85
77,66,Arkansas,13,11,98,1,0.85
78,79,Purdue,12,10,212,2,0.83
79,79,Oregon State,12,10,95,1,0.83
80,79,Tulane,12,10,50,0,0.83
81,79,Colorado,12,10,31,0,0.83
82,79,San Jose State,13,10,172,0,0.77
83,79,Baylor,13,10,120,1,0.77
84,79,Penn State,13,10,108,0,0.77
85,79,San Diego State,13,10,106,0,0.77
86,79,South Carolina,14,10,252,5,0.71
87,79,SMU,14,10,99,1,0.71
88,89,UAB,12,9,184,0,0.75
89,89,Wyoming,12,9,144,1,0.75
90,89,Temple,12,9,87,0,0.75
91,89,California,12,9,72,1,0.75
92,89,Vanderbilt,12,9,67,1,0.75
93,89,Syracuse,13,9,211,0,0.69
94,89,North Carolina State,13,9,164,2,0.69
95,89,Arizona,13,9,130,1,0.69
96,89,Louisville,13,9,104,1,0.69
97,89,Kentucky,13,9,4,0,0.69
98,99,Texas,12,8,151,1,0.67
99,99,Memphis,12,8,120,0,0.67
100,99,Western Kentucky,12,8,109,1,0.67
101,99,Indiana,12,8,91,1,0.67
102,99,Rutgers,12,8,91,0,0.67
103,99,North Texas,12,8,74,0,0.67
104,99,Akron,12,8,70,0,0.67
105,99,Duke,12,8,63,0,0.67
106,99,Cincinnati,12,8,23,0,0.67
107,99,Georgia Tech,13,8,214,2,0.62
108,99,Fresno State,13,8,151,1,0.62
109,110,UCLA,12,7,132,0,0.58
110,110,Kansas,12,7,18,0,0.58
111,110,UNLV,13,7,67,1,0.54
112,110,Navy,13,7,66,0,0.54
113,114,Mississippi,12,6,63,0,0.50
114,114,Rice,12,6,53,0,0.50
115,116,New Mexico State,12,4,89,2,0.33
116,116,Central Michigan,12,4,69,1,0.33
117,116,New Mexico,12,4,53,0,0.33
118,116,Colorado State,12,4,28,0,0.33
119,120,Eastern Michigan,12,2,34,0,0.17
