,Rank,Name,G,Kickoffs,Yards,Avg.,Touchback,Touchback %,Out-Of-Bounds,Onside
0,1,Nebraska,14,86,5896,68.56,39,45.35,1,1
1,2,Idaho,13,67,4529,67.60,20,29.85,4,4
2,3,Iowa State,12,52,3510,67.50,16,30.77,0,1
3,4,Stanford,13,97,6540,67.42,28,28.87,1,0
4,5,San Diego State,13,86,5797,67.41,28,32.56,1,0
5,6,UCLA,12,50,3339,66.78,14,28.00,0,2
6,7,Oklahoma State,13,106,7073,66.73,55,51.89,0,3
7,8,Florida Atlantic,12,46,3065,66.63,14,30.43,0,1
8,9,Florida State,14,86,5705,66.34,41,47.67,6,1
9,10,USC,13,76,5037,66.28,14,18.42,0,0
10,11,Virginia Tech,14,94,6216,66.13,30,31.91,4,0
11,12,Louisville,13,69,4554,66.00,16,23.19,1,1
12,13,Georgia,13,82,5411,65.99,15,18.29,0,1
13,14,Arkansas,13,85,5608,65.98,15,17.65,0,0
14,15,Pittsburgh,13,70,4616,65.94,11,15.71,1,0
15,16,TCU,13,97,6368,65.65,14,14.43,0,0
16,17,Cincinnati,12,63,4132,65.59,17,26.98,1,2
17,18,Memphis,12,43,2820,65.58,10,23.26,2,2
18,19,Colorado State,12,46,3013,65.50,16,34.78,1,2
19,20,Kentucky,13,73,4769,65.33,18,24.66,5,2
20,21,Utah,13,78,5085,65.19,18,23.08,0,1
21,22,Western Michigan,12,72,4692,65.17,20,27.78,1,0
22,22,Purdue,12,54,3519,65.17,11,20.37,2,0
23,24,Alabama,13,87,5669,65.16,10,11.49,1,0
24,25,Virginia,12,58,3774,65.07,17,29.31,0,2
25,26,Auburn,14,99,6441,65.06,7,7.07,1,1
26,27,South Florida,13,65,4227,65.03,8,12.31,4,0
27,28,Connecticut,13,74,4806,64.95,10,13.51,3,0
28,29,Colorado,12,60,3896,64.93,12,20.00,0,1
29,30,Nevada,14,98,6357,64.87,16,16.33,4,2
30,31,Penn State,13,68,4409,64.84,19,27.94,0,0
31,31,Clemson,13,64,4150,64.84,3,4.69,0,2
32,33,Duke,12,60,3883,64.72,11,18.33,0,6
33,34,BYU,13,70,4529,64.70,23,32.86,2,0
34,35,California,12,60,3873,64.55,4,6.67,1,1
35,36,Michigan State,13,74,4773,64.50,13,17.57,2,0
36,37,UTEP,13,67,4314,64.39,13,19.40,0,0
37,38,Northwestern,13,71,4570,64.37,12,16.90,0,0
38,39,Oregon,13,108,6950,64.35,12,11.11,1,1
39,40,Arizona State,12,75,4813,64.17,12,16.00,2,0
40,41,Northern Illinois,14,102,6536,64.08,27,26.47,0,1
41,42,Temple,12,59,3780,64.07,7,11.86,0,2
42,43,Mississippi,12,70,4483,64.04,13,18.57,4,1
43,44,New Mexico,12,38,2427,63.87,5,13.16,0,5
44,45,South Carolina,14,83,5297,63.82,9,10.84,2,0
45,46,Oklahoma,14,100,6377,63.77,16,16.00,2,1
46,47,Missouri,13,76,4846,63.76,9,11.84,1,0
47,48,East Carolina,13,85,5412,63.67,5,5.88,2,4
48,49,LSU,13,81,5155,63.64,5,6.17,2,1
49,49,Central Michigan,12,59,3755,63.64,14,23.73,2,2
50,51,Houston,12,81,5147,63.54,13,16.05,3,3
51,52,Texas Tech,13,79,5013,63.46,21,26.58,4,1
52,52,Miami (Florida),13,67,4252,63.46,15,22.39,0,1
53,54,UCF,14,81,5134,63.38,4,4.94,0,1
54,55,Iowa,13,75,4749,63.32,15,20.00,1,0
55,56,Southern Mississippi,13,93,5886,63.29,8,8.60,4,3
56,56,Notre Dame,13,73,4620,63.29,10,13.70,2,0
57,58,Wisconsin,13,95,6012,63.28,11,11.58,1,1
58,59,Arizona,13,70,4428,63.26,12,17.14,1,2
59,60,Navy,13,71,4482,63.13,7,9.86,0,2
60,61,Mississippi State,13,72,4540,63.06,4,5.56,4,1
61,61,Bowling Green,12,52,3279,63.06,11,21.15,3,0
62,63,Ohio,13,70,4412,63.03,3,4.29,1,0
63,64,Washington,13,57,3592,63.02,2,3.51,0,0
64,65,Fresno State,13,78,4910,62.95,6,7.69,6,0
65,65,Kansas,12,43,2707,62.95,7,16.28,2,2
66,67,Kansas State,13,77,4836,62.81,15,19.48,3,3
67,68,Ohio State,13,95,5963,62.77,9,9.47,2,1
68,69,North Carolina State,13,82,5145,62.74,5,6.10,1,2
69,70,Texas A&M,13,79,4952,62.68,13,16.46,2,1
70,71,Florida,13,73,4568,62.58,5,6.85,4,0
71,72,Georgia Tech,13,69,4309,62.45,6,8.70,4,0
72,73,West Virginia,13,64,3984,62.25,8,12.50,0,0
73,74,Wyoming,12,50,3106,62.12,8,16.00,1,1
74,75,North Carolina,13,68,4221,62.07,3,4.41,3,3
75,76,Boise State,13,104,6450,62.02,9,8.65,2,0
76,77,SMU,14,68,4217,62.01,8,11.76,2,0
77,78,Oregon State,12,58,3588,61.86,2,3.45,1,0
78,79,Louisiana Tech,12,65,4019,61.83,5,7.69,2,1
79,79,Ball State,12,54,3339,61.83,3,5.56,0,1
80,81,Vanderbilt,12,45,2782,61.82,6,13.33,1,2
81,82,Boston College,13,57,3520,61.75,4,7.02,4,1
82,83,Illinois,13,80,4936,61.70,22,27.50,1,0
83,84,Texas,12,64,3948,61.69,15,23.44,2,0
84,85,Tennessee,13,68,4182,61.50,1,1.47,4,0
85,86,New Mexico State,12,47,2869,61.04,1,2.13,0,0
86,87,Troy,13,85,5180,60.94,9,10.59,3,1
87,88,San Jose State,13,46,2801,60.89,8,17.39,0,5
88,89,Wake Forest,12,58,3521,60.71,4,6.90,1,0
89,90,Washington State,12,48,2909,60.60,11,22.92,2,2
90,91,Buffalo,12,40,2421,60.53,5,12.50,1,0
91,92,Maryland,13,81,4902,60.52,5,6.17,3,0
92,93,UNLV,13,50,3024,60.48,11,22.00,4,2
93,94,Arkansas State,12,69,4145,60.07,11,15.94,3,0
94,95,Miami (Ohio),14,67,4019,59.99,1,1.49,2,0
95,96,Florida International,13,73,4372,59.89,8,10.96,3,0
96,97,Tulsa,13,99,5894,59.54,8,8.08,3,0
97,98,Utah State,12,55,3271,59.47,2,3.64,4,1
98,99,Michigan,13,71,4222,59.46,7,9.86,3,2
99,100,Air Force,13,73,4331,59.33,10,13.70,4,1
100,101,Army,13,68,4033,59.31,4,5.88,1,1
101,102,Indiana,12,67,3973,59.30,4,5.97,1,1
102,103,Hawai'i,14,102,6038,59.20,5,4.90,3,0
103,104,Syracuse,13,64,3786,59.16,0,0.00,4,1
104,105,Minnesota,12,56,3299,58.91,6,10.71,5,2
105,106,North Texas,12,61,3577,58.64,3,4.92,3,0
106,107,Rutgers,12,55,3224,58.62,5,9.09,1,0
107,108,Rice,12,65,3808,58.58,7,10.77,2,3
108,109,Kent State,12,54,3155,58.43,2,3.70,2,1
109,110,Tulane,12,63,3676,58.35,1,1.59,1,0
110,111,Western Kentucky,12,52,3025,58.17,3,5.77,3,0
111,112,Toledo,13,66,3829,58.02,1,1.52,2,0
112,113,Middle Tennessee,13,65,3730,57.38,6,9.23,0,3
113,114,Baylor,13,79,4530,57.34,11,13.92,1,0
