,Rank,Name,G,Att.,Made,Pct.,Att/G,Made/G
0,1,SMU,14,20,8,40.0,1.4,0.6
1,2,Boise State,13,12,5,41.7,0.9,0.4
2,3,Miami (Ohio),14,14,7,50.0,1.0,0.5
3,3,LSU,13,14,7,50.0,1.1,0.5
4,3,Buffalo,12,16,8,50.0,1.3,0.7
5,3,Missouri,13,20,10,50.0,1.5,0.8
6,7,Middle Tennessee,13,25,13,52.0,1.9,1.0
7,8,Louisville,13,19,10,52.6,1.5,0.8
8,9,Temple,12,26,14,53.8,2.2,1.2
9,10,Ohio,13,22,12,54.5,1.7,0.9
10,11,Ball State,12,20,11,55.0,1.7,0.9
11,12,North Carolina State,13,18,10,55.6,1.4,0.8
12,12,Houston,12,18,10,55.6,1.5,0.8
13,12,Tennessee,13,27,15,55.6,2.1,1.2
14,15,Georgia Tech,13,19,11,57.9,1.5,0.8
15,15,Purdue,12,19,11,57.9,1.6,0.9
16,17,Ohio State,13,17,10,58.8,1.3,0.8
17,18,Hawai'i,14,10,6,60.0,0.7,0.4
18,19,Northern Illinois,14,18,11,61.1,1.3,0.8
19,19,California,12,18,11,61.1,1.5,0.9
20,21,Minnesota,12,13,8,61.5,1.1,0.7
21,22,San Diego State,13,21,13,61.9,1.6,1.0
22,23,Virginia Tech,14,16,10,62.5,1.1,0.7
23,24,Washington,13,19,12,63.2,1.5,0.9
24,25,Western Kentucky,12,11,7,63.6,0.9,0.6
25,26,Cincinnati,12,14,9,64.3,1.2,0.8
26,26,Oregon State,12,14,9,64.3,1.2,0.8
27,28,Northwestern,13,17,11,64.7,1.3,0.8
28,29,Florida International,13,20,13,65.0,1.5,1.0
29,29,Memphis,12,20,13,65.0,1.7,1.1
30,31,Mississippi State,13,26,17,65.4,2.0,1.3
31,32,Troy,13,12,8,66.7,0.9,0.6
32,32,UCF,14,12,8,66.7,0.9,0.6
33,32,Washington State,12,12,8,66.7,1.0,0.7
34,32,Syracuse,13,18,12,66.7,1.4,0.9
35,32,Idaho,13,24,16,66.7,1.8,1.2
36,37,New Mexico State,12,22,15,68.2,1.8,1.3
37,38,Wisconsin,13,19,13,68.4,1.5,1.0
38,38,Central Michigan,12,19,13,68.4,1.6,1.1
39,38,Bowling Green,12,19,13,68.4,1.6,1.1
40,41,Texas,12,16,11,68.8,1.3,0.9
41,42,Tulsa,13,13,9,69.2,1.0,0.7
42,43,Louisiana Tech,12,23,16,69.6,1.9,1.3
43,44,Georgia,13,10,7,70.0,0.8,0.5
44,44,Texas A&M,13,20,14,70.0,1.5,1.1
45,44,North Texas,12,20,14,70.0,1.7,1.2
46,44,Wyoming,12,20,14,70.0,1.7,1.2
47,48,UTEP,13,17,12,70.6,1.3,0.9
48,48,BYU,13,17,12,70.6,1.3,0.9
49,50,Army,13,7,5,71.4,0.5,0.4
