,Rank,Name,G,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Air Force,13,0,0,0,0,0,0,0,0
1,1,Alabama,13,0,0,0,0,0,0,0,0
2,1,Auburn,14,0,0,0,0,0,0,0,0
3,1,BYU,13,0,0,0,0,0,0,0,0
4,1,Cincinnati,12,0,0,0,0,0,0,0,0
5,1,Georgia,13,0,0,0,0,0,0,0,0
6,1,Iowa,13,0,0,0,0,0,0,0,0
7,1,Michigan State,13,0,0,0,0,0,0,0,0
8,1,Northwestern,13,0,0,0,0,0,0,0,0
9,1,SMU,14,0,0,0,0,0,0,0,0
10,1,Tulsa,13,0,0,0,0,0,0,0,0
11,1,UCF,14,0,0,0,0,0,0,0,0
12,13,Arizona,13,1,0,0,0,0,0,0,0
13,13,Arkansas State,12,1,0,0,0,0,0,0,0
14,13,Army,13,1,1,0,0,0,0,0,0
15,13,Eastern Michigan,12,1,1,1,1,0,0,0,0
16,13,Florida State,14,1,1,0,0,0,0,0,0
17,13,Illinois,13,1,1,1,1,0,0,0,0
18,13,Kansas State,13,1,0,0,0,0,0,0,0
19,13,Kent State,12,1,1,0,0,0,0,0,0
20,13,LSU,13,1,0,0,0,0,0,0,0
21,13,Louisiana-Monroe,12,1,0,0,0,0,0,0,0
22,13,Louisville,13,1,0,0,0,0,0,0,0
23,13,Miami (Ohio),14,1,0,0,0,0,0,0,0
24,13,Missouri,13,1,0,0,0,0,0,0,0
25,13,Nebraska,14,1,0,0,0,0,0,0,0
26,13,Northern Illinois,14,1,1,0,0,0,0,0,0
27,13,Notre Dame,13,1,1,1,1,0,0,0,0
28,13,Ohio,13,1,0,0,0,0,0,0,0
29,13,Oklahoma,14,1,0,0,0,0,0,0,0
30,13,Oregon State,12,1,1,0,0,0,0,0,0
31,13,Southern Mississippi,13,1,0,0,0,0,0,0,0
32,13,Stanford,13,1,1,1,1,1,1,0,0
33,13,Temple,12,1,1,1,1,0,0,0,0
34,13,Texas A&M,13,1,1,0,0,0,0,0,0
35,13,USC,13,1,1,1,0,0,0,0,0
36,13,Utah,13,1,0,0,0,0,0,0,0
37,38,Arkansas,13,2,1,0,0,0,0,0,0
38,38,Ball State,12,2,1,1,1,0,0,0,0
39,38,Boise State,13,2,1,1,1,0,0,0,0
40,38,Bowling Green,12,2,1,1,0,0,0,0,0
41,38,Buffalo,12,2,1,0,0,0,0,0,0
42,38,Central Michigan,12,2,1,1,1,1,1,1,0
43,38,Clemson,13,2,2,0,0,0,0,0,0
44,38,East Carolina,13,2,0,0,0,0,0,0,0
45,38,Florida,13,2,1,1,0,0,0,0,0
46,38,Louisiana Tech,12,2,1,1,1,0,0,0,0
47,38,Marshall,12,2,2,1,1,0,0,0,0
48,38,Miami (Florida),13,2,0,0,0,0,0,0,0
49,38,Michigan,13,2,0,0,0,0,0,0,0
50,38,Middle Tennessee,13,2,1,1,0,0,0,0,0
51,38,Minnesota,12,2,2,1,1,1,1,0,0
52,38,Mississippi State,13,2,1,0,0,0,0,0,0
53,38,Navy,13,2,2,1,1,0,0,0,0
54,38,Nevada,14,2,0,0,0,0,0,0,0
55,38,New Mexico State,12,2,1,1,0,0,0,0,0
56,38,Oklahoma State,13,2,0,0,0,0,0,0,0
57,38,Oregon,13,2,1,1,1,0,0,0,0
58,38,Pittsburgh,13,2,1,0,0,0,0,0,0
59,38,Syracuse,13,2,1,0,0,0,0,0,0
60,38,TCU,13,2,0,0,0,0,0,0,0
61,38,Tennessee,13,2,1,1,1,1,1,1,0
62,38,Texas Tech,13,2,1,1,0,0,0,0,0
63,38,UCLA,12,2,0,0,0,0,0,0,0
64,38,UNLV,13,2,2,1,1,1,1,0,0
65,38,Virginia Tech,14,2,0,0,0,0,0,0,0
66,38,West Virginia,13,2,1,1,1,1,0,0,0
67,38,Western Michigan,12,2,1,0,0,0,0,0,0
68,69,Baylor,13,3,2,1,0,0,0,0,0
69,69,Colorado State,12,3,0,0,0,0,0,0,0
70,69,Duke,12,3,3,3,2,2,1,1,0
71,69,Florida Atlantic,12,3,2,2,0,0,0,0,0
72,69,Florida International,13,3,2,2,1,1,1,1,0
73,69,Fresno State,13,3,2,1,1,0,0,0,0
74,69,Georgia Tech,13,3,1,1,0,0,0,0,0
75,69,Hawai'i,14,3,2,2,1,1,1,1,0
76,69,Idaho,13,3,1,1,1,1,1,0,0
77,69,Iowa State,12,3,3,3,1,1,1,0,0
78,69,North Carolina State,13,3,2,1,0,0,0,0,0
79,69,North Texas,12,3,0,0,0,0,0,0,0
80,69,Penn State,13,3,1,0,0,0,0,0,0
81,69,Purdue,12,3,1,0,0,0,0,0,0
82,69,Rice,12,3,1,0,0,0,0,0,0
83,69,Rutgers,12,3,2,1,0,0,0,0,0
84,69,San Jose State,13,3,2,1,1,1,1,1,0
85,69,Texas,12,3,2,2,1,1,1,1,1
86,69,UAB,12,3,2,1,1,0,0,0,0
87,69,Vanderbilt,12,3,1,1,0,0,0,0,0
88,69,Washington State,12,3,1,1,1,1,0,0,0
89,90,Akron,12,4,1,0,0,0,0,0,0
90,90,Boston College,13,4,1,1,1,1,1,0,0
91,90,Colorado,12,4,2,1,0,0,0,0,0
92,90,Connecticut,13,4,4,3,2,2,1,0,0
93,90,Houston,12,4,4,1,1,0,0,0,0
94,90,Indiana,12,4,0,0,0,0,0,0,0
95,90,Kansas,12,4,1,1,1,1,0,0,0
96,90,Kentucky,13,4,3,1,1,1,1,0,0
97,90,Ohio State,13,4,1,1,1,1,1,0,0
98,90,San Diego State,13,4,4,1,0,0,0,0,0
99,90,South Carolina,14,4,1,0,0,0,0,0,0
100,90,South Florida,13,4,3,1,1,1,0,0,0
101,90,Troy,13,4,3,3,3,2,0,0,0
102,90,Tulane,12,4,2,0,0,0,0,0,0
103,90,Utah State,12,4,2,1,1,0,0,0,0
104,90,Virginia,12,4,2,0,0,0,0,0,0
105,90,Wake Forest,12,4,1,1,1,0,0,0,0
106,90,Wisconsin,13,4,1,1,1,1,1,0,0
107,108,California,12,5,4,1,1,1,0,0,0
108,108,Maryland,13,5,4,2,1,1,0,0,0
109,108,North Carolina,13,5,4,2,2,2,2,2,0
110,108,UTEP,13,5,3,1,0,0,0,0,0
111,108,Washington,13,5,4,1,1,1,1,0,0
112,108,Western Kentucky,12,5,3,2,2,1,0,0,0
113,114,Arizona State,12,6,3,1,1,0,0,0,0
114,114,Toledo,13,6,3,1,1,1,1,0,0
115,116,Louisiana-Lafayette,12,7,4,2,1,1,1,0,0
116,116,Wyoming,12,7,3,1,0,0,0,0,0
117,118,Memphis,12,8,5,2,2,1,1,0,0
118,118,Mississippi,12,8,2,1,1,1,1,1,1
119,120,New Mexico,12,11,9,5,4,3,1,0,0
