,Rank,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
0,1,Oklahoma State,13,61,58,95.08,41,67.21,17,27.87
1,2,Memphis,12,19,18,94.74,9,47.37,9,47.37
2,3,Illinois,13,52,49,94.23,34,65.38,15,28.85
3,4,Wisconsin,13,68,62,91.18,54,79.41,8,11.76
4,5,East Carolina,13,63,57,90.48,46,73.02,11,17.46
5,6,Virginia Tech,14,62,56,90.32,40,64.52,16,25.81
6,7,North Carolina,13,50,45,90.00,28,56.00,17,34.00
7,8,Arkansas,13,49,44,89.80,34,69.39,10,20.41
8,9,Utah State,12,38,34,89.47,25,65.79,9,23.68
9,10,Kansas State,13,47,42,89.36,38,80.85,4,8.51
10,11,California,12,37,33,89.19,26,70.27,7,18.92
11,12,Georgia,13,55,49,89.09,34,61.82,15,27.27
12,13,Stanford,13,70,62,88.57,48,68.57,14,20.00
13,14,TCU,13,69,61,88.41,51,73.91,10,14.49
14,15,Ohio,13,43,38,88.37,33,76.74,5,11.63
15,15,Duke,12,43,38,88.37,22,51.16,16,37.21
16,17,Army,13,51,45,88.24,36,70.59,9,17.65
17,17,Texas A&M,13,51,45,88.24,33,64.71,12,23.53
18,17,Mississippi,12,51,45,88.24,30,58.82,15,29.41
19,20,BYU,13,50,44,88.00,31,62.00,13,26.00
20,20,Indiana,12,50,44,88.00,29,58.00,15,30.00
21,22,Iowa,13,49,43,87.76,31,63.27,12,24.49
22,22,Connecticut,13,49,43,87.76,24,48.98,19,38.78
23,24,Ohio State,13,65,57,87.69,41,63.08,16,24.62
24,25,Michigan State,13,47,41,87.23,32,68.09,9,19.15
25,26,Missouri,13,54,47,87.04,32,59.26,15,27.78
26,27,Florida International,13,52,45,86.54,31,59.62,14,26.92
27,28,Auburn,14,66,57,86.36,44,66.67,13,19.70
28,29,Arkansas State,12,51,44,86.27,34,66.67,10,19.61
29,29,LSU,13,51,44,86.27,27,52.94,17,33.33
30,31,Florida State,14,64,55,85.94,38,59.38,17,26.56
31,32,Tulsa,13,70,60,85.71,46,65.71,14,20.00
32,32,South Carolina,14,56,48,85.71,38,67.86,10,17.86
33,32,Maryland,13,49,42,85.71,31,63.27,11,22.45
34,32,Syracuse,13,42,36,85.71,22,52.38,14,33.33
35,32,South Florida,13,42,36,85.71,22,52.38,14,33.33
36,37,Nebraska,14,41,35,85.37,27,65.85,8,19.51
37,38,Southern Mississippi,13,61,52,85.25,36,59.02,16,26.23
38,39,Oregon State,12,40,34,85.00,27,67.50,7,17.50
39,40,Fresno State,13,46,39,84.78,28,60.87,11,23.91
40,41,Northwestern,13,52,44,84.62,33,63.46,11,21.15
41,42,Alabama,13,57,48,84.21,36,63.16,12,21.05
42,42,Minnesota,12,38,32,84.21,23,60.53,9,23.68
43,44,Northern Illinois,14,63,53,84.13,40,63.49,13,20.63
44,45,Boise State,13,69,58,84.06,47,68.12,11,15.94
45,46,New Mexico,12,25,21,84.00,17,68.00,4,16.00
46,47,Wake Forest,12,31,26,83.87,18,58.06,8,25.81
47,48,Washington,13,37,31,83.78,23,62.16,8,21.62
48,49,Utah,13,49,41,83.67,33,67.35,8,16.33
49,50,UCF,14,60,50,83.33,41,68.33,9,15.00
50,50,UNLV,13,30,25,83.33,18,60.00,7,23.33
51,52,USC,13,53,44,83.02,35,66.04,9,16.98
52,53,North Texas,12,35,29,82.86,18,51.43,11,31.43
53,54,Rice,12,46,38,82.61,31,67.39,7,15.22
54,54,Notre Dame,13,46,38,82.61,26,56.52,12,26.09
55,56,Oregon,13,68,56,82.35,44,64.71,12,17.65
56,56,Iowa State,12,34,28,82.35,22,64.71,6,17.65
57,58,SMU,14,45,37,82.22,31,68.89,6,13.33
58,59,Navy,13,56,46,82.14,39,69.64,7,12.50
59,59,Troy,13,56,46,82.14,33,58.93,13,23.21
60,59,San Diego State,13,56,46,82.14,32,57.14,14,25.00
61,62,Air Force,13,50,41,82.00,36,72.00,5,10.00
62,63,Oklahoma,14,77,63,81.82,44,57.14,19,24.68
63,63,Texas Tech,13,66,54,81.82,46,69.70,8,12.12
64,63,Purdue,12,33,27,81.82,16,48.48,11,33.33
65,66,Houston,12,60,49,81.67,36,60.00,13,21.67
66,67,Nevada,14,75,61,81.33,50,66.67,11,14.67
67,68,Tulane,12,48,39,81.25,28,58.33,11,22.92
68,68,Idaho,13,48,39,81.25,26,54.17,13,27.08
69,68,Marshall,12,32,26,81.25,22,68.75,4,12.50
70,71,Louisville,13,42,34,80.95,25,59.52,9,21.43
71,72,Hawai'i,14,68,55,80.88,39,57.35,16,23.53
72,73,Western Kentucky,12,36,29,80.56,24,66.67,5,13.89
73,73,Colorado,12,36,29,80.56,23,63.89,6,16.67
74,75,Toledo,13,41,33,80.49,27,65.85,6,14.63
75,75,UTEP,13,41,33,80.49,25,60.98,8,19.51
76,75,Boston College,13,41,33,80.49,13,31.71,20,48.78
77,78,Kentucky,13,51,41,80.39,35,68.63,6,11.76
78,78,Pittsburgh,13,51,41,80.39,26,50.98,15,29.41
79,80,Mississippi State,13,49,39,79.59,32,65.31,7,14.29
80,80,Virginia,12,49,39,79.59,30,61.22,9,18.37
81,80,Penn State,13,49,39,79.59,27,55.10,12,24.49
82,83,Temple,12,39,31,79.49,23,58.97,8,20.51
83,84,New Mexico State,12,24,19,79.17,10,41.67,9,37.50
84,85,Texas,12,52,41,78.85,23,44.23,18,34.62
85,86,San Jose State,13,33,26,78.79,16,48.48,10,30.30
86,87,Middle Tennessee,13,42,33,78.57,26,61.90,7,16.67
87,88,Ball State,12,37,29,78.38,18,48.65,11,29.73
88,89,Cincinnati,12,41,32,78.05,25,60.98,7,17.07
89,90,Rutgers,12,36,28,77.78,15,41.67,13,36.11
90,91,Louisiana Tech,12,49,38,77.55,28,57.14,10,20.41
91,92,Michigan,13,57,44,77.19,40,70.18,4,7.02
92,92,Arizona State,12,57,44,77.19,31,54.39,13,22.81
93,94,Bowling Green,12,35,27,77.14,22,62.86,5,14.29
94,94,Louisiana-Monroe,12,35,27,77.14,20,57.14,7,20.00
95,96,Akron,12,26,20,76.92,15,57.69,5,19.23
96,97,Baylor,13,47,36,76.60,23,48.94,13,27.66
97,98,North Carolina State,13,68,52,76.47,36,52.94,16,23.53
98,98,Central Michigan,12,51,39,76.47,31,60.78,8,15.69
99,98,Kent State,12,34,26,76.47,19,55.88,7,20.59
100,101,Western Michigan,12,54,41,75.93,34,62.96,7,12.96
101,101,Georgia Tech,13,54,41,75.93,31,57.41,10,18.52
102,103,Eastern Michigan,12,29,22,75.86,18,62.07,4,13.79
103,104,UAB,12,45,34,75.56,27,60.00,7,15.56
104,105,West Virginia,13,53,40,75.47,31,58.49,9,16.98
105,105,Miami (Ohio),14,53,40,75.47,24,45.28,16,30.19
106,107,Miami (Florida),13,52,39,75.00,29,55.77,10,19.23
107,107,Tennessee,13,40,30,75.00,20,50.00,10,25.00
108,107,UCLA,12,36,27,75.00,21,58.33,6,16.67
109,110,Colorado State,12,35,26,74.29,12,34.29,14,40.00
110,111,Clemson,13,46,34,73.91,25,54.35,9,19.57
111,112,Kansas,12,33,24,72.73,19,57.58,5,15.15
112,113,Arizona,13,54,39,72.22,30,55.56,9,16.67
113,113,Louisiana-Lafayette,12,36,26,72.22,19,52.78,7,19.44
114,115,Vanderbilt,12,31,22,70.97,14,45.16,8,25.81
115,116,Florida,13,58,41,70.69,35,60.34,6,10.34
116,117,Wyoming,12,35,24,68.57,18,51.43,6,17.14
117,118,Washington State,12,38,26,68.42,23,60.53,3,7.89
118,119,Florida Atlantic,12,28,19,67.86,12,42.86,7,25.00
