,Rank,Name,G,Punts,Yards,Avg.,Punts/G,Yards/G
0,1,Marshall,13,64,2343,36.61,4.9,180.2
1,2,Kent State,12,61,2240,36.72,5.1,186.7
2,3,Rutgers,13,74,2730,36.89,5.7,210.0
3,4,Akron,12,51,1915,37.55,4.3,159.6
4,5,UAB,12,34,1285,37.79,2.8,107.1
5,6,Eastern Michigan,12,66,2497,37.83,5.5,208.1
6,6,Louisville,13,75,2837,37.83,5.8,218.2
7,8,Minnesota,12,44,1665,37.84,3.7,138.8
8,9,New Mexico,12,35,1326,37.89,2.9,110.5
9,10,Wake Forest,13,68,2588,38.06,5.2,199.1
10,11,Arkansas State,13,78,2972,38.10,6.0,228.6
11,12,North Carolina,13,59,2256,38.24,4.5,173.5
12,13,Wisconsin,14,74,2831,38.26,5.3,202.2
13,14,Northwestern,13,53,2031,38.32,4.1,156.2
14,15,Tulane,13,57,2194,38.49,4.4,168.8
15,16,Bowling Green,12,69,2657,38.51,5.8,221.4
16,17,Clemson,14,78,3005,38.53,5.6,214.6
17,18,UTEP,12,55,2123,38.60,4.6,176.9
18,19,Hawai'i,13,63,2433,38.62,4.8,187.2
19,20,Buffalo,12,63,2434,38.63,5.3,202.8
20,21,Kansas,12,33,1280,38.79,2.8,106.7
21,22,Memphis,12,48,1863,38.81,4.0,155.3
22,22,Missouri,13,80,3105,38.81,6.2,238.8
23,24,Florida,13,80,3114,38.93,6.2,239.5
24,25,Florida Atlantic,12,41,1597,38.95,3.4,133.1
25,26,Northern Illinois,14,61,2378,38.98,4.4,169.9
26,27,Penn State,13,82,3199,39.01,6.3,246.1
27,28,Central Michigan,12,59,2309,39.14,4.9,192.4
28,29,Cincinnati,13,80,3133,39.16,6.2,241.0
29,29,Southern Mississippi,14,94,3681,39.16,6.7,262.9
30,31,Florida State,13,90,3529,39.21,6.9,271.5
31,32,Miami (Ohio),12,65,2553,39.28,5.4,212.8
32,33,San Diego State,13,71,2793,39.34,5.5,214.8
33,34,Ball State,12,49,1928,39.35,4.1,160.7
34,34,Virginia Tech,14,79,3109,39.35,5.6,222.1
35,36,Purdue,13,66,2598,39.36,5.1,199.8
36,37,SMU,13,66,2603,39.44,5.1,200.2
37,38,Troy,12,65,2568,39.51,5.4,214.0
38,39,Michigan State,14,86,3399,39.52,6.1,242.8
39,40,Maryland,12,47,1858,39.53,3.9,154.8
40,41,Temple,13,69,2730,39.57,5.3,210.0
41,42,Ohio State,13,69,2733,39.61,5.3,210.2
42,43,UNLV,12,38,1506,39.63,3.2,125.5
43,44,North Carolina State,13,61,2419,39.66,4.7,186.1
44,45,Toledo,13,64,2541,39.70,4.9,195.5
45,45,Michigan,13,66,2620,39.70,5.1,201.5
46,47,Miami (Florida),12,54,2147,39.76,4.5,178.9
47,48,Kentucky,12,67,2665,39.78,5.6,222.1
48,49,Boston College,12,61,2430,39.84,5.1,202.5
49,50,Syracuse,12,47,1873,39.85,3.9,156.1
50,51,Nebraska,13,71,2833,39.90,5.5,217.9
51,51,TCU,13,72,2873,39.90,5.5,221.0
52,53,Indiana,12,49,1959,39.98,4.1,163.3
53,54,Illinois,13,80,3200,40.00,6.2,246.2
54,54,Pittsburgh,13,82,3280,40.00,6.3,252.3
55,56,Navy,12,35,1401,40.03,2.9,116.8
56,56,South Carolina,13,65,2602,40.03,5.0,200.2
57,58,Arkansas,13,84,3364,40.05,6.5,258.8
58,59,Utah,13,73,2926,40.08,5.6,225.1
59,60,Vanderbilt,13,66,2646,40.09,5.1,203.5
60,61,Western Kentucky,12,60,2409,40.15,5.0,200.8
61,61,Notre Dame,13,75,3011,40.15,5.8,231.6
62,63,UCF,12,63,2531,40.17,5.3,210.9
63,64,Florida International,13,76,3056,40.21,5.8,235.1
64,65,East Carolina,12,49,1973,40.27,4.1,164.4
65,66,Ohio,14,80,3229,40.36,5.7,230.6
66,67,Connecticut,12,75,3029,40.39,6.3,252.4
67,68,Western Michigan,13,58,2352,40.55,4.5,180.9
68,69,Air Force,13,54,2198,40.70,4.2,169.1
69,69,North Texas,12,57,2320,40.70,4.8,193.3
70,71,Boise State,13,85,3460,40.71,6.5,266.2
71,72,Louisiana-Lafayette,13,73,2973,40.73,5.6,228.7
72,73,San Jose State,12,51,2080,40.78,4.3,173.3
73,74,South Florida,12,70,2857,40.81,5.8,238.1
74,75,Oregon State,12,42,1715,40.83,3.5,142.9
75,76,Army,12,47,1924,40.94,3.9,160.3
