,Rank,Name,G,Attempts,Scores,Score %,TD,TD %,FG,FG %
0,1,Alabama,13,17,10,58.82,6,35.29,4,23.53
1,2,Houston,14,49,33,67.35,29,59.18,4,8.16
2,3,Rutgers,13,41,28,68.29,19,46.34,9,21.95
3,3,Michigan,13,41,28,68.29,21,51.22,7,17.07
4,5,Virginia Tech,14,40,28,70.00,21,52.50,7,17.50
5,6,Western Michigan,13,49,35,71.43,26,53.06,9,18.37
6,7,Louisiana-Monroe,12,46,33,71.74,25,54.35,8,17.39
7,8,Virginia,13,50,36,72.00,24,48.00,12,24.00
8,8,Southern Mississippi,14,50,36,72.00,25,50.00,11,22.00
9,10,Miami (Florida),12,43,31,72.09,17,39.53,14,32.56
10,11,BYU,13,36,26,72.22,16,44.44,10,27.78
11,12,Oklahoma State,13,48,35,72.92,24,50.00,11,22.92
12,13,Nevada,13,41,30,73.17,25,60.98,5,12.20
13,14,Oklahoma,13,38,28,73.68,20,52.63,8,21.05
14,14,Iowa,13,57,42,73.68,31,54.39,11,19.30
15,16,Colorado State,12,42,31,73.81,25,59.52,6,14.29
16,17,South Florida,12,46,34,73.91,20,43.48,14,30.43
17,17,Mississippi State,13,46,34,73.91,21,45.65,13,28.26
18,19,Arkansas,13,35,26,74.29,21,60.00,5,14.29
19,20,Western Kentucky,12,36,27,75.00,21,58.33,6,16.67
20,21,Arkansas State,13,41,31,75.61,20,48.78,11,26.83
21,22,Utah,13,37,28,75.68,17,45.95,11,29.73
22,23,Boise State,13,25,19,76.00,14,56.00,5,20.00
23,24,Missouri,13,46,35,76.09,25,54.35,10,21.74
24,24,USC,12,46,35,76.09,28,60.87,7,15.22
25,26,Michigan State,14,38,29,76.32,22,57.89,7,18.42
26,26,Illinois,13,38,29,76.32,23,60.53,6,15.79
27,28,Florida International,13,34,26,76.47,17,50.00,9,26.47
28,29,SMU,13,47,36,76.60,23,48.94,13,27.66
29,30,UTEP,12,43,33,76.74,22,51.16,11,25.58
30,31,Air Force,13,48,37,77.08,31,64.58,6,12.50
31,32,Florida State,13,35,27,77.14,19,54.29,8,22.86
32,33,California,13,44,34,77.27,23,52.27,11,25.00
33,34,Wyoming,13,62,48,77.42,36,58.06,12,19.35
34,35,Stanford,13,40,31,77.50,24,60.00,7,17.50
35,36,Kentucky,12,36,28,77.78,19,52.78,9,25.00
36,36,East Carolina,12,54,42,77.78,32,59.26,10,18.52
37,38,North Carolina,13,46,36,78.26,22,47.83,14,30.43
38,39,Tulsa,13,51,40,78.43,30,58.82,10,19.61
39,40,Kent State,12,42,33,78.57,18,42.86,15,35.71
40,40,Rice,12,42,33,78.57,27,64.29,6,14.29
41,42,Mississippi,12,47,37,78.72,28,59.57,9,19.15
42,43,UCF,12,33,26,78.79,17,51.52,9,27.27
43,44,Memphis,12,52,41,78.85,30,57.69,11,21.15
44,45,Troy,12,48,38,79.17,28,58.33,10,20.83
45,46,Vanderbilt,13,29,23,79.31,18,62.07,5,17.24
46,47,Ohio,14,44,35,79.55,26,59.09,9,20.45
47,48,Temple,13,25,20,80.00,17,68.00,3,12.00
48,48,Tennessee,12,40,32,80.00,22,55.00,10,25.00
49,48,North Texas,12,40,32,80.00,24,60.00,8,20.00
50,48,Wake Forest,13,50,40,80.00,29,58.00,11,22.00
51,52,New Mexico State,13,66,53,80.30,47,71.21,6,9.09
52,53,Miami (Ohio),12,46,37,80.43,28,60.87,9,19.57
53,54,Louisville,13,36,29,80.56,20,55.56,9,25.00
54,55,Florida Atlantic,12,62,50,80.65,38,61.29,12,19.35
55,56,Oregon,14,52,42,80.77,31,59.62,11,21.15
56,57,Hawai'i,13,47,38,80.85,30,63.83,8,17.02
57,58,South Carolina,13,42,34,80.95,20,47.62,14,33.33
58,58,Washington State,12,42,34,80.95,28,66.67,6,14.29
59,60,Minnesota,12,53,43,81.13,37,69.81,6,11.32
60,60,Navy,12,53,43,81.13,39,73.58,4,7.55
61,62,San Jose State,12,48,39,81.25,29,60.42,10,20.83
62,63,Maryland,12,59,48,81.36,37,62.71,11,18.64
63,64,Notre Dame,13,43,35,81.40,25,58.14,10,23.26
64,65,Nebraska,13,39,32,82.05,27,69.23,5,12.82
65,66,Iowa State,13,56,46,82.14,27,48.21,19,33.93
66,66,UNLV,12,56,46,82.14,37,66.07,9,16.07
67,68,Boston College,12,45,37,82.22,22,48.89,15,33.33
68,69,Connecticut,12,34,28,82.35,20,58.82,8,23.53
69,69,Ohio State,13,34,28,82.35,21,61.76,7,20.59
70,69,Georgia Tech,13,51,42,82.35,34,66.67,8,15.69
71,72,UAB,12,63,52,82.54,43,68.25,9,14.29
72,73,Arizona State,13,52,43,82.69,30,57.69,13,25.00
73,73,Central Michigan,12,52,43,82.69,31,59.62,12,23.08
74,75,Marshall,13,53,44,83.02,33,62.26,11,20.75
75,76,West Virginia,13,48,40,83.33,28,58.33,12,25.00
76,77,Baylor,13,67,56,83.58,47,70.15,9,13.43
77,78,Purdue,13,49,41,83.67,30,61.22,11,22.45
78,79,TCU,13,31,26,83.87,15,48.39,11,35.48
79,80,Utah State,13,50,42,84.00,30,60.00,12,24.00
80,81,Wisconsin,14,32,27,84.38,19,59.38,8,25.00
81,82,Kansas State,13,45,38,84.44,28,62.22,10,22.22
82,83,Clemson,14,52,44,84.62,29,55.77,15,28.85
83,84,Florida,13,40,34,85.00,24,60.00,10,25.00
84,85,Idaho,12,47,40,85.11,31,65.96,9,19.15
85,86,North Carolina State,13,41,35,85.37,24,58.54,11,26.83
86,87,Ball State,12,48,41,85.42,32,66.67,9,18.75
87,88,Louisiana-Lafayette,13,62,53,85.48,41,66.13,12,19.35
88,89,Bowling Green,12,49,42,85.71,29,59.18,13,26.53
89,89,Northwestern,13,49,42,85.71,31,63.27,11,22.45
90,91,Cincinnati,13,36,31,86.11,20,55.56,11,30.56
91,92,Texas,13,44,38,86.36,22,50.00,16,36.36
92,93,Texas Tech,12,59,51,86.44,43,72.88,8,13.56
93,94,Pittsburgh,13,37,32,86.49,22,59.46,10,27.03
94,94,San Diego State,13,37,32,86.49,27,72.97,5,13.51
95,96,Syracuse,12,45,39,86.67,20,44.44,19,42.22
96,97,Kansas,12,62,54,87.10,41,66.13,13,20.97
97,98,Fresno State,13,47,41,87.23,32,68.09,9,19.15
98,98,Buffalo,12,47,41,87.23,34,72.34,7,14.89
99,100,Indiana,12,56,49,87.50,33,58.93,16,28.57
100,101,Texas A&M,13,49,43,87.76,33,67.35,10,20.41
101,102,Auburn,13,50,44,88.00,31,62.00,13,26.00
102,102,Duke,12,50,44,88.00,34,68.00,10,20.00
103,104,Army,12,42,37,88.10,31,73.81,6,14.29
104,105,Toledo,13,51,45,88.24,38,74.51,7,13.73
105,106,LSU,14,26,23,88.46,12,46.15,11,42.31
106,106,Oregon State,12,52,46,88.46,42,80.77,4,7.69
107,108,New Mexico,12,61,54,88.52,50,81.97,4,6.56
108,109,UCLA,14,53,47,88.68,35,66.04,12,22.64
109,110,Northern Illinois,14,62,55,88.71,40,64.52,15,24.19
110,111,Eastern Michigan,12,36,32,88.89,20,55.56,12,33.33
111,112,Middle Tennessee,12,50,45,90.00,39,78.00,6,12.00
112,113,Washington,13,61,55,90.16,41,67.21,14,22.95
113,113,Akron,12,61,55,90.16,43,70.49,12,19.67
114,115,Arizona,12,63,57,90.48,44,69.84,13,20.63
115,116,Georgia,14,32,29,90.63,21,65.63,8,25.00
116,117,Penn State,13,36,33,91.67,21,58.33,12,33.33
117,117,Colorado,13,60,55,91.67,45,75.00,10,16.67
118,119,Louisiana Tech,13,32,30,93.75,21,65.63,9,28.13
119,120,Tulane,13,59,58,98.31,44,74.58,14,23.73
