,Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
0,1,Alabama,13,938,1449,720,2387,3.32,183.6
1,2,LSU,14,1261,2400,897,3661,4.08,261.5
2,3,South Carolina,13,1768,1712,835,3480,4.17,267.7
3,4,Florida State,13,1075,2500,859,3575,4.16,275.0
4,5,Georgia,14,1417,2464,870,3881,4.46,277.2
5,6,Michigan State,14,1407,2477,903,3884,4.30,277.4
6,7,Illinois,13,1610,2110,842,3720,4.42,286.2
7,8,Florida,13,1725,2169,848,3894,4.59,299.5
8,9,UCF,12,1306,2334,732,3640,4.97,303.3
9,10,Virginia Tech,14,1457,2808,865,4265,4.93,304.6
10,11,Texas,13,1251,2728,865,3979,4.60,306.1
11,12,Rutgers,13,1815,2234,831,4049,4.87,311.5
12,13,Temple,13,1611,2442,829,4053,4.89,311.8
13,14,BYU,13,1457,2611,832,4068,4.89,312.9
14,15,Wisconsin,14,2137,2291,850,4428,5.21,316.3
15,16,Boise State,13,1430,2741,806,4171,5.17,320.8
16,17,Michigan,13,1712,2476,803,4188,5.22,322.2
17,18,Vanderbilt,13,1697,2499,871,4196,4.82,322.8
18,19,Ohio State,13,1840,2366,831,4206,5.06,323.5
19,20,Penn State,13,1733,2478,908,4211,4.64,323.9
20,21,Kent State,12,1539,2356,807,3895,4.83,324.6
21,22,Louisiana-Monroe,12,1200,2714,804,3914,4.87,326.2
22,23,Louisville,13,1307,2956,857,4263,4.97,327.9
23,24,Arkansas State,13,1346,2963,923,4309,4.67,331.5
24,25,California,13,1673,2655,840,4328,5.15,332.9
25,26,SMU,13,1538,2882,909,4420,4.86,340.0
26,27,Tennessee,12,1952,2134,752,4086,5.43,340.5
27,28,Stanford,13,1149,3292,815,4441,5.45,341.6
28,29,Southern Mississippi,14,1660,3142,1041,4802,4.61,343.0
29,30,Notre Dame,13,1806,2669,887,4475,5.05,344.2
30,31,Florida International,13,1535,2946,924,4481,4.85,344.7
31,32,TCU,13,1609,2907,866,4516,5.21,347.4
32,33,West Virginia,13,1880,2645,920,4525,4.92,348.1
33,34,Eastern Michigan,12,1686,2518,779,4204,5.40,350.3
34,35,Mississippi State,13,1995,2563,970,4558,4.70,350.6
35,35,Pittsburgh,13,1520,3038,913,4558,4.99,350.6
36,37,Nebraska,13,2060,2499,876,4559,5.20,350.7
37,38,Virginia,13,1813,2759,868,4572,5.27,351.7
38,39,South Florida,12,1288,2934,876,4222,4.82,351.8
39,40,Utah,13,1490,3087,917,4577,4.99,352.1
40,41,North Carolina State,13,1706,2908,865,4614,5.33,354.9
41,42,Cincinnati,13,1239,3394,940,4633,4.93,356.4
42,43,Georgia Tech,13,2099,2572,850,4671,5.50,359.3
43,43,Army,12,2339,1972,726,4311,5.94,359.3
44,45,Miami (Florida),12,1943,2376,788,4319,5.48,359.9
45,46,Ohio,14,1984,3066,963,5050,5.24,360.7
46,47,Arkansas,13,2179,2538,912,4717,5.17,362.8
