,Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
0,1,Houston,14,2086,6301,1102,8387,7.61,599.1
1,2,Baylor,13,3063,4569,1000,7632,7.63,587.1
2,3,Oklahoma State,13,2114,5034,987,7148,7.24,549.8
3,4,Oregon,14,4189,3130,1015,7319,7.21,522.8
4,5,Oklahoma,13,2118,4542,1052,6660,6.33,512.3
5,6,Nevada,13,3218,3369,1037,6587,6.35,506.7
6,7,Texas A&M,13,2589,3784,1043,6373,6.11,490.2
7,8,Stanford,13,2738,3623,935,6361,6.80,489.3
8,9,Boise State,13,2235,4022,969,6257,6.46,481.3
9,9,Toledo,13,2777,3480,980,6257,6.38,481.3
10,11,Northern Illinois,14,3278,3386,1003,6664,6.64,476.0
11,12,Missouri,13,3165,3017,972,6182,6.36,475.5
12,13,Texas Tech,12,1502,4145,991,5647,5.70,470.6
13,14,Wisconsin,14,3298,3280,937,6578,7.02,469.9
14,15,West Virginia,13,1595,4509,959,6104,6.36,469.5
15,16,Arizona,12,1134,4444,908,5578,6.14,464.8
16,17,Southern Mississippi,14,2872,3587,1042,6459,6.20,461.4
17,18,Georgia Tech,13,4113,1850,884,5963,6.75,458.7
18,19,Western Michigan,13,1575,4385,945,5960,6.31,458.5
19,20,Utah State,13,3675,2270,913,5945,6.51,457.3
20,21,USC,12,1951,3530,839,5481,6.53,456.8
21,22,Air Force,13,4092,1821,927,5913,6.38,454.8
22,23,Arkansas State,13,2005,3817,1016,5822,5.73,447.8
23,24,Arizona State,13,1678,4117,950,5795,6.10,445.8
24,25,Ohio,14,2750,3486,1026,6236,6.08,445.4
25,26,Clemson,14,2219,3952,1055,6171,5.85,440.8
26,27,Tulsa,13,2509,3216,942,5725,6.08,440.4
27,28,TCU,13,2712,3011,882,5723,6.49,440.2
28,29,Arkansas,13,1786,3909,883,5695,6.45,438.1
29,30,South Florida,12,2185,2995,911,5180,5.69,431.7
30,31,Alabama,13,2788,2797,865,5585,6.46,429.6
31,32,San Diego State,13,2398,3158,935,5556,5.94,427.4
32,33,Washington State,12,1224,3868,882,5092,5.77,424.3
33,34,Northwestern,13,2166,3305,984,5471,5.56,420.8
34,35,Notre Dame,13,2085,3284,906,5369,5.93,413.0
35,35,Virginia Tech,14,2616,3166,995,5782,5.81,413.0
36,37,Fresno State,13,1810,3544,887,5354,6.04,411.8
37,38,Washington,13,2006,3322,858,5328,6.21,409.8
