,Rank,Name,G,Ret.,Yards,Avg.,TD,Ret./G,Yards/G
0,1,Kansas State,13,38,1087,28.61,2,2.9,83.6
1,2,Miami (Florida),12,45,1235,27.44,2,3.8,102.9
2,3,Tulsa,14,36,959,26.64,1,2.6,68.5
3,4,USC,13,37,976,26.38,1,2.8,75.1
4,5,Boise State,13,27,702,26.00,0,2.1,54.0
5,6,Utah,12,31,803,25.90,4,2.6,66.9
6,7,Oklahoma,13,35,904,25.83,1,2.7,69.5
7,8,Hawai'i,12,58,1488,25.66,3,4.8,124.0
8,8,Middle Tennessee,12,44,1129,25.66,1,3.7,94.1
9,10,San Jose State,13,42,1059,25.21,2,3.2,81.5
10,11,Texas State,12,54,1356,25.11,0,4.5,113.0
11,12,Oklahoma State,13,46,1148,24.96,2,3.5,88.3
12,13,UCF,14,38,943,24.82,3,2.7,67.4
13,14,Missouri,12,35,864,24.69,2,2.9,72.0
14,15,Cincinnati,13,34,839,24.68,0,2.6,64.5
15,16,Florida State,14,31,764,24.65,0,2.2,54.6
16,17,Western Kentucky,13,44,1083,24.61,0,3.4,83.3
17,18,Florida International,12,59,1438,24.37,1,4.9,119.8
18,19,BYU,13,26,629,24.19,0,2.0,48.4
19,20,Virginia Tech,13,45,1082,24.04,1,3.5,83.2
20,21,LSU,13,31,744,24.00,0,2.4,57.2
21,22,Temple,11,47,1126,23.96,1,4.3,102.4
22,23,Alabama,14,21,503,23.95,1,1.5,35.9
23,24,Maryland,12,40,957,23.93,2,3.3,79.8
24,24,San Diego State,13,42,1005,23.93,2,3.2,77.3
25,26,New Mexico,13,40,956,23.90,2,3.1,73.5
26,27,Georgia Tech,14,44,1050,23.86,2,3.1,75.0
27,28,Louisiana Tech,12,50,1186,23.72,1,4.2,98.8
28,29,Navy,13,44,1034,23.50,1,3.4,79.5
29,30,Ball State,13,45,1056,23.47,0,3.5,81.2
30,31,North Carolina State,13,52,1219,23.44,2,4.0,93.8
31,32,UTEP,12,47,1096,23.32,2,3.9,91.3
32,33,North Carolina,12,49,1139,23.24,1,4.1,94.9
33,34,Northern Illinois,14,38,882,23.21,1,2.7,63.0
34,34,Rutgers,13,24,557,23.21,0,1.8,42.8
35,36,Texas Tech,13,35,812,23.20,2,2.7,62.5
36,37,Florida,13,36,835,23.19,1,2.8,64.2
37,38,Texas,13,43,996,23.16,1,3.3,76.6
38,39,Air Force,13,38,878,23.11,0,2.9,67.5
39,40,SMU,13,30,692,23.07,0,2.3,53.2
40,41,Rice,13,38,876,23.05,1,2.9,67.4
41,42,Purdue,13,60,1376,22.93,1,4.6,105.8
42,43,Pittsburgh,13,41,939,22.90,0,3.2,72.2
43,44,Memphis,12,50,1142,22.84,0,4.2,95.2
44,45,Stanford,14,31,704,22.71,0,2.2,50.3
45,46,Mississippi State,13,45,1018,22.62,1,3.5,78.3
46,47,Central Michigan,13,54,1214,22.48,0,4.2,93.4
47,48,Auburn,12,36,808,22.44,1,3.0,67.3
48,49,TCU,13,36,807,22.42,0,2.8,62.1
49,50,Iowa,12,34,761,22.38,1,2.8,63.4
50,50,Arizona State,13,34,761,22.38,1,2.6,58.5
51,52,Colorado State,12,41,914,22.29,0,3.4,76.2
52,53,Wisconsin,14,22,489,22.23,0,1.6,34.9
53,54,Georgia,14,32,709,22.16,1,2.3,50.6
54,55,UCLA,14,43,951,22.12,0,3.1,67.9
55,56,Indiana,12,44,973,22.11,1,3.7,81.1
56,57,Toledo,13,53,1170,22.08,3,4.1,90.0
57,58,Michigan,13,42,926,22.05,0,3.2,71.2
58,59,Washington State,12,43,942,21.91,0,3.6,78.5
59,60,Vanderbilt,13,40,874,21.85,0,3.1,67.2
60,61,Louisiana-Monroe,13,43,933,21.70,0,3.3,71.8
61,62,Kent State,14,48,1039,21.65,3,3.4,74.2
62,62,South Carolina,13,26,563,21.65,0,2.0,43.3
63,64,Nebraska,14,42,908,21.62,0,3.0,64.9
64,65,New Mexico State,12,44,951,21.61,1,3.7,79.3
65,66,Ohio,13,45,968,21.51,1,3.5,74.5
66,67,Utah State,13,38,816,21.47,0,2.9,62.8
67,68,Southern Mississippi,12,53,1137,21.45,1,4.4,94.8
68,69,Fresno State,13,47,997,21.21,0,3.6,76.7
69,70,Baylor,13,49,1039,21.20,0,3.8,79.9
70,71,Washington,13,43,909,21.14,0,3.3,69.9
71,72,Colorado,12,57,1198,21.02,1,4.8,99.8
72,72,Kentucky,12,48,1009,21.02,0,4.0,84.1
73,74,Virginia,12,55,1152,20.95,0,4.6,96.0
74,75,Northwestern,13,31,647,20.87,0,2.4,49.8
75,76,South Alabama,13,40,833,20.83,0,3.1,64.1
76,77,UAB,12,33,687,20.82,0,2.8,57.3
77,78,Eastern Michigan,12,59,1228,20.81,0,4.9,102.3
78,79,Nevada,13,43,891,20.72,0,3.3,68.5
79,80,California,12,55,1139,20.71,0,4.6,94.9
80,81,Minnesota,13,41,842,20.54,0,3.2,64.8
81,82,Clemson,13,35,717,20.49,0,2.7,55.2
82,83,Tennessee,12,52,1046,20.12,1,4.3,87.2
83,84,Mississippi,13,43,861,20.02,1,3.3,66.2
84,85,Massachusetts,12,57,1140,20.00,0,4.8,95.0
85,86,Ohio State,12,29,578,19.93,0,2.4,48.2
86,87,Army,12,46,916,19.91,0,3.8,76.3
87,87,Texas A&M,13,35,697,19.91,0,2.7,53.6
88,89,Marshall,12,51,1014,19.88,0,4.3,84.5
89,90,Bowling Green,13,39,775,19.87,0,3.0,59.6
90,91,East Carolina,13,49,972,19.84,1,3.8,74.8
91,92,Western Michigan,12,53,1046,19.74,0,4.4,87.2
92,93,Michigan State,13,36,707,19.64,0,2.8,54.4
93,94,West Virginia,13,57,1118,19.61,1,4.4,86.0
94,95,Notre Dame,13,30,588,19.60,0,2.3,45.2
95,96,Connecticut,12,30,587,19.57,0,2.5,48.9
96,97,Houston,12,41,801,19.54,0,3.4,66.8
97,98,Kansas,12,42,819,19.50,0,3.5,68.3
98,99,Oregon,13,36,699,19.42,1,2.8,53.8
99,100,Iowa State,13,36,698,19.39,0,2.8,53.7
100,101,Arizona,13,29,560,19.31,0,2.2,43.1
101,102,Tulane,12,44,847,19.25,0,3.7,70.6
102,103,Arkansas State,13,37,712,19.24,0,2.8,54.8
103,104,UNLV,13,56,1077,19.23,0,4.3,82.8
104,105,Florida Atlantic,12,41,787,19.20,0,3.4,65.6
105,105,Miami (Ohio),12,35,672,19.20,0,2.9,56.0
106,107,North Texas,12,38,729,19.18,0,3.2,60.8
107,108,Syracuse,13,39,740,18.97,0,3.0,56.9
108,109,Buffalo,12,45,850,18.89,0,3.8,70.8
109,110,Illinois,12,48,904,18.83,0,4.0,75.3
110,111,UTSA,10,41,766,18.68,0,4.1,76.6
111,112,Troy,12,39,721,18.49,0,3.3,60.1
112,113,Oregon State,13,35,642,18.34,0,2.7,49.4
113,114,Louisiana-Lafayette,13,47,861,18.32,0,3.6,66.2
114,115,Arkansas,12,31,566,18.26,0,2.6,47.2
115,116,Penn State,12,30,542,18.07,0,2.5,45.2
116,117,Wyoming,12,30,541,18.03,0,2.5,45.1
117,118,Duke,13,58,1043,17.98,0,4.5,80.2
118,119,Idaho,12,47,839,17.85,1,3.9,69.9
119,120,Boston College,12,49,859,17.53,0,4.1,71.6
120,121,South Florida,12,36,624,17.33,0,3.0,52.0
121,122,Louisville,13,35,606,17.31,0,2.7,46.6
122,123,Akron,12,45,745,16.56,0,3.8,62.1
123,124,Wake Forest,12,39,644,16.51,0,3.3,53.7
