,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Boise State,13,78,29,14,5,1,0,0,0,0
1,1,Illinois,12,78,35,17,9,6,4,2,0,0
2,3,Hawai'i,12,82,35,17,8,3,1,1,0,0
3,3,Virginia,12,82,33,15,10,4,3,1,0,0
4,5,Michigan State,13,83,33,14,5,3,2,0,0,0
5,5,Minnesota,13,83,31,12,8,0,0,0,0,0
6,5,Nebraska,14,83,37,16,6,3,2,2,1,0
7,8,Arizona State,13,85,28,11,7,4,2,1,1,0
8,9,Army,12,87,40,19,9,3,1,0,0,0
9,10,Florida State,14,88,27,16,9,4,1,0,0,0
10,10,Michigan,13,88,25,14,5,4,1,1,0,0
11,12,Alabama,14,90,35,17,7,1,1,1,0,0
12,12,Washington,13,90,38,19,10,4,2,1,0,0
13,14,Eastern Michigan,12,91,35,18,10,6,3,1,0,0
14,14,Florida Atlantic,12,91,44,18,9,5,3,1,1,0
15,16,Georgia,14,93,31,19,12,6,4,0,0,0
16,17,Fresno State,13,95,31,13,4,1,1,0,0,0
17,17,Texas Tech,13,95,32,19,9,5,4,1,0,0
18,19,Southern Mississippi,12,96,36,20,4,1,0,0,0,0
19,20,Maryland,12,97,35,15,6,4,3,1,0,0
20,20,Oklahoma,13,97,35,21,10,6,3,3,1,0
21,20,Virginia Tech,13,97,38,17,6,2,2,1,0,0
22,23,BYU,13,98,29,13,4,3,1,0,0,0
23,23,Ohio State,12,98,32,17,8,5,4,4,1,0
24,25,Air Force,13,99,36,13,7,6,2,0,0,0
25,26,Florida,13,100,32,7,6,3,1,1,0,0
26,26,Mississippi State,13,100,42,15,5,2,1,1,0,0
27,26,South Carolina,13,100,39,11,4,3,3,2,0,0
28,29,Auburn,12,101,33,15,6,4,0,0,0,0
29,29,Clemson,13,101,45,22,9,5,3,2,0,0
30,31,Bowling Green,13,102,23,10,4,3,2,0,0,0
31,31,Connecticut,12,102,38,14,6,2,1,0,0,0
32,31,Penn State,12,102,37,17,9,4,2,2,0,0
33,31,Vanderbilt,13,102,31,9,5,2,1,1,1,0
34,35,LSU,13,103,38,9,3,2,1,1,1,0
35,35,Louisville,13,103,29,9,5,3,2,1,1,0
36,35,Utah State,13,103,39,10,4,2,0,0,0,0
37,38,Temple,11,104,44,17,8,4,3,2,0,0
38,39,Oregon State,13,105,42,15,6,2,1,0,0,0
39,39,Pittsburgh,13,105,29,8,6,2,2,2,1,0
40,39,UTEP,12,105,38,26,18,7,3,1,1,0
41,42,Boston College,12,106,30,16,11,4,3,1,0,0
42,42,New Mexico State,12,106,45,24,14,7,4,3,1,0
43,42,Texas,13,106,39,15,8,5,4,4,2,0
44,42,UNLV,13,106,47,28,16,9,3,2,1,0
45,42,Wisconsin,14,106,32,14,5,3,1,0,0,0
46,47,Iowa,12,107,37,15,6,2,1,1,0,0
47,47,Oregon,13,107,32,8,4,3,3,3,0,0
48,49,Colorado State,12,108,26,9,6,4,0,0,0,0
49,50,Kentucky,12,109,31,12,6,4,3,2,0,0
50,50,Rice,13,109,49,29,13,9,5,0,0,0
51,52,North Texas,12,110,35,18,10,8,4,2,0,0
52,52,Utah,12,110,34,12,7,4,2,1,1,0
53,54,Buffalo,12,111,34,14,8,1,1,0,0,0
54,54,Purdue,13,111,47,19,6,2,1,0,0,0
55,54,South Alabama,13,111,42,19,10,6,2,2,0,0
56,57,Memphis,12,112,40,13,3,2,2,1,0,0
57,57,Notre Dame,13,112,26,7,3,1,0,0,0,0
58,57,TCU,13,112,32,16,12,5,4,3,0,0
59,60,Texas State,12,113,41,23,11,5,5,1,0,0
60,60,Wyoming,12,113,31,15,10,4,3,2,0,0
61,62,Arkansas State,13,114,37,14,6,1,0,0,0,0
62,62,Rutgers,13,114,35,14,6,4,1,1,1,0
63,62,Troy,12,114,49,25,18,8,3,1,0,0
64,62,Western Kentucky,13,114,33,12,7,2,2,0,0,0
65,66,Duke,13,115,62,42,17,9,6,3,1,0
66,66,Indiana,12,115,36,14,8,5,2,1,0,0
67,66,Navy,13,115,33,14,7,5,2,0,0,0
68,66,North Carolina State,13,115,46,25,16,6,5,2,0,0
69,66,Western Michigan,12,115,38,17,6,5,2,0,0,0
70,71,Tulsa,14,116,44,22,10,8,5,2,0,0
71,72,Massachusetts,12,117,35,15,6,1,1,0,0,0
72,72,UTSA,10,117,37,16,8,4,3,2,1,0
73,74,North Carolina,12,118,42,19,7,5,3,1,1,0
74,74,San Diego State,13,118,44,18,5,3,1,1,0,0
75,74,UAB,12,118,51,17,8,5,2,1,1,1
76,77,Florida International,12,119,37,18,12,6,5,3,0,0
77,77,Mississippi,13,119,41,21,14,5,3,0,0,0
78,77,Nevada,13,119,42,18,11,6,2,0,0,0
79,80,Akron,12,120,44,18,5,3,1,0,0,0
80,80,Syracuse,13,120,41,20,9,4,2,1,0,0
81,80,Tulane,12,120,52,20,14,6,3,1,0,0
82,83,Miami (Ohio),12,121,36,11,6,3,0,0,0,0
83,83,Missouri,12,121,44,16,6,0,0,0,0,0
84,83,Texas A&M,13,121,44,16,10,7,4,1,0,0
85,86,Marshall,12,122,37,17,9,5,1,0,0,0
86,86,UCF,14,122,31,13,6,5,5,4,1,0
87,88,Ohio,13,123,33,15,9,4,0,0,0,0
88,88,Wake Forest,12,123,48,21,11,8,3,0,0,0
89,88,Washington State,12,123,40,14,8,5,5,4,1,1
90,91,Georgia Tech,14,124,45,16,11,5,3,2,0,0
91,91,Idaho,12,124,52,30,8,5,2,2,1,0
92,91,Miami (Florida),12,124,44,18,8,6,3,2,1,1
93,94,Tennessee,12,125,53,24,11,6,4,3,0,0
94,94,USC,13,125,34,15,4,2,1,0,0,0
95,96,California,12,126,40,16,9,2,2,1,0,0
96,96,Central Michigan,13,126,44,19,8,3,2,1,0,0
97,96,San Jose State,13,126,32,13,7,2,1,0,0,0
98,99,UCLA,14,127,46,28,9,3,1,1,0,0
