,Rank,Name,G,Pen.,Yards,Pen./G,Yards/G
0,1,Air Force,13,44,341,3.4,26.2
1,2,Navy,13,48,378,3.7,29.1
2,3,Kansas,12,45,360,3.8,30.0
3,4,Army,12,47,361,3.9,30.1
4,5,Kansas State,13,49,403,3.8,31.0
5,6,Boston College,12,48,388,4.0,32.3
6,7,Alabama,14,54,467,3.9,33.4
7,8,Arizona State,13,56,459,4.3,35.3
8,9,Wisconsin,14,53,506,3.8,36.1
9,10,UCF,14,60,507,4.3,36.2
10,11,Miami (Ohio),12,57,443,4.8,36.9
11,11,Mississippi,13,62,480,4.8,36.9
12,13,Central Michigan,13,55,487,4.2,37.5
13,14,Wake Forest,12,53,461,4.4,38.4
14,15,Maryland,12,50,465,4.2,38.8
15,15,Connecticut,12,56,466,4.7,38.8
16,17,SMU,13,67,518,5.2,39.8
17,18,Georgia Tech,14,68,558,4.9,39.9
18,19,New Mexico State,12,61,481,5.1,40.1
19,20,Southern Mississippi,12,57,486,4.8,40.5
20,20,South Carolina,13,63,526,4.8,40.5
21,22,New Mexico,13,62,530,4.8,40.8
22,23,Iowa,12,55,491,4.6,40.9
23,24,Kentucky,12,55,496,4.6,41.3
24,25,Mississippi State,13,61,538,4.7,41.4
25,26,UTEP,12,58,501,4.8,41.8
26,27,Tulsa,14,63,586,4.5,41.9
27,28,Notre Dame,13,71,550,5.5,42.3
28,29,Iowa State,13,63,552,4.8,42.5
29,30,Wyoming,12,54,514,4.5,42.8
30,30,Boise State,13,59,556,4.5,42.8
31,32,Clemson,13,66,561,5.1,43.2
32,33,North Texas,12,52,520,4.3,43.3
33,33,Missouri,12,67,519,5.6,43.3
34,35,East Carolina,13,55,567,4.2,43.6
35,35,Louisiana-Monroe,13,70,567,5.4,43.6
36,37,Arkansas,12,72,528,6.0,44.0
37,38,Kent State,14,73,628,5.2,44.9
38,38,Vanderbilt,13,77,584,5.9,44.9
39,40,Texas,13,68,589,5.2,45.3
40,41,Arkansas State,13,64,593,4.9,45.6
41,42,Middle Tennessee,12,68,549,5.7,45.8
42,43,Oklahoma,13,74,598,5.7,46.0
43,44,Temple,11,59,509,5.4,46.3
44,45,Ball State,13,61,614,4.7,47.2
45,46,San Jose State,13,68,618,5.2,47.5
46,47,Louisiana-Lafayette,13,74,633,5.7,48.7
47,48,Duke,13,76,637,5.8,49.0
48,49,San Diego State,13,73,638,5.6,49.1
49,50,Michigan,13,62,641,4.8,49.3
50,50,Indiana,12,68,591,5.7,49.3
51,52,Illinois,12,71,595,5.9,49.6
52,53,Ohio,13,69,650,5.3,50.0
53,54,Auburn,12,75,601,6.3,50.1
54,55,Minnesota,13,81,653,6.2,50.2
55,56,Penn State,12,63,604,5.3,50.3
56,57,West Virginia,13,71,655,5.5,50.4
57,58,Northwestern,13,68,657,5.2,50.5
58,58,North Carolina State,13,87,656,6.7,50.5
59,60,Purdue,13,74,662,5.7,50.9
60,61,Virginia Tech,13,78,663,6.0,51.0
61,62,Florida Atlantic,12,77,616,6.4,51.3
62,63,Rice,13,72,675,5.5,51.9
63,64,Western Michigan,12,76,624,6.3,52.0
64,65,UNLV,13,67,678,5.2,52.2
65,66,Tennessee,12,82,630,6.8,52.5
66,67,Stanford,14,85,745,6.1,53.2
67,68,Cincinnati,13,73,695,5.6,53.5
68,68,Georgia,14,96,749,6.9,53.5
69,70,Eastern Michigan,12,71,644,5.9,53.7
70,71,Tulane,12,76,647,6.3,53.9
71,72,Hawai'i,12,71,648,5.9,54.0
72,73,BYU,13,80,703,6.2,54.1
73,74,Houston,12,75,652,6.3,54.3
74,75,Louisville,13,82,708,6.3,54.5
75,76,Northern Illinois,14,83,767,5.9,54.8
76,77,Arizona,13,83,716,6.4,55.1
77,78,Oregon State,13,79,724,6.1,55.7
78,79,Michigan State,13,75,735,5.8,56.5
79,79,Texas A&M,13,80,735,6.2,56.5
80,81,Massachusetts,12,81,679,6.8,56.6
81,82,South Florida,12,77,681,6.4,56.8
82,83,Miami (Florida),12,88,686,7.3,57.2
83,84,Colorado,12,73,688,6.1,57.3
84,85,Pittsburgh,13,87,746,6.7,57.4
85,86,Florida State,14,89,809,6.4,57.8
86,87,LSU,13,94,753,7.2,57.9
87,88,Florida International,12,90,702,7.5,58.5
88,89,Western Kentucky,13,80,765,6.2,58.8
89,89,Virginia,12,82,706,6.8,58.8
90,91,Baylor,13,87,770,6.7,59.2
91,92,Bowling Green,13,92,775,7.1,59.6
92,93,Oklahoma State,13,83,777,6.4,59.8
93,94,Rutgers,13,94,780,7.2,60.0
94,95,Nebraska,14,88,847,6.3,60.5
95,95,Marshall,12,78,726,6.5,60.5
96,97,Fresno State,13,88,799,6.8,61.5
97,98,Utah,12,83,740,6.9,61.7
98,99,USC,13,101,808,7.8,62.2
99,100,Buffalo,12,73,750,6.1,62.5
100,101,Nevada,13,86,819,6.6,63.0
101,101,TCU,13,89,819,6.8,63.0
102,103,UAB,12,87,761,7.3,63.4
103,104,Idaho,12,87,767,7.3,63.9
104,105,Washington State,12,87,769,7.3,64.1
105,106,North Carolina,12,90,772,7.5,64.3
106,107,Ohio State,12,84,774,7.0,64.5
107,108,Colorado State,12,78,775,6.5,64.6
108,109,Akron,12,101,797,8.4,66.4
109,110,Troy,12,92,803,7.7,66.9
110,111,South Alabama,13,96,877,7.4,67.5
111,112,Toledo,13,89,884,6.8,68.0
112,113,Texas State,12,87,821,7.3,68.4
113,114,Syracuse,13,102,893,7.8,68.7
114,115,Florida,13,105,895,8.1,68.8
115,116,Memphis,12,85,832,7.1,69.3
116,117,Oregon,13,103,924,7.9,71.1
117,118,Utah State,13,91,941,7.0,72.4
118,118,UTSA,10,74,724,7.4,72.4
119,120,Washington,13,108,969,8.3,74.5
120,121,Texas Tech,13,100,981,7.7,75.5
121,122,Louisiana Tech,12,98,957,8.2,79.8
122,123,California,12,99,996,8.3,83.0
123,124,UCLA,14,129,1273,9.2,90.9
