,Rank,Name,G,Punts,Yards,Avg.,Punts/G,Yards/G
0,1,Louisiana Tech,12,45,2162,48.04,3.8,180.2
1,2,Oklahoma State,13,44,2036,46.27,3.4,156.6
2,3,Arizona State,13,61,2770,45.41,4.7,213.1
3,4,Houston,12,61,2769,45.39,5.1,230.8
4,5,Texas,13,43,1948,45.30,3.3,149.8
5,6,BYU,13,60,2712,45.20,4.6,208.6
6,7,Arkansas,12,54,2416,44.74,4.5,201.3
7,8,Florida,13,68,3038,44.68,5.2,233.7
8,9,Duke,13,67,2991,44.64,5.2,230.1
9,10,LSU,13,71,3167,44.61,5.5,243.6
10,11,Colorado State,12,62,2764,44.58,5.2,230.3
11,12,Vanderbilt,13,61,2719,44.57,4.7,209.2
12,13,Temple,11,55,2444,44.44,5.0,222.2
13,14,Alabama,14,50,2214,44.28,3.6,158.1
14,15,New Mexico State,12,74,3260,44.05,6.2,271.7
15,15,TCU,13,66,2907,44.05,5.1,223.6
16,17,Baylor,13,38,1670,43.95,2.9,128.5
17,18,Navy,13,44,1919,43.61,3.4,147.6
18,19,Marshall,12,46,2004,43.57,3.8,167.0
19,20,Colorado,12,76,3307,43.51,6.3,275.6
20,21,Hawai'i,12,64,2783,43.48,5.3,231.9
21,22,Oklahoma,13,54,2340,43.33,4.2,180.0
22,23,UCLA,14,78,3374,43.26,5.6,241.0
23,24,Texas State,12,51,2204,43.22,4.3,183.7
24,25,UAB,12,52,2239,43.06,4.3,186.6
25,26,New Mexico,13,55,2368,43.05,4.2,182.2
26,27,North Carolina,12,50,2152,43.04,4.2,179.3
27,28,Kentucky,12,61,2617,42.90,5.1,218.1
28,29,Stanford,14,75,3216,42.88,5.4,229.7
29,30,Memphis,12,61,2615,42.87,5.1,217.9
30,31,Utah,12,64,2740,42.81,5.3,228.3
31,32,Michigan State,13,80,3422,42.78,6.2,263.2
32,33,East Carolina,13,65,2779,42.75,5.0,213.8
33,34,Wyoming,12,63,2690,42.70,5.3,224.2
34,35,UTEP,12,66,2817,42.68,5.5,234.8
35,36,Michigan,13,44,1874,42.59,3.4,144.2
36,37,Kent State,14,72,3065,42.57,5.1,218.9
37,38,Nevada,13,47,1990,42.34,3.6,153.1
38,39,Massachusetts,12,77,3259,42.32,6.4,271.6
39,40,Eastern Michigan,12,70,2955,42.21,5.8,246.3
40,41,USC,13,45,1899,42.20,3.5,146.1
41,42,Texas A&M,13,41,1721,41.98,3.2,132.4
42,43,Missouri,12,70,2937,41.96,5.8,244.8
43,43,Arizona,13,55,2308,41.96,4.2,177.5
44,45,Illinois,12,73,3060,41.92,6.1,255.0
