,Rank,Name,G,TFL,TFL Yards,TFL/G
0,1,Stanford,14,124.0,516,8.86
1,2,Arizona State,13,118.0,493,9.08
2,3,Tulsa,14,108.0,492,7.71
3,4,Syracuse,13,104.0,403,8.00
4,5,Mississippi,13,103.0,411,7.92
5,6,Northern Illinois,14,102.0,383,7.29
6,7,UCLA,14,100.0,372,7.14
7,8,Virginia Tech,13,99.0,386,7.62
8,9,USC,13,98.0,407,7.54
9,9,North Carolina State,13,98.0,398,7.54
10,11,Western Kentucky,13,97.0,413,7.46
11,11,North Carolina,12,97.0,366,8.08
12,11,Vanderbilt,13,97.0,357,7.46
13,14,Texas,13,96.0,387,7.39
14,15,Rutgers,13,95.0,356,7.31
15,16,South Carolina,13,94.0,395,7.23
16,17,Fresno State,13,93.0,377,7.15
17,18,Washington State,12,92.0,377,7.67
18,18,San Jose State,13,92.0,375,7.08
19,20,LSU,13,91.0,355,7.00
20,20,San Diego State,13,91.0,352,7.00
21,20,Georgia,14,91.0,341,6.50
22,23,BYU,13,90.0,355,6.92
23,23,Oklahoma State,13,90.0,311,6.92
24,25,Bowling Green,13,88.0,425,6.77
25,25,Florida,13,88.0,347,6.77
26,25,Connecticut,12,88.0,340,7.33
27,28,Clemson,13,87.0,381,6.69
28,29,Florida State,14,86.0,442,6.14
29,29,Alabama,14,86.0,355,6.14
30,29,Missouri,12,86.0,324,7.17
31,29,South Alabama,13,86.0,311,6.62
32,29,Indiana,12,86.0,308,7.17
33,34,UCF,14,85.0,336,6.07
34,34,West Virginia,13,85.0,309,6.54
35,36,Houston,12,84.0,332,7.00
36,36,Oregon,13,84.0,288,6.46
37,38,Louisiana-Lafayette,13,83.0,297,6.39
38,39,Michigan State,13,81.0,310,6.23
39,40,Utah State,13,80.0,360,6.15
40,40,Hawai'i,12,80.0,319,6.67
41,40,Oregon State,13,80.0,314,6.15
42,43,Kent State,14,79.0,368,5.64
43,43,Buffalo,12,79.0,326,6.58
44,43,TCU,13,79.0,322,6.08
45,43,California,12,79.0,318,6.58
46,43,Michigan,13,79.0,316,6.08
47,43,Louisiana-Monroe,13,79.0,280,6.08
48,49,Wisconsin,14,78.0,325,5.57
49,49,Memphis,12,78.0,320,6.50
50,49,Pittsburgh,13,78.0,293,6.00
51,49,Nebraska,14,78.0,277,5.57
52,49,UAB,12,78.0,273,6.50
53,54,Maryland,12,77.0,336,6.42
54,54,Cincinnati,13,77.0,320,5.92
55,54,Kansas State,13,77.0,316,5.92
56,57,Wake Forest,12,75.0,320,6.25
57,57,Texas A&M,13,75.0,293,5.77
58,59,Arkansas,12,74.0,381,6.17
59,59,Boise State,13,74.0,376,5.69
60,59,Arkansas State,13,74.0,274,5.69
61,59,Ohio,13,74.0,245,5.69
62,63,SMU,13,73.0,290,5.62
63,63,Tennessee,12,73.0,285,6.08
64,63,Marshall,12,73.0,238,6.08
65,66,Western Michigan,12,72.0,285,6.00
66,66,Southern Mississippi,12,72.0,280,6.00
67,66,UNLV,13,72.0,258,5.54
68,69,Utah,12,71.0,283,5.92
69,69,Purdue,13,71.0,271,5.46
70,71,Notre Dame,13,69.0,325,5.31
71,71,Penn State,12,69.0,313,5.75
72,71,Rice,13,69.0,286,5.31
73,71,Northwestern,13,69.0,285,5.31
74,71,Colorado,12,69.0,253,5.75
75,76,Georgia Tech,14,68.0,270,4.86
76,77,Idaho,12,67.0,222,5.58
77,78,Florida International,12,66.0,285,5.50
78,78,Washington,13,66.0,268,5.08
79,78,Texas Tech,13,66.0,241,5.08
80,78,Arizona,13,66.0,240,5.08
81,78,New Mexico,13,66.0,239,5.08
82,78,Auburn,12,66.0,233,5.50
83,78,Illinois,12,66.0,233,5.50
84,78,Kansas,12,66.0,207,5.50
85,86,Minnesota,13,65.0,269,5.00
86,86,Virginia,12,65.0,215,5.42
87,88,Ohio State,12,64.0,347,5.33
88,88,South Florida,12,64.0,324,5.33
89,88,Mississippi State,13,64.0,270,4.92
90,88,Air Force,13,64.0,252,4.92
91,92,East Carolina,13,62.0,235,4.77
92,92,Toledo,13,62.0,232,4.77
93,92,North Texas,12,62.0,221,5.17
94,95,Duke,13,60.0,242,4.62
95,95,Tulane,12,60.0,214,5.00
96,97,Louisville,13,59.0,263,4.54
97,97,Akron,12,59.0,205,4.92
98,99,Baylor,13,58.0,238,4.46
99,99,Iowa State,13,58.0,214,4.46
100,99,Army,12,58.0,198,4.83
101,102,Miami (Ohio),12,56.0,215,4.67
102,103,Navy,13,55.0,209,4.23
103,104,Ball State,13,54.0,183,4.15
104,104,Texas State,12,54.0,182,4.50
105,104,Middle Tennessee,12,54.0,179,4.50
106,104,Eastern Michigan,12,54.0,158,4.50
107,108,Kentucky,12,53.0,253,4.42
108,108,Temple,11,53.0,229,4.82
109,108,UTEP,12,53.0,224,4.42
110,108,Miami (Florida),12,53.0,200,4.42
111,108,Oklahoma,13,53.0,196,4.08
112,108,Iowa,12,53.0,171,4.42
113,108,Florida Atlantic,12,53.0,168,4.42
114,115,Colorado State,12,51.0,183,4.25
115,115,Massachusetts,12,51.0,176,4.25
116,115,Wyoming,12,51.0,163,4.25
117,118,Troy,12,50.0,175,4.17
118,119,Louisiana Tech,12,49.0,226,4.08
119,119,Central Michigan,13,49.0,208,3.77
120,119,New Mexico State,12,49.0,164,4.08
121,122,Nevada,13,48.0,210,3.69
122,123,Boston College,12,45.0,147,3.75
123,124,UTSA,10,37.0,182,3.70
