,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
0,1,Baylor,13,174,179,19,372,28.6
1,2,Fresno State,13,118,221,29,368,28.3
2,3,Texas Tech,13,88,241,30,359,27.6
3,4,Texas A&M,13,135,204,17,356,27.4
4,5,Oregon,13,171,164,13,348,26.8
5,6,East Carolina,13,105,215,26,346,26.6
6,7,Northern Illinois,14,215,133,17,365,26.1
7,8,Marshall,14,148,189,27,364,26.0
8,9,Ohio State,14,216,126,19,361,25.8
9,10,Florida State,14,139,194,24,357,25.5
10,11,Ball State,13,92,205,32,329,25.3
11,12,Boise State,13,135,171,21,327,25.2
12,12,Clemson,13,130,182,15,327,25.2
13,14,BYU,13,161,145,19,325,25.0
14,14,Indiana,12,121,163,16,300,25.0
15,16,Georgia,13,117,184,23,324,24.9
16,17,Oregon State,13,87,211,25,323,24.8
17,18,San Jose State,12,105,172,18,295,24.6
18,19,Missouri,14,160,156,27,343,24.5
19,19,Washington,13,156,148,15,319,24.5
20,21,Mississippi,13,137,161,19,317,24.4
21,22,Arizona State,14,147,165,28,340,24.3
22,22,California,12,87,182,22,291,24.3
23,24,Cincinnati,13,124,175,16,315,24.2
24,25,Illinois,12,114,154,20,288,24.0
25,26,Auburn,14,229,90,15,334,23.9
26,26,Arizona,13,175,116,20,311,23.9
27,26,Western Kentucky,12,131,141,15,287,23.9
28,29,Navy,13,241,50,18,309,23.8
29,30,UNLV,13,133,156,18,307,23.6
30,31,Mississippi State,13,145,145,15,305,23.5
31,32,Louisville,13,100,195,9,304,23.4
32,32,Wyoming,12,107,152,22,281,23.4
33,34,UCLA,13,135,145,23,303,23.3
34,35,Alabama,13,142,141,19,302,23.2
35,35,Nevada,12,115,144,19,278,23.2
36,37,Bowling Green,14,140,168,15,323,23.1
37,38,SMU,12,59,191,26,276,23.0
38,39,Colorado State,14,156,151,14,321,22.9
39,39,Washington State,13,48,229,21,298,22.9
40,39,Troy,12,110,151,14,275,22.9
41,42,Toledo,12,149,109,16,274,22.8
42,43,Penn State,12,112,133,25,270,22.5
43,44,South Carolina,13,134,145,12,291,22.4
44,44,UCF,13,114,153,24,291,22.4
45,46,Nebraska,13,144,128,17,289,22.2
46,46,South Alabama,12,115,131,20,266,22.2
47,48,Utah State,14,129,155,26,310,22.1
48,48,LSU,13,121,146,20,287,22.1
49,48,Oklahoma State,13,107,153,27,287,22.1
50,51,Wisconsin,13,163,116,7,286,22.0
51,52,UTSA,12,108,139,16,263,21.9
52,53,Middle Tennessee,13,132,131,21,284,21.8
53,53,Georgia Tech,13,203,65,15,283,21.8
54,53,Louisiana-Lafayette,13,143,124,16,283,21.8
55,53,Hawai'i,12,84,160,17,261,21.8
56,57,Houston,13,100,150,32,282,21.7
57,58,Rice,14,177,107,18,302,21.6
58,59,Oklahoma,13,155,106,19,280,21.5
59,59,North Texas,13,123,140,16,279,21.5
60,59,North Carolina,13,103,159,17,279,21.5
61,62,Duke,14,138,151,9,298,21.3
62,62,Northwestern,12,110,135,10,255,21.3
63,64,Buffalo,13,117,131,28,276,21.2
64,64,Arkansas State,13,148,116,11,275,21.2
65,66,Virginia,12,92,142,19,253,21.1
66,67,Texas,13,129,114,30,273,21.0
67,68,Michigan State,14,132,141,20,293,20.9
68,68,Army,12,198,35,18,251,20.9
69,70,Temple,12,117,117,15,249,20.8
70,70,North Carolina State,12,99,136,14,249,20.8
71,72,San Diego State,13,113,139,16,268,20.6
72,73,Notre Dame,13,95,149,23,267,20.5
73,73,Michigan,13,100,149,17,266,20.5
74,73,West Virginia,12,77,142,27,246,20.5
75,76,New Mexico,12,183,53,5,241,20.1
76,77,UAB,12,115,110,15,240,20.0
77,78,Kansas State,13,117,128,14,259,19.9
78,79,USC,14,125,132,20,277,19.8
79,79,Tulsa,12,118,101,18,237,19.8
80,79,New Mexico State,12,97,129,11,237,19.8
81,82,Iowa,13,126,113,17,256,19.7
82,82,Utah,12,108,110,18,236,19.7
83,84,Ohio,13,88,141,26,255,19.6
84,85,Rutgers,13,97,134,23,254,19.5
85,85,Louisiana Tech,12,97,114,23,234,19.5
