,Rank,Name,G,Attempts,Conversions,Conversion %
0,1,Louisville,13,172,46,26.74
1,2,Michigan State,14,204,57,27.94
2,3,Virginia Tech,13,186,56,30.11
3,4,Wisconsin,13,186,57,30.65
4,5,Clemson,13,211,65,30.81
5,6,Nebraska,13,187,58,31.02
6,7,Oklahoma State,13,229,72,31.44
7,8,Florida State,14,213,68,31.92
8,9,Virginia,12,181,58,32.04
9,10,Stanford,14,198,64,32.32
10,11,USC,14,202,66,32.67
11,12,Utah State,14,231,76,32.90
12,13,Auburn,14,200,66,33.00
13,14,Cincinnati,13,181,60,33.15
14,15,Florida Atlantic,12,171,57,33.33
15,16,Syracuse,13,188,63,33.51
16,17,Marshall,14,223,75,33.63
17,18,Oklahoma,13,178,60,33.71
18,19,Texas Tech,13,207,70,33.82
19,20,Baylor,13,218,74,33.94
20,21,Florida,12,150,51,34.00
21,22,Maryland,13,202,69,34.16
22,23,Alabama,13,176,61,34.66
23,24,Houston,13,213,74,34.74
24,25,Buffalo,13,181,63,34.81
25,26,UCLA,13,195,68,34.87
26,27,Rice,14,212,74,34.91
27,28,Mississippi State,13,179,63,35.20
28,29,Bowling Green,14,190,67,35.26
29,30,Ohio State,14,205,73,35.61
30,31,Iowa,13,199,71,35.68
31,32,TCU,12,203,73,35.96
32,33,North Texas,13,193,70,36.27
33,34,Georgia Tech,13,168,61,36.31
34,35,Wake Forest,12,190,69,36.32
35,36,South Alabama,12,165,60,36.36
36,37,Penn State,12,181,66,36.46
37,37,Utah,12,192,70,36.46
38,39,BYU,13,233,85,36.48
39,40,Fresno State,13,215,79,36.74
40,41,Vanderbilt,13,185,68,36.76
41,42,Minnesota,13,174,64,36.78
42,43,Texas,13,209,77,36.84
43,44,Arizona State,14,214,79,36.92
44,45,Duke,14,212,79,37.26
45,46,South Carolina,13,171,64,37.43
46,47,Colorado State,14,218,82,37.61
47,48,Missouri,14,225,85,37.78
48,49,Washington,13,222,84,37.84
49,50,Pittsburgh,13,184,70,38.04
50,51,Washington State,13,202,77,38.12
51,52,Arkansas State,13,199,76,38.19
52,53,LSU,13,188,72,38.30
53,54,Iowa State,12,185,71,38.38
54,55,Northern Illinois,14,224,86,38.39
55,56,Connecticut,12,177,68,38.42
56,57,San Diego State,13,199,77,38.69
57,58,South Florida,12,155,60,38.71
58,59,Colorado,12,188,73,38.83
59,60,Ball State,13,197,77,39.09
60,61,Texas State,12,189,74,39.15
61,62,Tulane,13,214,84,39.25
62,63,Arizona,13,211,83,39.34
63,64,Georgia,13,195,77,39.49
64,65,Florida International,12,151,60,39.74
65,66,Michigan,13,191,76,39.79
66,67,North Carolina,13,211,84,39.81
67,68,Oregon,13,232,93,40.09
68,69,Northwestern,12,182,73,40.11
69,69,Mississippi,13,187,75,40.11
70,71,North Carolina State,12,161,65,40.37
71,72,Massachusetts,12,146,59,40.41
72,73,Oregon State,13,183,74,40.44
73,74,Louisiana-Monroe,12,184,75,40.76
74,75,Kansas,12,179,73,40.78
75,76,Kansas State,13,198,81,40.91
76,77,Texas A&M,13,183,75,40.98
77,78,UCF,13,187,77,41.18
78,79,SMU,12,177,73,41.24
79,80,Louisiana-Lafayette,13,184,76,41.30
80,81,California,12,174,72,41.38
81,82,Wyoming,12,193,80,41.45
82,83,Temple,12,171,71,41.52
83,84,Rutgers,13,197,82,41.62
84,85,Notre Dame,13,192,80,41.67
85,86,Hawai'i,12,201,84,41.79
86,87,Boise State,13,208,87,41.83
87,88,Boston College,13,189,80,42.33
88,89,Kent State,12,151,64,42.38
89,90,Miami (Florida),13,198,84,42.42
90,91,West Virginia,12,200,85,42.50
91,92,Tennessee,12,167,71,42.51
92,93,Akron,12,175,75,42.86
93,94,Arkansas,12,152,66,43.42
94,95,Troy,12,172,75,43.60
95,96,Memphis,12,189,83,43.92
96,97,Tulsa,12,193,85,44.04
97,98,Army,12,145,64,44.14
98,99,Ohio,13,199,88,44.22
99,100,Kentucky,12,159,71,44.65
100,101,UTSA,12,172,77,44.77
101,102,Central Michigan,12,163,73,44.79
102,103,Western Kentucky,12,164,74,45.12
103,104,New Mexico State,12,157,71,45.22
104,105,Illinois,12,168,76,45.24
105,106,Louisiana Tech,12,203,92,45.32
106,107,Western Michigan,12,174,79,45.40
107,108,Toledo,12,167,76,45.51
108,109,East Carolina,13,228,104,45.61
109,110,Navy,13,172,79,45.93
110,110,Southern Mississippi,12,172,79,45.93
111,112,San Jose State,12,174,80,45.98
112,113,UAB,12,150,69,46.00
113,114,Indiana,12,173,80,46.24
114,115,Idaho,12,172,80,46.51
115,116,UTEP,12,144,67,46.53
116,117,Eastern Michigan,12,135,64,47.41
117,118,UNLV,13,208,99,47.60
118,119,Nevada,12,159,76,47.80
119,120,Middle Tennessee,13,207,99,47.83
120,121,Miami (Ohio),12,166,80,48.19
121,122,New Mexico,12,145,71,48.97
122,123,Georgia State,12,175,88,50.29
123,124,Purdue,12,168,95,56.55
124,125,Air Force,12,163,96,58.90
