,Rank,Name,G,Rush,Pass,Penalty,Total,Total/G
0,1,Louisville,13,70,93,20,183,14.1
1,2,Michigan State,14,64,110,26,200,14.3
2,3,Virginia Tech,13,74,101,16,191,14.7
3,4,Alabama,13,78,101,15,194,14.9
4,5,Iowa,13,96,103,8,207,15.9
5,6,Florida,12,87,83,23,193,16.1
6,6,Wisconsin,13,76,113,20,209,16.1
7,8,Florida State,14,101,110,21,232,16.6
8,9,Western Kentucky,12,107,79,15,201,16.8
9,10,Bowling Green,14,104,117,20,241,17.2
10,11,Florida Atlantic,12,97,96,14,207,17.3
11,12,Arizona State,14,94,135,14,243,17.4
12,13,South Carolina,13,106,103,19,228,17.5
13,14,Rice,14,117,114,15,246,17.6
14,15,Cincinnati,13,80,131,19,230,17.7
15,16,North Texas,13,85,122,24,231,17.8
16,16,Mississippi State,13,94,123,15,232,17.8
17,18,Oklahoma,13,92,118,23,233,17.9
18,19,Clemson,13,99,111,24,234,18.0
19,20,USC,14,95,136,24,255,18.2
20,21,Utah State,14,99,129,30,258,18.4
21,22,TCU,12,87,114,21,222,18.5
22,23,Baylor,13,98,109,35,242,18.6
23,24,Syracuse,13,98,122,23,243,18.7
24,24,Pittsburgh,13,105,119,19,243,18.7
25,26,Virginia,12,98,108,20,226,18.8
26,26,Minnesota,13,108,123,14,245,18.8
27,28,LSU,13,103,124,19,246,18.9
28,28,Buffalo,13,108,117,21,246,18.9
29,30,Texas State,12,93,121,15,229,19.1
30,30,UCF,13,88,139,21,248,19.1
31,32,Kansas State,13,109,127,13,249,19.2
32,33,Wake Forest,12,99,113,19,231,19.3
33,34,Connecticut,12,84,129,20,233,19.4
34,34,Penn State,12,86,140,7,233,19.4
35,34,Tulane,13,84,142,26,252,19.4
36,34,Georgia,13,101,126,25,252,19.4
37,38,Maryland,13,104,137,13,254,19.5
38,39,Army,12,126,100,9,235,19.6
39,39,Michigan,13,108,138,9,255,19.6
40,39,Marshall,14,128,123,24,275,19.6
41,42,Georgia Tech,13,83,159,14,256,19.7
42,43,South Alabama,12,112,112,13,237,19.8
43,43,South Florida,12,100,114,24,238,19.8
44,45,North Carolina State,12,102,122,15,239,19.9
45,46,Vanderbilt,13,110,133,17,260,20.0
46,47,Stanford,14,99,154,28,281,20.1
47,48,Utah,12,82,145,15,242,20.2
48,48,BYU,13,99,136,27,262,20.2
49,48,Nebraska,13,108,130,24,262,20.2
50,48,Ohio State,14,102,166,15,283,20.2
51,52,Fresno State,13,93,156,16,265,20.4
52,52,Louisiana-Lafayette,13,106,139,20,265,20.4
53,54,San Diego State,13,95,145,26,266,20.5
54,54,East Carolina,13,97,154,15,266,20.5
55,54,Mississippi,13,123,128,15,266,20.5
56,54,Ohio,13,110,133,24,267,20.5
57,58,Colorado State,14,95,169,24,288,20.6
58,58,Auburn,14,117,151,20,288,20.6
59,60,Arkansas State,13,121,125,23,269,20.7
60,61,Memphis,12,86,138,26,250,20.8
61,61,Oregon,13,123,121,27,271,20.8
62,63,Central Michigan,12,128,110,14,252,21.0
63,64,West Virginia,12,103,136,15,254,21.2
64,64,Rutgers,13,79,181,15,275,21.2
65,64,Texas,13,131,128,16,275,21.2
66,64,Arizona,13,122,139,15,276,21.2
67,64,Missouri,14,120,160,17,297,21.2
68,69,Massachusetts,12,125,116,14,255,21.3
69,69,Tennessee,12,129,112,14,255,21.3
70,69,Louisiana-Monroe,12,114,127,15,256,21.3
71,69,Florida International,12,120,111,25,256,21.3
72,69,Kentucky,12,122,117,17,256,21.3
73,74,Tulsa,12,119,133,5,257,21.4
74,74,North Carolina,13,122,142,14,278,21.4
75,76,Akron,12,106,133,19,258,21.5
76,76,Boston College,13,117,151,11,279,21.5
77,76,Washington,13,114,143,23,280,21.5
78,76,Notre Dame,13,130,127,23,280,21.5
79,76,Ball State,13,135,129,16,280,21.5
80,81,UTSA,12,106,129,24,259,21.6
81,81,Kent State,12,136,107,16,259,21.6
82,81,Texas Tech,13,136,124,21,281,21.6
83,84,Louisiana Tech,12,136,116,9,261,21.8
84,84,UTEP,12,139,108,15,262,21.8
85,84,Navy,13,142,133,8,283,21.8
86,84,Oregon State,13,123,144,17,284,21.8
87,84,UNLV,13,140,134,10,284,21.8
88,89,Northern Illinois,14,120,173,14,307,21.9
89,90,Iowa State,12,116,131,17,264,22.0
90,91,Oklahoma State,13,115,143,29,287,22.1
91,91,Miami (Florida),13,123,154,10,287,22.1
92,91,Middle Tennessee,13,146,126,15,287,22.1
93,94,Kansas,12,108,135,23,266,22.2
94,94,Arkansas,12,127,127,12,266,22.2
95,94,Duke,14,141,150,20,311,22.2
96,97,Houston,13,119,150,21,290,22.3
97,98,SMU,12,101,145,23,269,22.4
98,98,Western Michigan,12,154,95,20,269,22.4
99,100,UCLA,13,123,139,30,292,22.5
100,101,Colorado,12,118,141,12,271,22.6
101,102,Boise State,13,128,150,17,295,22.7
102,103,Washington State,13,134,142,21,297,22.8
103,104,Troy,12,113,138,25,276,23.0
104,105,Georgia State,12,135,132,11,278,23.2
105,106,Toledo,12,116,145,19,280,23.3
106,107,Texas A&M,13,147,140,17,304,23.4
107,108,Nevada,12,137,133,12,282,23.5
108,108,Eastern Michigan,12,139,125,18,282,23.5
109,110,Illinois,12,133,131,20,284,23.7
110,111,Temple,12,108,152,27,287,23.9
111,111,Northwestern,12,123,155,9,287,23.9
112,113,Southern Mississippi,12,136,131,21,288,24.0
113,114,New Mexico State,12,161,120,9,290,24.2
114,115,Wyoming,12,138,138,16,292,24.3
115,116,San Jose State,12,143,133,17,293,24.4
116,116,New Mexico,12,161,123,9,293,24.4
117,118,UAB,12,134,133,28,295,24.6
118,118,Purdue,12,162,119,14,295,24.6
119,120,California,12,109,159,29,297,24.8
120,121,Hawai'i,12,140,133,28,301,25.1
121,122,Idaho,12,130,159,20,309,25.8
122,122,Miami (Ohio),12,155,145,9,309,25.8
123,122,Indiana,12,149,149,12,310,25.8
124,125,Air Force,12,174,143,13,330,27.5
