,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Alabama,13,35,5,4,4,1,1,1,0,0
1,1,Memphis,12,35,8,3,2,1,0,0,0,0
2,1,Michigan State,14,35,10,4,4,2,1,0,0,0
3,1,Wisconsin,13,35,4,2,2,1,1,0,0,0
4,5,Ohio State,14,42,8,5,1,0,0,0,0,0
5,5,Rutgers,13,42,10,4,2,0,0,0,0,0
6,5,Texas State,12,42,15,7,4,0,0,0,0,0
7,8,UTSA,12,43,6,4,1,0,0,0,0,0
8,9,Cincinnati,13,44,10,3,0,0,0,0,0,0
9,10,Louisville,13,45,6,2,1,0,0,0,0,0
10,10,Wake Forest,12,45,13,4,3,3,2,0,0,0
11,12,Iowa,13,46,10,5,3,1,0,0,0,0
12,12,Utah,12,46,11,7,4,1,0,0,0,0
13,14,Utah State,14,47,6,2,1,0,0,0,0,0
14,15,Florida State,14,48,13,4,2,2,1,1,0,0
15,15,Fresno State,13,48,16,9,8,6,4,3,1,0
16,15,Stanford,14,48,10,5,2,1,0,0,0,0
17,18,Colorado State,14,49,15,9,5,3,3,0,0,0
18,19,San Diego State,13,50,12,4,2,0,0,0,0,0
19,20,Oklahoma,13,51,15,8,4,3,2,2,1,0
20,20,Oregon,13,51,12,6,3,1,1,0,0,0
21,20,Virginia Tech,13,51,17,6,3,2,2,1,1,0
22,23,East Carolina,13,52,8,1,0,0,0,0,0,0
23,23,SMU,12,52,11,5,1,1,0,0,0,0
24,25,Florida,12,53,16,6,5,4,1,0,0,0
25,26,BYU,13,54,16,10,5,4,3,0,0,0
26,26,TCU,12,54,8,5,3,2,1,1,0,0
27,28,Baylor,13,55,21,5,2,0,0,0,0,0
28,28,Georgia,13,55,14,6,3,2,2,1,0,0
29,28,Kansas State,13,55,9,4,3,2,2,0,0,0
30,28,Northern Illinois,14,55,12,4,2,1,0,0,0,0
31,32,Georgia Tech,13,56,9,2,0,0,0,0,0,0
32,33,North Texas,13,57,15,7,4,1,1,1,0,0
33,33,Tulane,13,57,17,4,3,1,1,0,0,0
34,33,Western Kentucky,12,57,16,5,4,2,1,0,0,0
35,36,USC,14,58,16,7,3,1,0,0,0,0
36,37,Connecticut,12,59,16,3,1,0,0,0,0,0
37,37,Syracuse,13,59,15,8,5,4,1,1,0,0
38,37,UCF,13,59,15,5,2,2,0,0,0,0
39,40,Boston College,13,60,15,7,2,1,1,1,1,0
40,40,South Florida,12,60,15,4,2,1,0,0,0,0
41,42,Maryland,13,61,17,8,4,2,1,1,0,0
42,42,Navy,13,61,8,3,3,1,0,0,0,0
43,42,Temple,12,61,17,8,5,3,1,1,0,0
44,45,Akron,12,62,14,6,1,0,0,0,0,0
45,45,Buffalo,13,62,21,14,8,3,1,1,0,0
46,45,Florida Atlantic,12,62,20,13,8,3,2,0,0,0
47,45,Mississippi State,13,62,18,5,4,2,1,0,0,0
48,45,Penn State,12,62,16,9,6,2,0,0,0,0
49,45,Washington,13,62,15,6,1,1,1,1,0,0
50,51,Arizona State,14,64,22,7,3,3,2,1,1,0
