,Rank,Name,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
0,1,Florida State,14,427,222,52.0,2193,5.1,14,26,93.77,30.5,156.6
1,2,Florida Atlantic,12,344,162,47.1,1933,5.6,11,13,97.28,28.7,161.1
2,3,Michigan State,14,448,213,47.5,2319,5.2,12,17,92.28,32.0,165.6
3,4,Western Michigan,12,307,167,54.4,2030,6.6,16,8,121.93,25.6,169.2
4,5,Louisville,13,373,189,50.7,2220,6.0,8,16,99.17,28.7,170.8
5,6,Bowling Green,14,422,232,55.0,2392,5.7,11,8,107.40,30.1,170.9
6,7,Florida,12,319,159,49.8,2062,6.5,9,10,107.18,26.6,171.8
7,8,Virginia Tech,13,363,175,48.2,2240,6.2,12,19,100.49,27.9,172.3
8,9,Iowa,13,395,217,54.9,2271,5.7,20,13,113.36,30.4,174.7
9,10,Western Kentucky,12,312,181,58.0,2135,6.8,10,14,117.10,26.0,177.9
10,11,Alabama,13,355,197,55.5,2344,6.6,13,11,116.84,27.3,180.3
11,12,South Carolina,13,369,221,59.9,2550,6.9,15,18,121.59,28.4,196.2
12,13,LSU,13,398,223,56.0,2567,6.4,15,11,117.12,30.6,197.5
13,13,Army,12,251,155,61.8,2370,9.4,19,7,160.46,20.9,197.5
14,15,Notre Dame,13,408,240,58.8,2576,6.3,19,13,120.86,31.4,198.2
15,16,Clemson,13,377,201,53.3,2608,6.9,14,18,114.14,29.0,200.6
16,17,Wisconsin,13,425,227,53.4,2633,6.2,16,9,113.63,32.7,202.5
17,18,Rice,14,412,213,51.7,2838,6.9,21,14,119.58,29.4,202.7
18,19,Middle Tennessee,13,389,245,63.0,2644,6.8,16,15,125.93,29.9,203.4
19,20,Central Michigan,12,326,200,61.3,2447,7.5,16,14,132.01,27.2,203.9
20,21,Oregon,13,480,271,56.5,2659,5.5,14,17,105.55,36.9,204.5
21,22,Mississippi State,13,388,240,61.9,2667,6.9,18,14,127.69,29.8,205.2
22,23,Vanderbilt,13,449,272,60.6,2690,6.0,18,18,116.11,34.5,206.9
23,24,Marshall,14,446,230,51.6,2913,6.5,17,18,110.94,31.9,208.1
24,25,Southern Mississippi,12,323,212,65.6,2531,7.8,24,6,152.26,26.9,210.9
25,26,South Florida,12,342,215,62.9,2532,7.4,19,11,136.96,28.5,211.0
26,27,Tennessee,12,354,200,56.5,2533,7.2,18,14,125.47,29.5,211.1
27,27,Kent State,12,324,176,54.3,2533,7.8,19,9,133.78,27.0,211.1
28,29,Cincinnati,13,438,254,58.0,2745,6.3,16,13,116.74,33.7,211.2
29,30,Oklahoma,13,409,225,55.0,2763,6.8,17,16,117.65,31.5,212.5
30,31,Louisiana Tech,12,357,204,57.1,2562,7.2,12,18,118.43,29.8,213.5
31,32,USC,14,516,294,57.0,3005,5.8,20,17,112.10,36.9,214.6
32,32,Nebraska,13,388,210,54.1,2790,7.2,17,14,121.76,29.8,214.6
33,34,Baylor,13,440,212,48.2,2794,6.4,23,19,110.13,33.8,214.9
34,35,Minnesota,13,405,247,61.0,2796,6.9,16,10,127.08,31.2,215.1
35,36,Mississippi,13,403,245,60.8,2802,7.0,10,13,120.94,31.0,215.5
36,37,Navy,13,397,273,68.8,2807,7.1,23,13,140.74,30.5,215.9
37,38,Buffalo,13,379,197,52.0,2810,7.4,15,15,119.40,29.2,216.2
38,39,UNLV,13,422,223,52.8,2820,6.7,21,11,120.18,32.5,216.9
39,40,Texas Tech,13,439,248,56.5,2822,6.4,16,8,118.88,33.8,217.1
40,41,UCLA,13,436,266,61.0,2829,6.5,16,14,121.21,33.5,217.6
41,42,Massachusetts,12,308,189,61.4,2613,8.5,22,8,151.01,25.7,217.8
42,43,Ohio,13,389,229,58.9,2833,7.3,24,14,133.21,29.9,217.9
43,44,Ball State,13,433,265,61.2,2841,6.6,14,13,120.98,33.3,218.5
44,44,Pittsburgh,13,386,225,58.3,2841,7.4,20,8,133.06,29.7,218.5
45,46,BYU,13,490,279,56.9,2846,5.8,19,13,113.22,37.7,218.9
46,47,North Carolina State,12,383,227,59.3,2631,6.9,19,12,127.07,31.9,219.3
47,48,Kansas State,13,458,277,60.5,2857,6.2,13,17,114.83,35.2,219.8
48,49,UTEP,12,273,161,59.0,2646,9.7,26,3,169.61,22.8,220.5
49,50,North Carolina,13,423,237,56.0,2869,6.8,16,13,119.34,32.5,220.7
50,51,Wake Forest,12,417,262,62.8,2676,6.4,20,12,126.80,34.8,223.0
51,52,Utah State,14,484,261,53.9,3138,6.5,17,17,112.96,34.6,224.1
52,53,Texas,13,419,238,56.8,2914,7.0,13,10,120.69,32.2,224.2
53,54,Florida International,12,317,206,65.0,2691,8.5,28,7,161.02,26.4,224.3
54,55,Purdue,12,357,233,65.3,2694,7.5,27,13,146.34,29.8,224.5
55,56,South Alabama,12,370,218,58.9,2695,7.3,20,11,132.00,30.8,224.6
56,57,Maryland,13,435,269,61.8,2926,6.7,18,11,126.94,33.5,225.1
57,58,TCU,12,412,213,51.7,2707,6.6,14,19,108.88,34.3,225.6
58,59,Georgia,13,382,221,57.9,2956,7.7,18,7,134.74,29.4,227.4
59,60,Tulane,13,427,240,56.2,2958,6.9,13,19,115.55,32.8,227.5
60,61,Washington,13,507,279,55.0,2959,5.8,15,16,107.50,39.0,227.6
61,62,North Texas,13,455,267,58.7,2961,6.5,15,18,116.32,35.0,227.8
62,63,Syracuse,13,427,249,58.3,2985,7.0,22,15,127.00,32.8,229.6
63,64,Kentucky,12,336,221,65.8,2758,8.2,22,3,154.54,28.0,229.8
64,65,Tulsa,12,414,241,58.2,2768,6.7,25,15,127.05,34.5,230.7
