,Rank,Name,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
0,1,Fresno State,13,675,461,68.3,5134,7.6,50,10,153.67,51.9,394.9
1,2,Texas Tech,13,714,453,63.4,5107,7.2,35,18,134.68,54.9,392.8
2,3,Oregon State,13,625,413,66.1,4844,7.8,38,16,146.12,48.1,372.6
3,4,Washington State,13,756,470,62.2,4784,6.3,36,24,124.69,58.2,368.0
4,5,Baylor,13,448,277,61.8,4668,10.4,35,6,172.46,34.5,359.1
5,6,San Jose State,12,496,317,63.9,4271,8.6,34,14,153.21,41.3,355.9
6,7,Texas A&M,13,489,339,69.3,4593,9.4,40,13,169.90,37.6,353.3
7,8,SMU,12,619,400,64.6,4097,6.6,23,12,128.60,51.6,341.4
8,9,Clemson,13,492,340,69.1,4328,8.8,39,12,164.28,37.8,332.9
9,10,California,12,620,366,59.0,3957,6.4,22,14,119.83,51.7,329.8
10,11,East Carolina,13,565,397,70.3,4265,7.5,35,10,150.58,43.5,328.1
11,12,Ball State,13,509,322,63.3,4214,8.3,35,8,152.35,39.2,324.2
12,13,Troy,12,483,325,67.3,3867,8.0,28,9,149.94,40.3,322.3
13,14,Florida State,14,442,288,65.2,4423,10.0,42,13,174.70,31.6,315.9
14,15,Georgia,13,459,293,63.8,4085,8.9,31,12,155.65,35.3,314.2
15,16,Louisville,13,439,311,70.8,4082,9.3,33,4,171.93,33.8,314.0
16,17,Indiana,12,470,279,59.4,3680,7.8,36,14,144.45,39.2,306.7
17,18,Cincinnati,13,468,310,66.2,3949,8.4,28,17,149.60,36.0,303.8
18,19,Hawai'i,12,519,296,57.0,3617,7.0,31,22,126.80,43.3,301.4
19,20,Marshall,14,522,315,60.3,4122,7.9,42,10,149.40,37.3,294.4
20,21,Oregon,13,405,256,63.2,3789,9.4,32,6,164.91,31.2,291.5
21,22,Illinois,12,455,302,66.4,3452,7.6,23,14,140.63,37.9,287.7
22,23,Mississippi,13,490,310,63.3,3683,7.5,24,13,137.25,37.7,283.3
23,24,Wyoming,12,474,297,62.7,3389,7.1,29,12,137.85,39.5,282.4
24,25,UCF,13,404,269,66.6,3661,9.1,26,11,158.49,31.1,281.6
25,26,Houston,13,518,299,57.7,3647,7.0,30,10,132.11,39.8,280.5
26,27,Boise State,13,466,329,70.6,3610,7.7,28,11,150.78,35.8,277.7
27,28,North Carolina,13,453,283,62.5,3606,8.0,28,11,144.87,34.8,277.4
28,29,Oklahoma State,13,484,280,57.9,3603,7.4,26,13,132.74,37.2,277.2
29,30,Colorado State,14,480,298,62.1,3730,7.8,24,11,139.28,34.3,266.4
30,31,Bowling Green,14,404,255,63.1,3725,9.2,27,7,159.15,28.9,266.1
31,32,Arizona State,14,494,309,62.6,3723,7.5,28,12,139.69,35.3,265.9
32,33,Miami (Florida),13,384,226,58.9,3452,9.0,25,14,148.56,29.5,265.5
33,34,West Virginia,12,464,251,54.1,3145,6.8,16,16,115.52,38.7,262.1
34,35,Western Kentucky,12,407,266,65.4,3140,7.7,15,16,134.47,33.9,261.7
35,36,Washington,13,413,270,65.4,3384,8.2,25,8,150.31,31.8,260.3
36,37,Penn State,12,409,241,58.9,3110,7.6,21,10,134.84,34.1,259.2
37,38,San Diego State,13,462,260,56.3,3358,7.3,19,14,124.84,35.5,258.3
38,39,Notre Dame,13,429,226,52.7,3313,7.7,27,13,132.26,33.0,254.8
39,40,South Carolina,13,383,239,62.4,3300,8.6,30,4,158.53,29.5,253.8
40,41,Georgia State,12,430,218,50.7,3036,7.1,18,12,118.23,35.8,253.0
41,42,Missouri,14,454,267,58.8,3540,7.8,31,8,143.31,32.4,252.9
42,43,South Alabama,12,394,231,58.6,3033,7.7,16,9,132.12,32.8,252.8
43,44,UCLA,13,392,265,67.6,3269,8.3,25,9,154.11,30.2,251.5
44,45,LSU,13,326,205,62.9,3263,10.0,23,9,164.72,25.1,251.0
45,46,Temple,12,418,235,56.2,2996,7.2,23,11,129.32,34.8,249.7
46,47,Colorado,12,411,235,57.2,2989,7.3,21,15,127.83,34.3,249.1
47,48,Alabama,13,365,244,66.8,3230,8.8,30,7,164.46,28.1,248.5
48,49,Maryland,13,414,229,55.3,3226,7.8,18,10,130.28,31.8,248.2
49,50,Duke,14,472,298,63.1,3474,7.4,26,19,135.09,33.7,248.1
50,51,Michigan,13,395,237,60.0,3221,8.2,21,13,139.45,30.4,247.8
51,52,Nevada,12,414,274,66.2,2968,7.2,17,5,137.53,34.5,247.3
52,53,Ohio,13,425,256,60.2,3190,7.5,22,13,134.25,32.7,245.4
53,54,Mississippi State,13,429,253,59.0,3178,7.4,18,12,129.46,33.0,244.5
