,Rank,Name,G,Sacks,Sack Yards,Sacks/G
0,1,Stanford,14,44.0,310,3.14
1,2,Louisville,13,43.0,310,3.31
2,3,Ohio State,14,42.0,288,3.00
3,4,Missouri,14,41.0,240,2.93
4,4,Washington,13,41.0,238,3.15
5,6,Fresno State,13,40.0,267,3.08
6,6,Arizona State,14,40.0,261,2.86
7,8,Virginia Tech,13,39.0,254,3.00
8,8,North Texas,13,39.0,245,3.00
9,8,Utah,12,39.0,242,3.25
10,8,Texas,13,39.0,239,3.00
11,12,Nebraska,13,38.0,268,2.92
12,12,Tulane,13,38.0,264,2.92
13,12,Buffalo,13,38.0,259,2.92
14,12,South Alabama,12,38.0,254,3.17
15,12,East Carolina,13,38.0,231,2.92
16,12,Clemson,13,38.0,231,2.92
17,18,Syracuse,13,36.0,285,2.77
18,18,Toledo,12,36.0,238,3.00
19,20,Florida State,14,35.0,263,2.50
20,20,Maryland,13,35.0,258,2.69
21,20,Boston College,13,35.0,234,2.69
22,20,Cincinnati,13,35.0,218,2.69
23,20,Ohio,13,35.0,194,2.69
24,25,USC,14,34.0,242,2.43
25,25,Georgia Tech,13,34.0,228,2.62
26,25,Utah State,14,34.0,216,2.43
27,25,Northern Illinois,14,34.0,203,2.43
28,29,Georgia,13,33.0,222,2.54
29,29,Oklahoma,13,33.0,204,2.54
30,31,North Carolina,13,32.0,271,2.46
31,31,Auburn,14,32.0,223,2.29
32,31,TCU,12,32.0,219,2.67
33,31,Colorado State,14,32.0,213,2.29
34,31,Michigan State,14,32.0,207,2.29
35,31,Marshall,14,32.0,190,2.29
36,31,Rutgers,13,32.0,185,2.46
37,38,Houston,13,31.0,248,2.39
38,38,UCLA,13,31.0,214,2.39
39,38,Florida Atlantic,12,31.0,209,2.58
40,38,Baylor,13,31.0,196,2.39
41,42,Bowling Green,14,30.0,191,2.14
42,42,Tulsa,12,30.0,165,2.50
43,44,Boise State,13,29.0,180,2.23
44,44,Miami (Florida),13,29.0,177,2.23
45,44,UCF,13,29.0,163,2.23
46,47,Virginia,12,28.0,229,2.33
47,47,Arkansas,12,28.0,211,2.33
48,47,Penn State,12,28.0,200,2.33
49,47,Vanderbilt,13,28.0,197,2.15
50,47,SMU,12,28.0,176,2.33
51,47,Oregon,13,28.0,175,2.15
52,47,Kansas State,13,28.0,140,2.15
53,54,Northwestern,12,27.0,198,2.25
54,54,LSU,13,27.0,180,2.08
55,54,Ball State,13,27.0,177,2.08
56,54,Middle Tennessee,13,27.0,176,2.08
57,54,Memphis,12,27.0,166,2.25
58,59,San Diego State,13,26.0,180,2.00
59,59,Arkansas State,13,26.0,180,2.00
60,59,Western Kentucky,12,26.0,160,2.17
61,59,Akron,12,26.0,154,2.17
62,59,Hawai'i,12,26.0,154,2.17
63,64,South Carolina,13,25.0,193,1.92
64,64,Michigan,13,25.0,182,1.92
65,64,Pittsburgh,13,25.0,169,1.92
66,64,Oregon State,13,25.0,168,1.92
67,64,Wisconsin,13,25.0,145,1.92
68,69,BYU,13,24.0,173,1.85
69,69,Oklahoma State,13,24.0,153,1.85
70,69,Troy,12,24.0,143,2.00
71,69,Iowa,13,24.0,129,1.85
72,73,Idaho,12,23.0,168,1.92
73,73,Wake Forest,12,23.0,167,1.92
74,73,Wyoming,12,23.0,162,1.92
75,73,Kentucky,12,23.0,158,1.92
76,73,Duke,14,23.0,155,1.64
77,73,Arizona,13,23.0,130,1.77
78,73,Louisiana Tech,12,23.0,120,1.92
79,80,South Florida,12,22.0,159,1.83
80,80,Alabama,13,22.0,145,1.69
81,80,Eastern Michigan,12,22.0,142,1.83
82,83,Central Michigan,12,21.0,162,1.75
83,83,Kent State,12,21.0,155,1.75
84,83,Kansas,12,21.0,151,1.75
85,83,Notre Dame,13,21.0,148,1.62
86,83,Nevada,12,21.0,146,1.75
87,83,Washington State,13,21.0,145,1.62
88,83,UNLV,13,21.0,135,1.62
89,83,Texas Tech,13,21.0,131,1.62
90,83,UTSA,12,21.0,127,1.75
91,83,Louisiana-Lafayette,13,21.0,126,1.62
92,83,Texas A&M,13,21.0,85,1.62
93,94,Rice,14,20.0,170,1.43
94,94,Mississippi State,13,20.0,145,1.54
95,94,Indiana,12,20.0,126,1.67
96,94,North Carolina State,12,20.0,115,1.67
97,98,Mississippi,13,19.0,133,1.46
98,98,Florida,12,19.0,123,1.58
99,98,Temple,12,19.0,100,1.58
100,101,Minnesota,13,18.0,133,1.39
101,101,Texas State,12,18.0,128,1.50
102,101,San Jose State,12,18.0,99,1.50
103,101,Tennessee,12,18.0,95,1.50
104,105,West Virginia,12,17.0,129,1.42
105,105,Colorado,12,17.0,112,1.42
106,105,UAB,12,17.0,96,1.42
107,105,California,12,17.0,88,1.42
108,109,Connecticut,12,16.0,113,1.33
109,109,New Mexico,12,16.0,111,1.33
110,109,Army,12,16.0,101,1.33
111,109,Louisiana-Monroe,12,16.0,82,1.33
112,113,Iowa State,12,15.0,89,1.25
113,114,Air Force,12,14.0,113,1.17
114,114,Illinois,12,14.0,94,1.17
115,114,Florida International,12,14.0,80,1.17
116,114,Purdue,12,14.0,60,1.17
117,118,Southern Mississippi,12,13.0,97,1.08
118,118,UTEP,12,13.0,81,1.08
119,118,Miami (Ohio),12,13.0,72,1.08
120,121,Massachusetts,12,12.0,60,1.00
121,122,New Mexico State,12,11.0,64,0.92
122,122,Navy,13,11.0,57,0.85
123,122,Georgia State,12,11.0,55,0.92
124,125,Western Michigan,12,7.0,39,0.58
