,Rank,Name,G,Kicks/Punts Blocked,Kicks/Punts Blocked/G
0,1,Northwestern,12,6,0.50
1,1,Eastern Michigan,12,6,0.50
2,1,Notre Dame,13,6,0.46
3,1,Nebraska,13,6,0.46
4,1,Rutgers,13,6,0.46
5,1,Oklahoma State,13,6,0.46
6,1,Georgia Tech,14,6,0.43
7,8,Temple,12,5,0.42
8,8,Oklahoma,13,5,0.38
9,10,Buffalo,11,4,0.36
10,10,Wake Forest,12,4,0.33
11,10,Tulsa,12,4,0.33
12,10,Middle Tennessee,12,4,0.33
13,10,Colorado State,13,4,0.31
14,10,Hawai'i,13,4,0.31
15,10,Mississippi State,13,4,0.31
16,10,South Carolina,13,4,0.31
17,10,Marshall,14,4,0.29
18,19,New Mexico,12,3,0.25
19,19,Army,12,3,0.25
20,19,Southern Mississippi,12,3,0.25
21,19,SMU,12,3,0.25
22,19,Georgia Southern,12,3,0.25
23,19,Massachusetts,12,3,0.25
24,19,Virginia Tech,13,3,0.23
25,19,San Diego State,13,3,0.23
26,19,North Carolina,13,3,0.23
27,19,Texas A&M,13,3,0.23
28,19,BYU,13,3,0.23
29,19,Air Force,13,3,0.23
30,19,Kansas State,13,3,0.23
31,19,Navy,13,3,0.23
32,19,Maryland,13,3,0.23
33,19,Minnesota,13,3,0.23
34,19,Georgia,13,3,0.23
35,19,Western Michigan,13,3,0.23
36,19,Utah State,14,3,0.21
37,19,Bowling Green,14,3,0.21
38,19,Boise State,14,3,0.21
39,19,Louisiana Tech,14,3,0.21
40,41,Idaho,11,2,0.18
41,41,New Mexico State,12,2,0.17
42,41,California,12,2,0.17
43,41,Kentucky,12,2,0.17
44,41,Vanderbilt,12,2,0.17
45,41,Kansas,12,2,0.17
46,41,Indiana,12,2,0.17
47,41,Wyoming,12,2,0.17
48,41,North Texas,12,2,0.17
49,41,Michigan,12,2,0.17
50,41,UAB,12,2,0.17
51,41,Appalachian State,12,2,0.17
52,41,East Carolina,13,2,0.15
53,41,Nevada,13,2,0.15
54,41,TCU,13,2,0.15
55,41,Iowa,13,2,0.15
56,41,Stanford,13,2,0.15
57,41,Pittsburgh,13,2,0.15
58,41,USC,13,2,0.15
59,41,Arkansas State,13,2,0.15
60,41,Michigan State,13,2,0.15
61,41,Central Michigan,13,2,0.15
62,41,Memphis,13,2,0.15
63,41,UCF,13,2,0.15
64,41,West Virginia,13,2,0.15
65,41,Arizona State,13,2,0.15
66,41,Florida State,14,2,0.14
67,41,Fresno State,14,2,0.14
68,41,Missouri,14,2,0.14
69,41,Wisconsin,14,2,0.14
70,41,Alabama,14,2,0.14
71,72,UCLA,13,1,0.08
72,72,Florida International,12,1,0.08
73,72,Duke,13,1,0.08
74,72,Washington State,12,1,0.08
75,72,Ohio,12,1,0.08
76,72,Florida Atlantic,12,1,0.08
77,72,Virginia,12,1,0.08
78,72,Utah,13,1,0.08
79,72,Rice,13,1,0.08
80,72,Tennessee,13,1,0.08
81,72,Connecticut,12,1,0.08
82,72,Houston,13,1,0.08
83,72,Boston College,13,1,0.08
84,72,Louisiana-Lafayette,13,1,0.08
85,72,Texas State,12,1,0.08
86,72,Mississippi,13,1,0.08
87,72,Purdue,12,1,0.08
88,72,Troy,12,1,0.08
89,72,Baylor,13,1,0.08
90,72,Clemson,13,1,0.08
91,72,Illinois,13,1,0.08
92,72,Toledo,13,1,0.08
93,72,UTEP,13,1,0.08
94,72,Ball State,12,1,0.08
95,72,Miami (Florida),13,1,0.08
96,72,South Florida,12,1,0.08
97,72,Louisiana-Monroe,12,1,0.08
98,72,Arkansas,13,1,0.08
99,72,Auburn,13,1,0.08
100,72,Akron,12,1,0.08
101,72,Old Dominion,12,1,0.08
102,72,South Alabama,13,1,0.08
103,72,Louisville,13,1,0.08
104,72,Oregon State,12,1,0.08
105,72,Ohio State,15,1,0.07
106,72,Arizona,14,1,0.07
