,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Georgia Tech,14,149,41,18,8,6,4,1,0,0
1,2,Georgia Southern,12,140,47,28,16,10,7,3,2,0
2,3,Ohio State,15,138,36,14,9,7,5,3,3,0
3,4,Navy,13,134,40,23,14,8,4,0,0,0
4,5,Wisconsin,14,119,57,33,25,14,9,2,1,0
5,6,Marshall,14,118,42,24,16,11,9,4,2,0
6,7,Oregon,15,115,34,12,5,2,1,0,0,0
7,8,Auburn,13,111,27,12,2,2,1,1,0,0
8,9,New Mexico,12,104,46,27,17,14,10,4,0,0
9,9,Northern Illinois,14,104,31,8,6,2,2,1,0,0
10,11,Oklahoma,13,103,34,20,9,5,3,1,1,0
11,11,Pittsburgh,13,103,21,8,7,4,2,1,0,0
12,13,Boston College,13,101,35,18,14,8,3,1,0,0
13,13,Toledo,13,101,34,16,10,1,1,1,1,1
14,15,Boise State,14,99,30,12,6,5,3,2,0,0
15,16,Georgia,13,98,34,21,13,7,4,3,2,0
16,17,Nebraska,13,97,28,11,10,5,1,0,0,0
17,17,TCU,13,97,25,10,4,3,2,0,0,0
18,19,Mississippi State,13,95,27,11,8,5,2,1,0,0
19,20,Army,12,94,39,22,11,6,1,1,0,0
20,21,Arkansas State,13,93,30,15,11,8,4,1,0,0
21,22,Minnesota,13,92,19,8,4,1,1,0,0,0
22,23,Air Force,13,91,26,9,6,3,0,0,0,0
23,23,UCLA,13,91,22,9,5,4,3,2,2,1
24,25,Appalachian State,12,90,21,12,5,5,4,2,1,0
25,25,Indiana,12,90,27,21,17,11,9,5,2,1
26,25,Texas State,12,90,21,8,7,6,4,3,1,1
27,28,Baylor,13,89,15,5,1,0,0,0,0,0
28,29,Alabama,14,88,26,4,3,0,0,0,0,0
29,30,North Carolina State,13,86,23,10,6,4,3,1,0,0
30,31,Fresno State,14,83,25,13,9,2,2,1,0,0
31,31,Louisiana-Lafayette,13,83,23,12,7,5,2,2,0,0
32,31,Missouri,14,83,19,9,6,3,3,1,0,0
33,31,Utah State,14,83,28,16,10,7,3,0,0,0
34,35,Houston,13,82,27,15,9,7,1,0,0,0
35,35,San Diego State,13,82,28,16,5,3,3,2,1,1
36,37,Arkansas,13,81,23,9,7,5,3,3,3,1
37,37,Miami (Florida),13,81,26,7,5,4,3,2,2,1
38,39,LSU,13,79,27,9,4,1,1,1,1,0
39,39,Nevada,13,79,19,12,9,7,1,0,0,0
40,41,UAB,12,78,13,7,4,2,0,0,0,0
41,42,Arizona State,13,77,19,8,7,4,0,0,0,0
42,42,Michigan State,13,77,29,16,3,3,3,2,1,0
43,44,BYU,13,76,18,6,0,0,0,0,0,0
44,44,North Carolina,13,76,13,4,4,1,0,0,0,0
45,44,Washington,14,76,16,12,7,7,3,0,0,0
46,47,Utah,13,75,15,9,6,4,3,1,0,0
47,48,Florida State,14,74,25,5,3,1,0,0,0,0
48,49,Arizona,14,73,21,11,4,3,3,3,1,0
49,50,Michigan,12,72,17,6,4,4,2,0,0,0
50,50,UTEP,13,72,26,8,3,2,1,1,0,0
51,52,East Carolina,13,71,19,10,8,2,1,1,1,0
52,53,Notre Dame,13,70,18,4,3,3,1,0,0,0
53,53,Troy,12,70,13,6,4,1,0,0,0,0
54,55,Memphis,13,69,20,12,3,1,0,0,0,0
55,55,Middle Tennessee,12,69,21,12,7,4,3,1,0,0
56,55,South Alabama,13,69,16,9,5,2,1,0,0,0
57,58,Bowling Green,14,68,27,13,4,3,3,1,0,0
58,58,Colorado State,13,68,15,8,8,5,2,1,0,0
59,58,Florida,12,68,18,11,6,1,1,0,0,0
60,58,Louisville,13,68,14,5,3,1,1,0,0,0
61,58,West Virginia,13,68,16,5,4,3,1,0,0,0
62,63,Old Dominion,12,67,16,10,5,3,2,0,0,0
63,63,South Carolina,13,67,17,7,4,3,2,2,0,0
