,Rank,Name,G,Att,Comp,Pct.,Yards,Yards/Att,TD,Int,Rating,Att/G,Yards/G
0,1,Washington State,12,771,510,66.1,5732,7.4,45,18,143.19,64.3,477.7
1,2,Western Kentucky,13,557,378,67.9,4866,8.7,49,10,166.68,42.8,374.3
2,3,East Carolina,13,637,402,63.1,4835,7.6,31,11,139.48,49.0,371.9
3,4,Baylor,13,519,323,62.2,4757,9.2,38,8,160.31,39.9,365.9
4,5,Texas Tech,12,559,332,59.4,4213,7.5,40,18,139.87,46.6,351.1
5,6,California,12,535,329,61.5,4152,7.8,37,10,145.77,44.6,346.0
6,7,TCU,13,529,325,61.4,4240,8.0,37,11,147.69,40.7,326.2
7,8,Colorado State,13,447,286,64.0,4181,9.4,34,7,164.52,34.4,321.6
8,9,West Virginia,13,534,340,63.7,4121,7.7,26,10,140.81,41.1,317.0
9,10,Oregon,15,474,326,68.8,4687,9.9,44,4,180.78,31.6,312.5
10,11,Massachusetts,12,492,269,54.7,3741,7.6,27,13,131.38,41.0,311.8
11,12,Texas A&M,13,514,332,64.6,3971,7.7,39,15,148.69,39.5,305.5
12,13,Cincinnati,13,491,294,59.9,3947,8.0,35,14,145.23,37.8,303.6
13,14,Florida State,14,516,330,64.0,4246,8.2,26,20,141.95,36.9,303.3
14,15,USC,13,460,318,69.1,3856,8.4,39,5,165.36,35.4,296.6
15,16,Old Dominion,12,458,290,63.3,3510,7.7,30,16,142.33,38.2,292.5
16,17,Kansas State,13,415,271,65.3,3736,9.0,23,8,155.35,31.9,287.4
17,18,Marshall,14,473,279,59.0,4022,8.5,40,13,152.83,33.8,287.3
18,19,Notre Dame,13,463,277,59.8,3711,8.0,30,14,142.49,35.6,285.5
19,20,Colorado,12,545,348,63.9,3415,6.3,29,15,128.54,45.4,284.6
20,21,South Carolina,13,468,277,59.2,3671,7.8,28,11,140.12,36.0,282.4
21,22,Arizona,14,564,320,56.7,3945,7.0,29,10,128.92,40.3,281.8
22,23,Mississippi State,13,423,261,61.7,3649,8.6,31,12,152.68,32.5,280.7
23,24,Boise State,14,451,310,68.7,3926,8.7,27,15,154.97,32.2,280.4
24,25,Louisiana-Monroe,12,529,317,59.9,3359,6.3,15,7,119.97,44.1,279.9
25,26,Georgia State,12,446,264,59.2,3348,7.5,23,18,131.20,37.2,279.0
26,27,BYU,13,483,289,59.8,3623,7.5,32,12,139.73,37.2,278.7
27,28,North Carolina,13,509,315,61.9,3619,7.1,29,13,135.30,39.2,278.4
28,29,Alabama,14,451,290,64.3,3890,8.6,32,10,155.73,32.2,277.9
29,30,Miami (Ohio),12,468,226,48.3,3333,7.1,23,10,120.06,39.0,277.8
30,31,Idaho,11,442,257,58.1,3031,6.9,13,20,116.41,40.2,275.5
31,32,Oregon State,12,472,290,61.4,3305,7.0,15,8,127.36,39.3,275.4
32,33,Arizona State,13,467,281,60.2,3556,7.6,34,9,144.32,35.9,273.5
33,34,Southern Mississippi,12,482,277,57.5,3231,6.7,14,15,117.15,40.2,269.3
34,35,Western Michigan,13,372,253,68.0,3475,9.3,26,10,164.15,28.6,267.3
35,36,Michigan State,13,400,236,59.0,3453,8.6,26,9,148.47,30.8,265.6
36,37,Tulsa,12,481,263,54.7,3176,6.6,23,18,118.45,40.1,264.7
37,38,Mississippi,13,428,258,60.3,3427,8.0,24,15,139.03,32.9,263.6
38,39,Clemson,13,451,292,64.7,3404,7.5,23,12,139.66,34.7,261.8
39,40,Arkansas State,13,448,276,61.6,3381,7.5,25,8,139.84,34.5,260.1
40,41,Bowling Green,14,547,317,58.0,3639,6.7,17,13,119.35,39.1,259.9
41,42,Buffalo,11,367,235,64.0,2855,7.8,32,12,151.60,33.4,259.5
42,43,UCLA,13,435,298,68.5,3358,7.7,24,6,148.81,33.5,258.3
43,44,UNLV,13,498,268,53.8,3357,6.7,16,22,112.20,38.3,258.2
44,45,San Jose State,12,450,283,62.9,3038,6.8,16,14,125.11,37.5,253.2
45,46,Louisiana Tech,14,467,270,57.8,3531,7.6,30,13,136.96,33.4,252.2
46,47,Louisville,13,428,237,55.4,3276,7.7,21,10,131.18,32.9,252.0
47,48,Miami (Florida),13,391,227,58.1,3249,8.3,26,12,143.67,30.1,249.9
48,49,Illinois,13,470,287,61.1,3247,6.9,25,12,131.54,36.2,249.8
49,50,Akron,12,528,284,53.8,2995,5.7,14,14,104.88,44.0,249.6
50,51,Iowa State,12,510,282,55.3,2981,5.8,21,11,113.67,42.5,248.4
51,52,Ohio State,15,409,260,63.6,3707,9.1,42,12,167.73,27.3,247.1
52,53,Central Michigan,13,382,243,63.6,3157,8.3,27,13,149.54,29.4,242.8
53,54,Oklahoma State,13,401,222,55.4,3149,7.9,19,17,128.49,30.8,242.2
