,Rank,Name,G,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,UCF,12,16,2,0,0,0,0,0
1,2,Kansas State,13,15,8,5,5,4,4,4
2,2,Oregon,13,15,9,4,3,3,2,1
3,4,Arkansas State,13,13,3,2,2,2,2,2
4,4,Ball State,12,13,7,4,2,2,2,0
5,4,Texas Tech,13,13,4,3,2,2,2,2
6,7,Arizona State,13,12,6,4,2,1,1,1
7,7,Auburn,13,12,5,2,1,0,0,0
8,7,Georgia Southern,13,12,3,0,0,0,0,0
9,10,SMU,12,11,4,1,1,1,1,0
10,11,Boston College,12,10,5,2,1,0,0,0
11,11,Florida International,12,10,3,2,0,0,0,0
12,11,Northern Illinois,14,10,5,5,3,2,2,1
13,11,South Florida,13,10,5,3,1,1,1,1
14,11,UCLA,13,10,2,1,0,0,0,0
15,16,Cincinnati,13,9,1,0,0,0,0,0
16,16,Michigan,13,9,4,2,1,1,1,1
17,16,Penn State,13,9,2,2,0,0,0,0
18,16,Stanford,14,9,3,3,3,2,2,2
19,16,Tennessee,13,9,6,4,4,3,3,2
20,21,Florida State,13,8,4,3,0,0,0,0
21,21,Middle Tennessee,13,8,1,0,0,0,0,0
22,21,North Carolina State,13,8,3,2,2,2,2,2
23,21,Old Dominion,12,8,1,1,1,0,0,0
24,21,West Virginia,13,8,3,2,1,1,1,1
25,21,Western Michigan,13,8,5,5,4,2,1,1
26,27,Charlotte,12,7,2,1,0,0,0,0
27,27,Clemson,15,7,4,1,1,1,0,0
28,27,Colorado,13,7,1,0,0,0,0,0
29,27,Colorado State,13,7,4,4,2,2,2,2
30,27,Fresno State,12,7,5,2,1,0,0,0
31,27,Iowa,14,7,2,1,0,0,0,0
32,27,Louisiana Tech,13,7,3,2,1,1,1,0
33,27,Memphis,13,7,2,0,0,0,0,0
34,27,New Mexico,13,7,3,1,1,1,1,1
35,27,North Carolina,14,7,2,0,0,0,0,0
36,27,Rice,12,7,2,1,1,1,0,0
37,27,San Diego State,14,7,4,3,3,3,3,3
38,27,South Alabama,12,7,5,2,2,1,1,1
39,27,TCU,13,7,4,1,1,0,0,0
40,27,USC,14,7,1,0,0,0,0,0
41,27,Utah State,13,7,4,4,3,1,1,1
42,43,Air Force,14,6,1,0,0,0,0,0
43,43,Alabama,15,6,2,1,1,1,1,1
44,43,Duke,13,6,4,4,4,4,4,4
45,43,Eastern Michigan,12,6,0,0,0,0,0,0
46,43,Houston,14,6,3,2,2,2,2,2
47,43,Kansas,12,6,2,1,1,1,1,1
48,43,Kentucky,12,6,2,1,1,0,0,0
49,43,Marshall,13,6,4,2,2,2,2,2
50,43,Maryland,12,6,3,1,1,1,1,1
51,43,Navy,13,6,3,2,1,1,1,1
52,43,North Texas,12,6,3,2,0,0,0,0
53,43,Texas,12,6,3,2,0,0,0,0
54,43,UTSA,12,6,0,0,0,0,0,0
55,43,Washington,13,6,3,1,0,0,0,0
56,43,Washington State,13,6,3,1,0,0,0,0
57,43,Western Kentucky,14,6,3,2,2,1,1,1
58,59,Appalachian State,13,5,0,0,0,0,0,0
59,59,BYU,13,5,1,0,0,0,0,0
60,59,California,13,5,1,0,0,0,0,0
61,59,Hawai'i,13,5,3,2,2,1,1,1
62,59,Idaho,12,5,1,0,0,0,0,0
63,59,Mississippi State,13,5,2,2,2,1,1,1
64,59,Nevada,13,5,2,1,1,1,1,1
65,59,Northwestern,13,5,2,2,2,2,2,2
66,59,Oklahoma State,13,5,1,1,0,0,0,0
67,59,Pittsburgh,13,5,3,3,3,3,3,1
