,Rank,Name,G,Kickoffs,Yards,Avg.,Touchback,Touchback %,Out-Of-Bounds,Onside
0,1,Central Michigan,13,60,3402,56.70,17,28.33,3,0
1,2,Kansas State,13,76,4327,56.93,24,31.58,1,1
2,3,Washington,13,55,3152,57.31,16,29.09,1,1
3,4,Arkansas State,13,74,4256,57.51,24,32.43,4,2
4,5,Marshall,13,48,2770,57.71,12,25.00,5,2
5,5,USC,14,76,4386,57.71,16,21.05,7,0
6,7,Oregon,13,81,4694,57.95,13,16.05,1,4
7,8,Stanford,14,69,4003,58.01,15,21.74,0,3
8,9,Georgia,13,51,2963,58.10,15,29.41,1,1
9,10,Texas Tech,13,95,5547,58.39,34,35.79,2,3
10,11,Rutgers,12,78,4561,58.47,24,30.77,3,0
11,12,Louisiana Tech,13,70,4096,58.51,14,20.00,1,1
12,13,San Diego State,14,49,2869,58.55,10,20.41,3,1
13,13,Kent State,12,64,3747,58.55,21,32.81,4,0
14,13,Florida International,12,65,3806,58.55,15,23.08,1,2
15,16,Maryland,12,76,4464,58.74,19,25.00,7,1
16,17,Akron,13,55,3233,58.78,21,38.18,0,2
17,18,Tennessee,13,54,3179,58.87,21,38.89,2,0
18,19,Florida Atlantic,12,67,3948,58.93,22,32.84,3,0
19,20,Western Michigan,13,71,4188,58.99,18,25.35,2,0
20,21,Appalachian State,13,50,2953,59.06,11,22.00,0,3
21,22,Miami (Ohio),12,78,4613,59.14,26,33.33,3,0
22,23,Minnesota,13,68,4026,59.21,24,35.29,3,0
23,24,Texas,12,71,4233,59.62,18,25.35,2,1
24,25,Michigan,13,48,2864,59.67,17,35.42,2,0
25,26,Eastern Michigan,12,87,5192,59.68,23,26.44,4,0
26,27,Massachusetts,12,76,4537,59.70,17,22.37,1,1
27,28,Texas A&M,13,62,3702,59.71,20,32.26,1,2
28,29,Wisconsin,13,41,2451,59.78,11,26.83,2,1
29,30,Toledo,12,53,3174,59.89,9,16.98,3,2
30,30,Western Kentucky,14,64,3833,59.89,21,32.81,4,7
31,32,Cincinnati,13,76,4554,59.92,21,27.63,2,3
32,33,New Mexico,13,72,4319,59.99,30,41.67,5,4
33,34,Iowa,14,62,3722,60.03,24,38.71,2,4
34,35,Ohio State,13,43,2582,60.05,22,51.16,4,3
35,36,Nebraska,13,70,4206,60.09,30,42.86,3,2
36,37,North Carolina,14,66,3969,60.14,32,48.48,1,3
37,38,Duke,13,62,3729,60.15,23,37.10,1,2
38,39,Arizona State,13,83,4996,60.19,27,32.53,1,1
39,40,Houston,14,61,3672,60.20,26,42.62,1,2
40,41,Florida State,13,53,3194,60.26,25,47.17,2,0
41,42,Louisiana-Monroe,13,91,5485,60.27,41,45.05,4,0
42,43,Temple,14,63,3810,60.48,22,34.92,2,2
43,43,Mississippi State,13,63,3810,60.48,22,34.92,3,5
44,45,North Texas,12,87,5264,60.51,29,33.33,1,1
45,46,Northern Illinois,14,84,5084,60.52,26,30.95,3,0
46,47,Penn State,13,58,3512,60.55,11,18.97,3,1
47,47,Texas State,12,87,5268,60.55,39,44.83,3,0
48,49,Illinois,12,60,3637,60.62,22,36.67,4,0
49,49,Notre Dame,13,61,3698,60.62,18,29.51,3,3
50,49,Louisiana-Lafayette,12,73,4425,60.62,32,43.84,5,0
51,52,Middle Tennessee,13,68,4123,60.63,23,33.82,1,0
52,53,Missouri,12,47,2850,60.64,7,14.89,2,2
53,54,Boston College,12,46,2790,60.65,11,23.91,2,0
54,55,LSU,12,57,3458,60.67,20,35.09,1,2
55,56,Ball State,12,78,4740,60.77,26,33.33,2,2
56,57,Air Force,14,72,4376,60.78,39,54.17,1,2
57,58,Bowling Green,14,80,4863,60.79,28,35.00,6,1
58,59,Oregon State,12,84,5113,60.87,29,34.52,3,0
59,60,Baylor,13,65,3958,60.89,32,49.23,3,4
60,61,Ohio,13,65,3960,60.92,25,38.46,3,2
61,62,Alabama,15,57,3475,60.96,17,29.82,3,2
62,62,Southern Mississippi,14,73,4450,60.96,30,41.10,1,2
63,64,Purdue,12,81,4941,61.00,34,41.98,4,2
64,65,Connecticut,13,58,3541,61.05,27,46.55,2,0
65,66,Oklahoma,13,60,3665,61.08,22,36.67,4,2
66,67,Army,12,64,3913,61.14,25,39.06,2,0
67,68,Utah State,13,68,4159,61.16,30,44.12,4,1
68,69,Hawai'i,13,88,5386,61.20,27,30.68,8,1
69,70,Syracuse,12,67,4101,61.21,22,32.84,4,1
70,71,SMU,12,94,5757,61.24,37,39.36,2,2
71,72,Vanderbilt,12,60,3675,61.25,18,30.00,1,0
72,73,TCU,13,67,4105,61.27,27,40.30,3,2
73,74,Indiana,13,81,4966,61.31,27,33.33,2,4
74,75,UTSA,12,78,4783,61.32,7,8.97,2,2
75,76,Rice,12,77,4723,61.34,35,45.45,0,1
76,76,UCF,12,85,5214,61.34,17,20.00,3,0
77,78,Pittsburgh,13,75,4603,61.37,31,41.33,1,0
78,79,Georgia Tech,12,63,3867,61.38,28,44.44,1,1
79,80,Kansas,12,100,6139,61.39,43,43.00,2,0
80,81,Washington State,13,67,4114,61.40,24,35.82,5,4
81,82,North Carolina State,13,65,3992,61.42,24,36.92,0,4
82,82,UTEP,12,77,4729,61.42,33,42.86,3,1
83,84,Oklahoma State,13,76,4671,61.46,31,40.79,3,1
84,85,Kentucky,12,66,4060,61.52,33,50.00,0,0
85,86,Auburn,13,67,4128,61.61,29,43.28,2,2
86,87,California,13,80,4932,61.65,35,43.75,1,1
87,88,Buffalo,12,64,3946,61.66,25,39.06,4,1
88,89,East Carolina,12,62,3824,61.68,22,35.48,2,1
89,90,Iowa State,12,73,4505,61.71,32,43.84,2,0
90,91,Old Dominion,12,83,5123,61.72,35,42.17,3,1
91,92,Louisville,13,62,3830,61.77,28,45.16,2,1
92,93,Fresno State,12,80,4944,61.80,30,37.50,0,0
93,94,Arkansas,13,68,4204,61.82,27,39.71,1,0
94,95,Clemson,15,65,4019,61.83,26,40.00,0,5
95,96,South Carolina,12,66,4083,61.86,28,42.42,2,0
96,97,UCLA,13,71,4393,61.87,18,25.35,3,1
97,98,Boise State,13,56,3466,61.89,22,39.29,5,1
98,99,Michigan State,14,62,3839,61.92,36,58.06,2,3
99,100,Virginia,12,76,4712,62.00,35,46.05,0,2
100,101,Nevada,13,72,4467,62.04,39,54.17,1,1
101,102,Northwestern,13,54,3351,62.06,21,38.89,1,0
102,102,Colorado,13,71,4406,62.06,34,47.89,2,0
103,104,Navy,13,55,3415,62.09,23,41.82,0,3
104,104,Mississippi,13,64,3974,62.09,27,42.19,1,2
105,106,Miami (Florida),13,69,4286,62.12,38,55.07,1,5
106,107,Charlotte,12,81,5033,62.14,28,34.57,1,3
107,108,Utah,13,60,3734,62.23,37,61.67,2,1
108,109,Troy,12,62,3861,62.27,31,50.00,1,1
109,110,Wake Forest,12,59,3675,62.29,30,50.85,3,0
110,111,West Virginia,13,70,4361,62.30,34,48.57,3,0
111,112,Memphis,13,71,4427,62.35,23,32.39,4,0
112,113,Idaho,12,90,5626,62.51,46,51.11,2,1
113,114,South Florida,13,63,3939,62.52,20,31.75,3,3
114,115,Georgia Southern,13,64,4006,62.59,23,35.94,0,1
115,116,Colorado State,13,71,4450,62.68,34,47.89,2,2
116,117,South Alabama,12,80,5021,62.76,36,45.00,3,2
117,118,UNLV,12,73,4583,62.78,39,53.42,0,1
118,118,Tulane,12,77,4834,62.78,28,36.36,2,1
119,120,Wyoming,12,77,4838,62.83,39,50.65,4,1
120,121,San Jose State,13,66,4152,62.91,33,50.00,1,2
121,122,New Mexico State,12,94,5916,62.94,60,63.83,1,0
122,123,Arizona,13,84,5295,63.04,47,55.95,1,2
123,124,Tulsa,13,95,5994,63.09,57,60.00,2,1
124,125,BYU,13,60,3786,63.10,26,43.33,0,1
125,126,Georgia State,13,78,4947,63.42,35,44.87,2,1
126,127,Florida,14,59,3755,63.64,26,44.07,0,1
127,128,Virginia Tech,13,65,4140,63.69,29,44.62,2,1
