,Rank,Name,G,Ret.,Yards,Avg.,TD,Ret./G,Yards/G
0,1,Oklahoma,13,11,12,1.09,0,0.8,0.9
1,2,Boston College,12,32,53,1.66,0,2.7,4.4
2,3,Northwestern,13,17,33,1.94,0,1.3,2.5
3,4,Houston,14,16,35,2.19,0,1.1,2.5
4,5,TCU,13,13,33,2.54,0,1.0,2.5
5,6,Virginia Tech,13,19,54,2.84,0,1.5,4.2
6,7,North Carolina State,13,18,52,2.89,0,1.4,4.0
7,8,Ohio,13,17,50,2.94,0,1.3,3.8
8,9,Duke,13,14,42,3.00,0,1.1,3.2
9,10,East Carolina,12,14,46,3.29,0,1.2,3.8
10,11,Arizona,13,23,79,3.43,0,1.8,6.1
11,12,Baylor,13,8,28,3.50,0,0.6,2.2
12,13,Ohio State,13,12,43,3.58,0,0.9,3.3
13,14,New Mexico,13,20,72,3.60,0,1.5,5.5
14,15,Texas,12,13,50,3.85,0,1.1,4.2
15,16,Florida,14,33,129,3.91,0,2.4,9.2
16,17,Wisconsin,13,17,69,4.06,0,1.3,5.3
17,18,Connecticut,13,17,71,4.18,0,1.3,5.5
18,19,Pittsburgh,13,21,88,4.19,0,1.6,6.8
19,20,Western Michigan,13,7,30,4.29,0,0.5,2.3
20,21,Wyoming,12,21,97,4.62,1,1.8,8.1
21,22,West Virginia,13,19,89,4.68,0,1.5,6.8
22,23,Arkansas State,13,10,47,4.70,0,0.8,3.6
23,23,Oklahoma State,13,20,94,4.70,0,1.5,7.2
24,25,Louisville,13,12,57,4.75,1,0.9,4.4
25,26,Marshall,13,24,116,4.83,0,1.8,8.9
26,27,San Diego State,14,19,95,5.00,0,1.4,6.8
27,28,Georgia Southern,13,13,66,5.08,0,1.0,5.1
28,29,Northern Illinois,14,15,78,5.20,0,1.1,5.6
29,29,Central Michigan,13,20,104,5.20,0,1.5,8.0
30,31,Akron,13,23,123,5.35,0,1.8,9.5
31,32,Army,12,14,76,5.43,0,1.2,6.3
32,33,Mississippi,13,18,107,5.94,0,1.4,8.2
33,34,Clemson,15,16,97,6.06,0,1.1,6.5
34,35,Penn State,13,31,190,6.13,0,2.4,14.6
35,36,Appalachian State,13,19,117,6.16,0,1.5,9.0
36,37,Louisiana-Lafayette,12,15,94,6.27,0,1.3,7.8
37,37,Iowa State,12,15,94,6.27,0,1.3,7.8
38,39,UTSA,12,21,132,6.29,0,1.8,11.0
39,40,Colorado,13,20,130,6.50,0,1.5,10.0
40,41,UCLA,13,9,60,6.67,1,0.7,4.6
41,41,Washington,13,12,80,6.67,0,0.9,6.2
