,Rank,Name,G,Att.,Made,Pct.,Att/G,Made/G
0,1,Baylor,13,83,83,100.0,6.4,6.4
1,1,Houston,14,75,75,100.0,5.4,5.4
2,1,Oregon,13,67,67,100.0,5.2,5.2
3,1,Mississippi,13,66,66,100.0,5.1,5.1
4,1,North Carolina,14,68,68,100.0,4.9,4.9
5,1,Stanford,14,67,67,100.0,4.8,4.8
6,1,Memphis,13,63,63,100.0,4.8,4.8
7,1,Ohio State,13,62,62,100.0,4.8,4.8
8,1,Appalachian State,13,61,61,100.0,4.7,4.7
9,1,Louisiana Tech,13,60,60,100.0,4.6,4.6
10,1,Arkansas,13,58,58,100.0,4.5,4.5
11,1,Tennessee,13,56,56,100.0,4.3,4.3
12,1,Middle Tennessee,13,56,56,100.0,4.3,4.3
13,1,Alabama,15,63,63,100.0,4.2,4.2
14,1,San Diego State,14,57,57,100.0,4.1,4.1
15,1,Arizona State,13,52,52,100.0,4.0,4.0
16,1,Washington,13,50,50,100.0,3.8,3.8
17,1,Marshall,13,49,49,100.0,3.8,3.8
18,1,New Mexico,13,49,49,100.0,3.8,3.8
19,1,Florida State,13,49,49,100.0,3.8,3.8
20,1,Washington State,13,49,49,100.0,3.8,3.8
21,1,Utah,13,47,47,100.0,3.6,3.6
22,1,UCLA,13,47,47,100.0,3.6,3.6
23,1,SMU,12,43,43,100.0,3.6,3.6
24,1,Michigan,13,46,46,100.0,3.5,3.5
25,1,Kansas State,13,44,44,100.0,3.4,3.4
26,1,Ohio,13,44,44,100.0,3.4,3.4
27,1,Rice,12,40,40,100.0,3.3,3.3
28,1,Wisconsin,13,42,42,100.0,3.2,3.2
29,1,Duke,13,42,42,100.0,3.2,3.2
30,1,Texas A&M,13,41,41,100.0,3.2,3.2
31,1,Auburn,13,40,40,100.0,3.1,3.1
32,1,Miami (Florida),13,40,40,100.0,3.1,3.1
33,1,Georgia,13,40,40,100.0,3.1,3.1
34,1,Syracuse,12,37,37,100.0,3.1,3.1
35,1,Eastern Michigan,12,36,36,100.0,3.0,3.0
36,1,Central Michigan,13,38,38,100.0,2.9,2.9
37,1,Colorado,13,36,36,100.0,2.8,2.8
38,1,Illinois,12,32,32,100.0,2.7,2.7
39,1,South Alabama,12,32,32,100.0,2.7,2.7
40,1,Louisiana-Monroe,13,34,34,100.0,2.6,2.6
41,1,Army,12,31,31,100.0,2.6,2.6
42,1,Minnesota,13,31,31,100.0,2.4,2.4
43,1,Florida Atlantic,12,28,28,100.0,2.3,2.3
44,1,South Carolina,12,25,25,100.0,2.1,2.1
45,1,Charlotte,12,24,24,100.0,2.0,2.0
46,1,Boston College,12,24,24,100.0,2.0,2.0
47,1,Oregon State,12,23,23,100.0,1.9,1.9
48,1,North Texas,12,21,21,100.0,1.8,1.8
49,1,Vanderbilt,12,18,18,100.0,1.5,1.5
50,1,UCF,12,18,18,100.0,1.5,1.5
51,1,Missouri,12,15,15,100.0,1.3,1.3
52,1,Kent State,12,14,14,100.0,1.2,1.2
53,54,Western Kentucky,14,80,79,98.8,5.7,5.6
54,55,Texas Tech,13,73,72,98.6,5.6,5.5
55,56,TCU,13,61,60,98.4,4.7,4.6
56,57,Georgia Southern,13,60,59,98.3,4.6,4.5
57,58,South Florida,13,55,54,98.2,4.2,4.2
58,59,West Virginia,13,54,53,98.1,4.2,4.1
59,60,Toledo,12,50,49,98.0,4.2,4.1
60,60,LSU,12,50,49,98.0,4.2,4.1
61,60,Cincinnati,13,50,49,98.0,3.8,3.8
62,63,Louisville,13,47,46,97.9,3.6,3.5
63,64,Georgia Tech,12,45,44,97.8,3.8,3.7
64,64,Virginia Tech,13,45,44,97.8,3.5,3.4
65,64,Temple,14,45,44,97.8,3.2,3.1
66,67,UNLV,12,44,43,97.7,3.7,3.6
67,67,Pittsburgh,13,43,42,97.7,3.3,3.2
68,67,Georgia State,13,43,42,97.7,3.3,3.2
69,70,Idaho,12,40,39,97.5,3.3,3.3
70,70,Troy,12,40,39,97.5,3.3,3.3
71,72,Texas,12,39,38,97.4,3.3,3.2
72,73,Oklahoma,13,73,71,97.3,5.6,5.5
73,73,Iowa State,12,37,36,97.3,3.1,3.0
74,75,Virginia,12,35,34,97.1,2.9,2.8
75,75,Maryland,12,34,33,97.1,2.8,2.8
76,77,Ball State,12,32,31,96.9,2.7,2.6
77,78,Arizona,13,62,60,96.8,4.8,4.6
78,79,Boise State,13,61,59,96.7,4.7,4.5
79,79,Tulsa,13,60,58,96.7,4.6,4.5
80,79,Air Force,14,60,58,96.7,4.3,4.1
81,79,USC,14,60,58,96.7,4.3,4.1
82,79,Tulane,12,30,29,96.7,2.5,2.4
83,84,North Carolina State,13,57,55,96.5,4.4,4.2
84,85,Mississippi State,13,56,54,96.4,4.3,4.2
85,85,California,13,55,53,96.4,4.2,4.1
86,85,Hawai'i,13,28,27,96.4,2.2,2.1
87,88,Northern Illinois,14,54,52,96.3,3.9,3.7
88,89,Notre Dame,13,52,50,96.2,4.0,3.8
89,89,Michigan State,14,53,51,96.2,3.8,3.6
90,91,Wake Forest,12,25,24,96.0,2.1,2.0
91,92,Nebraska,13,46,44,95.7,3.5,3.4
92,93,Arkansas State,13,66,63,95.5,5.1,4.8
93,94,East Carolina,12,43,41,95.3,3.6,3.4
94,95,Navy,13,62,59,95.2,4.8,4.5
95,96,Purdue,12,40,38,95.0,3.3,3.2
96,96,Nevada,13,40,38,95.0,3.1,2.9
97,98,Akron,13,38,36,94.7,2.9,2.8
98,99,Southern Mississippi,14,74,70,94.6,5.3,5.0
99,99,Western Michigan,13,56,53,94.6,4.3,4.1
100,101,BYU,13,55,52,94.5,4.2,4.0
101,102,Kentucky,12,35,33,94.3,2.9,2.8
102,103,Louisiana-Lafayette,12,34,32,94.1,2.8,2.7
103,103,Massachusetts,12,34,32,94.1,2.8,2.7
104,105,Oklahoma State,13,66,62,93.9,5.1,4.8
105,105,Utah State,13,49,46,93.9,3.8,3.5
106,105,Old Dominion,12,33,31,93.9,2.8,2.6
107,105,Fresno State,12,33,31,93.9,2.8,2.6
108,109,Colorado State,13,46,43,93.5,3.5,3.3
109,110,San Jose State,13,45,42,93.3,3.5,3.2
110,111,Indiana,13,57,53,93.0,4.4,4.1
