,Rank,Name,G,Ret.,Yards,Avg.,TD,Ret./G,Yards/G
0,1,Texas A&M,13,19,374,19.68,2,1.5,28.8
1,2,Maryland,12,26,460,17.69,2,2.2,38.3
2,3,Iowa State,12,22,383,17.41,1,1.8,31.9
3,4,Tennessee,13,33,567,17.18,3,2.5,43.6
4,5,Georgia Southern,13,21,339,16.14,1,1.6,26.1
5,6,Washington,13,23,368,16.00,2,1.8,28.3
6,6,Virginia,12,10,160,16.00,1,0.8,13.3
7,6,Arizona,13,9,144,16.00,1,0.7,11.1
8,9,Syracuse,12,17,271,15.94,2,1.4,22.6
9,10,San Jose State,13,8,112,14.00,1,0.6,8.6
10,11,Florida,14,32,446,13.94,2,2.3,31.9
11,11,Iowa,14,18,251,13.94,0,1.3,17.9
12,13,Rutgers,12,12,167,13.92,1,1.0,13.9
13,14,Oregon State,12,12,160,13.33,1,1.0,13.3
14,15,Arkansas,13,14,186,13.29,0,1.1,14.3
15,16,North Carolina,14,23,303,13.17,2,1.6,21.6
16,17,Georgia,13,30,394,13.13,3,2.3,30.3
17,18,Ohio State,13,30,392,13.07,0,2.3,30.2
18,19,North Carolina State,13,28,363,12.96,1,2.2,27.9
19,20,Alabama,15,47,597,12.70,5,3.1,39.8
20,21,Nevada,13,12,152,12.67,0,0.9,11.7
21,21,Tulsa,13,9,114,12.67,0,0.7,8.8
22,23,Oregon,13,12,151,12.58,1,0.9,11.6
23,24,Colorado State,13,25,314,12.56,2,1.9,24.2
24,25,Troy,12,19,235,12.37,1,1.6,19.6
25,26,Texas State,12,15,183,12.20,1,1.3,15.3
26,27,Texas,12,23,279,12.13,1,1.9,23.3
27,28,Buffalo,12,10,116,11.60,1,0.8,9.7
28,29,Auburn,13,15,173,11.53,0,1.2,13.3
29,30,Arkansas State,13,36,413,11.47,1,2.8,31.8
30,31,Michigan,13,18,205,11.39,0,1.4,15.8
31,32,Mississippi State,13,19,214,11.26,1,1.5,16.5
32,33,Indiana,13,18,199,11.06,2,1.4,15.3
33,34,Toledo,12,23,252,10.96,0,1.9,21.0
34,35,UCLA,13,20,219,10.95,0,1.5,16.8
35,36,South Florida,13,21,229,10.90,0,1.6,17.6
36,37,Florida International,12,19,206,10.84,1,1.6,17.2
37,38,Utah,13,30,325,10.83,2,2.3,25.0
38,39,Fresno State,12,11,117,10.64,0,0.9,9.8
39,40,Marshall,13,23,241,10.48,1,1.8,18.5
40,41,Houston,14,29,302,10.41,1,2.1,21.6
41,42,Nebraska,13,11,114,10.36,0,0.8,8.8
42,43,Temple,14,29,294,10.14,1,2.1,21.0
43,44,TCU,13,19,192,10.11,1,1.5,14.8
44,45,Illinois,12,29,290,10.00,2,2.4,24.2
45,46,San Diego State,14,26,258,9.92,1,1.9,18.4
46,47,LSU,12,24,235,9.79,1,2.0,19.6
47,48,East Carolina,12,23,225,9.78,1,1.9,18.8
48,49,Ball State,12,13,127,9.77,0,1.1,10.6
49,50,Utah State,13,44,429,9.75,2,3.4,33.0
50,51,Louisiana-Lafayette,12,25,242,9.68,1,2.1,20.2
51,52,Georgia Tech,12,20,189,9.45,0,1.7,15.8
52,53,USC,14,27,255,9.44,2,1.9,18.2
53,54,Cincinnati,13,15,141,9.40,0,1.2,10.8
54,55,Air Force,14,15,139,9.27,1,1.1,9.9
55,56,Louisiana Tech,13,16,148,9.25,1,1.2,11.4
56,57,Stanford,14,17,154,9.06,1,1.2,11.0
57,58,Miami (Florida),13,22,198,9.00,1,1.7,15.2
58,59,Western Michigan,13,10,88,8.80,0,0.8,6.8
59,60,BYU,13,25,217,8.68,0,1.9,16.7
60,61,North Texas,12,20,172,8.60,1,1.7,14.3
61,62,Virginia Tech,13,32,275,8.59,2,2.5,21.2
62,63,Northwestern,13,13,108,8.31,0,1.0,8.3
63,64,New Mexico State,12,17,141,8.29,0,1.4,11.8
64,65,UTEP,12,18,149,8.28,1,1.5,12.4
65,66,Massachusetts,12,14,114,8.14,0,1.2,9.5
66,67,Miami (Ohio),12,13,105,8.08,0,1.1,8.8
67,68,Boston College,12,29,233,8.03,1,2.4,19.4
68,69,Memphis,13,28,224,8.00,1,2.2,17.2
69,70,Notre Dame,13,27,215,7.96,2,2.1,16.5
70,71,Hawai'i,13,26,201,7.73,1,2.0,15.5
71,72,Western Kentucky,14,18,136,7.56,0,1.3,9.7
72,73,Rice,12,15,113,7.53,0,1.3,9.4
73,74,Oklahoma,13,22,165,7.50,0,1.7,12.7
74,74,Wyoming,12,14,105,7.50,0,1.2,8.8
75,76,Kentucky,12,11,81,7.36,0,0.9,6.8
76,77,Purdue,12,10,73,7.30,0,0.8,6.1
77,78,Wisconsin,13,29,211,7.28,0,2.2,16.2
78,79,Northern Illinois,14,21,150,7.14,0,1.5,10.7
79,80,Penn State,13,31,221,7.13,0,2.4,17.0
80,81,Louisville,13,30,212,7.07,0,2.3,16.3
81,81,Duke,13,30,212,7.07,0,2.3,16.3
82,83,Washington State,13,17,120,7.06,0,1.3,9.2
83,84,Arizona State,13,27,189,7.00,0,2.1,14.5
84,85,Kansas State,13,24,167,6.96,1,1.8,12.8
85,86,Florida Atlantic,12,20,135,6.75,0,1.7,11.3
86,87,Oklahoma State,13,24,160,6.67,2,1.8,12.3
87,88,Ohio,13,20,131,6.55,0,1.5,10.1
88,89,Bowling Green,14,14,90,6.43,0,1.0,6.4
89,90,Vanderbilt,12,31,197,6.35,0,2.6,16.4
90,91,Pittsburgh,13,19,120,6.32,1,1.5,9.2
91,92,Tulane,12,14,88,6.29,0,1.2,7.3
92,92,Texas Tech,13,14,88,6.29,0,1.1,6.8
93,94,Colorado,13,16,99,6.19,0,1.2,7.6
94,95,Army,12,22,135,6.14,1,1.8,11.3
95,95,South Alabama,12,14,86,6.14,0,1.2,7.2
96,97,Navy,13,11,67,6.09,0,0.8,5.2
97,98,UCF,12,12,72,6.00,0,1.0,6.0
98,99,California,13,14,82,5.86,0,1.1,6.3
99,100,Missouri,12,27,158,5.85,1,2.3,13.2
100,101,Appalachian State,13,21,122,5.81,0,1.6,9.4
101,102,West Virginia,13,24,133,5.54,0,1.8,10.2
102,103,UNLV,12,12,66,5.50,0,1.0,5.5
103,104,Eastern Michigan,12,8,43,5.38,0,0.7,3.6
104,105,Boise State,13,32,170,5.31,0,2.5,13.1
105,106,New Mexico,13,11,58,5.27,0,0.8,4.5
106,107,UTSA,12,19,98,5.16,0,1.6,8.2
107,107,Akron,13,19,98,5.16,0,1.5,7.5
108,109,Southern Mississippi,14,27,129,4.78,0,1.9,9.2
109,110,Middle Tennessee,13,21,98,4.67,0,1.6,7.5
110,111,South Carolina,12,12,55,4.58,0,1.0,4.6
111,112,Central Michigan,13,12,52,4.33,0,0.9,4.0
112,113,Baylor,13,15,64,4.27,0,1.2,4.9
113,114,Wake Forest,12,24,90,3.75,0,2.0,7.5
114,115,Florida State,13,34,127,3.74,0,2.6,9.8
115,116,Kent State,12,28,103,3.68,0,2.3,8.6
116,117,Mississippi,13,30,109,3.63,0,2.3,8.4
117,118,Charlotte,12,22,79,3.59,0,1.8,6.6
118,119,Minnesota,13,24,84,3.50,0,1.8,6.5
119,119,Georgia State,13,10,35,3.50,0,0.8,2.7
120,121,Michigan State,14,13,44,3.38,0,0.9,3.1
121,122,SMU,12,13,41,3.15,0,1.1,3.4
122,123,Clemson,15,27,63,2.33,0,1.8,4.2
123,124,Louisiana-Monroe,13,11,24,2.18,0,0.8,1.8
124,125,Old Dominion,12,16,34,2.13,0,1.3,2.8
125,126,Kansas,12,13,26,2.00,0,1.1,2.2
126,127,Idaho,12,12,20,1.67,0,1.0,1.7
127,128,Connecticut,13,5,2,0.40,0,0.4,0.2
