,Rank,Name,G,Attempts,Conversions,Conversion %
0,1,South Florida,13,19,17,89.47
1,2,Western Michigan,14,17,15,88.24
2,3,Kentucky,13,16,12,75.00
3,4,California,12,31,23,74.19
4,5,New Mexico,13,22,16,72.73
5,6,Louisville,13,16,11,68.75
6,7,Marshall,12,24,16,66.67
7,8,Troy,13,26,17,65.38
8,9,Michigan,13,20,13,65.00
9,9,Notre Dame,12,20,13,65.00
10,11,Rice,12,17,11,64.71
11,11,Iowa,13,17,11,64.71
12,13,Houston,13,30,19,63.33
13,14,BYU,13,19,12,63.16
14,15,Syracuse,12,27,17,62.96
15,16,Southern Mississippi,13,35,22,62.86
16,17,Oregon,12,29,18,62.07
17,18,Ohio State,13,21,13,61.90
18,19,Eastern Michigan,13,13,8,61.54
19,19,Nevada,12,13,8,61.54
20,21,Navy,14,28,17,60.71
21,22,East Carolina,12,35,21,60.00
22,22,Hawai'i,14,25,15,60.00
23,22,Clemson,15,25,15,60.00
24,22,Tulsa,13,15,9,60.00
25,22,Kansas State,13,15,9,60.00
26,22,Louisiana Tech,14,10,6,60.00
27,22,Florida State,13,5,3,60.00
28,29,Bowling Green,12,44,26,59.09
29,29,Idaho,13,22,13,59.09
30,29,Utah,13,22,13,59.09
31,29,Memphis,13,22,13,59.09
32,33,TCU,13,17,10,58.82
33,33,Alabama,15,17,10,58.82
34,35,Arkansas State,13,26,15,57.69
35,36,Nebraska,13,21,12,57.14
36,37,Baylor,13,46,26,56.52
37,37,Colorado State,13,23,13,56.52
38,39,Old Dominion,13,32,18,56.25
39,39,UNLV,12,16,9,56.25
40,39,Virginia Tech,14,16,9,56.25
41,42,Tulane,12,36,20,55.56
42,42,Texas A&M,13,18,10,55.56
43,42,Arkansas,13,18,10,55.56
44,42,Wyoming,14,18,10,55.56
45,42,Washington,14,9,5,55.56
46,47,Appalachian State,13,29,16,55.17
47,48,Washington State,13,31,17,54.84
48,49,Missouri,12,24,13,54.17
49,49,New Mexico State,12,24,13,54.17
50,51,Army,13,37,20,54.05
51,52,UTSA,13,26,14,53.85
52,52,Pittsburgh,13,13,7,53.85
53,52,Georgia,13,13,7,53.85
54,52,Oklahoma,13,13,7,53.85
55,52,Central Michigan,13,13,7,53.85
56,57,Air Force,13,15,8,53.33
57,58,Northwestern,13,32,17,53.13
58,59,Boise State,13,17,9,52.94
59,60,Ball State,12,23,12,52.17
60,60,Virginia,12,23,12,52.17
61,62,South Carolina,13,25,13,52.00
62,63,Mississippi State,13,28,14,50.00
63,63,Louisiana-Monroe,12,26,13,50.00
64,63,Florida International,12,26,13,50.00
65,63,Massachusetts,12,24,12,50.00
66,63,Boston College,13,22,11,50.00
67,63,Texas,12,22,11,50.00
68,63,Georgia Tech,13,22,11,50.00
69,63,Penn State,14,20,10,50.00
70,63,West Virginia,13,16,8,50.00
71,63,USC,13,14,7,50.00
72,63,Wisconsin,14,12,6,50.00
73,63,Stanford,13,12,6,50.00
74,63,Minnesota,13,10,5,50.00
75,76,Charlotte,12,33,16,48.48
76,77,Connecticut,12,23,11,47.83
77,77,Iowa State,12,23,11,47.83
78,77,Texas State,12,23,11,47.83
79,80,Auburn,13,21,10,47.62
80,80,Michigan State,12,21,10,47.62
81,80,Akron,12,21,10,47.62
82,83,Utah State,12,19,9,47.37
83,83,Northern Illinois,12,19,9,47.37
84,85,Arizona State,12,17,8,47.06
85,86,Miami (Ohio),13,15,7,46.67
86,86,Florida,13,15,7,46.67
87,88,Miami (Florida),13,13,6,46.15
88,88,San Diego State,14,13,6,46.15
89,90,Purdue,12,33,15,45.45
90,90,South Alabama,13,22,10,45.45
91,90,UCLA,12,11,5,45.45
92,93,North Carolina State,13,27,12,44.44
93,93,Georgia Southern,12,18,8,44.44
94,93,Ohio,14,18,8,44.44
95,96,Texas Tech,12,25,11,44.00
96,97,Illinois,12,16,7,43.75
97,97,Rutgers,12,16,7,43.75
98,97,Buffalo,12,16,7,43.75
99,100,Temple,14,23,10,43.48
100,100,San Jose State,12,23,10,43.48
101,102,UCF,13,35,15,42.86
102,103,Colorado,14,19,8,42.11
103,104,Oklahoma State,13,12,5,41.67
104,105,Cincinnati,12,17,7,41.18
105,105,Western Kentucky,14,17,7,41.18
106,105,Wake Forest,13,17,7,41.18
107,108,North Carolina,13,15,6,40.00
108,108,Toledo,13,10,4,40.00
109,110,Florida Atlantic,12,18,7,38.89
110,111,Maryland,13,29,11,37.93
111,112,Duke,12,24,9,37.50
112,112,Mississippi,12,16,6,37.50
113,112,SMU,12,16,6,37.50
114,115,North Texas,13,22,8,36.36
115,116,Kent State,12,14,5,35.71
116,116,Georgia State,12,14,5,35.71
117,118,Fresno State,12,23,8,34.78
118,119,Vanderbilt,13,18,6,33.33
119,119,UTEP,12,15,5,33.33
120,121,Louisiana-Lafayette,13,24,7,29.17
121,122,Middle Tennessee,13,14,4,28.57
122,123,Arizona,12,18,5,27.78
123,124,Indiana,13,27,7,25.93
124,125,Kansas,12,20,5,25.00
125,126,Tennessee,13,9,2,22.22
126,127,Oregon State,12,15,3,20.00
127,128,LSU,12,8,1,12.50
