,Rank,Name,G,Ret.,Yards,Avg.,TD,Ret./G,Yards/G
0,1,Bowling Green,12,39,587,15.05,0,3.3,48.9
1,2,Memphis,13,28,449,16.04,0,2.2,34.5
2,3,Arkansas State,13,53,855,16.13,1,4.1,65.8
3,4,Louisiana-Lafayette,13,39,643,16.49,0,3.0,49.5
4,5,Purdue,12,44,743,16.89,0,3.7,61.9
5,6,Old Dominion,13,67,1144,17.07,0,5.2,88.0
6,7,Navy,14,59,1008,17.08,1,4.2,72.0
7,8,Tulane,12,30,522,17.40,0,2.5,43.5
8,9,Idaho,13,50,876,17.52,0,3.8,67.4
9,10,Troy,13,49,867,17.69,0,3.8,66.7
10,11,Fresno State,12,34,603,17.74,0,2.8,50.3
11,12,Virginia Tech,14,21,376,17.90,0,1.5,26.9
12,13,Oklahoma State,13,54,969,17.94,0,4.2,74.5
13,14,Auburn,13,19,342,18.00,0,1.5,26.3
14,15,Central Michigan,13,46,829,18.02,0,3.5,63.8
15,15,California,12,48,865,18.02,2,4.0,72.1
16,17,Florida State,13,33,595,18.03,0,2.5,45.8
17,18,Connecticut,12,12,217,18.08,0,1.0,18.1
18,19,Minnesota,13,31,563,18.16,0,2.4,43.3
19,20,BYU,13,50,915,18.30,0,3.8,70.4
20,21,Maryland,13,52,952,18.31,0,4.0,73.2
21,22,Oregon State,12,36,661,18.36,0,3.0,55.1
22,23,Kansas State,13,42,773,18.40,0,3.2,59.5
23,24,Boston College,13,39,719,18.44,0,3.0,55.3
24,25,Duke,12,42,784,18.67,0,3.5,65.3
25,26,Western Kentucky,14,80,1494,18.68,0,5.7,106.7
26,27,LSU,12,49,919,18.76,0,4.1,76.6
27,28,Penn State,14,50,941,18.82,0,3.6,67.2
28,29,Washington,14,58,1093,18.84,0,4.1,78.1
29,30,Ohio State,13,52,984,18.92,1,4.0,75.7
30,31,Nevada,12,33,627,19.00,0,2.8,52.3
31,31,TCU,13,46,874,19.00,0,3.5,67.2
32,33,Army,13,52,989,19.02,1,4.0,76.1
33,34,Arizona,12,35,671,19.17,0,2.9,55.9
34,35,Baylor,13,55,1056,19.20,0,4.2,81.2
35,36,Ohio,14,68,1308,19.24,1,4.9,93.4
36,37,USC,13,39,752,19.28,0,3.0,57.8
37,38,Utah State,12,32,623,19.47,0,2.7,51.9
38,39,Eastern Michigan,13,55,1072,19.49,0,4.2,82.5
39,40,San Jose State,12,14,273,19.50,0,1.2,22.8
40,41,Kentucky,13,51,997,19.55,0,3.9,76.7
41,42,Washington State,13,52,1018,19.58,1,4.0,78.3
42,43,Colorado State,13,32,628,19.63,0,2.5,48.3
43,44,Toledo,13,66,1297,19.65,1,5.1,99.8
44,44,Pittsburgh,13,66,1297,19.65,1,5.1,99.8
45,46,Indiana,13,35,688,19.66,0,2.7,52.9
46,46,Ball State,12,53,1042,19.66,0,4.4,86.8
47,48,Clemson,15,57,1123,19.70,0,3.8,74.9
48,49,Texas A&M,13,21,417,19.86,0,1.6,32.1
49,50,Wisconsin,14,29,579,19.97,0,2.1,41.4
50,50,UTSA,13,38,759,19.97,2,2.9,58.4
51,52,UCF,13,32,641,20.03,0,2.5,49.3
52,53,Mississippi State,13,42,843,20.07,0,3.2,64.8
53,54,Western Michigan,14,74,1494,20.19,0,5.3,106.7
54,55,Hawai'i,14,44,891,20.25,0,3.1,63.6
55,56,UTEP,12,19,385,20.26,0,1.6,32.1
56,56,Tennessee,13,34,689,20.26,0,2.6,53.0
57,56,Kent State,12,43,871,20.26,0,3.6,72.6
58,59,Iowa,13,21,428,20.38,0,1.6,32.9
59,60,Stanford,13,25,510,20.40,0,1.9,39.2
60,60,North Carolina State,13,47,959,20.40,0,3.6,73.8
61,62,Mississippi,12,45,921,20.47,0,3.8,76.8
62,63,Oregon,12,25,513,20.52,0,2.1,42.8
63,64,Utah,13,39,802,20.56,1,3.0,61.7
64,65,Kansas,12,21,432,20.57,0,1.8,36.0
65,66,Arkansas,13,54,1115,20.65,0,4.2,85.8
66,67,Charlotte,12,50,1035,20.70,0,4.2,86.3
67,68,Cincinnati,12,35,726,20.74,0,2.9,60.5
68,69,San Diego State,14,58,1209,20.84,0,4.1,86.4
69,70,Air Force,13,39,813,20.85,0,3.0,62.5
70,70,Louisville,13,88,1835,20.85,0,6.8,141.2
71,72,Northwestern,13,33,689,20.88,0,2.5,53.0
72,73,Iowa State,12,30,629,20.97,0,2.5,52.4
73,74,Middle Tennessee,13,65,1365,21.00,0,5.0,105.0
74,75,Miami (Ohio),13,43,908,21.12,0,3.3,69.8
75,76,Texas,12,44,930,21.14,0,3.7,77.5
76,77,Akron,12,56,1185,21.16,0,4.7,98.8
77,78,Northern Illinois,12,44,932,21.18,0,3.7,77.7
78,79,Georgia Tech,13,19,404,21.26,0,1.5,31.1
79,79,Alabama,15,57,1212,21.26,0,3.8,80.8
80,81,Marshall,12,22,471,21.41,1,1.8,39.3
81,82,Temple,14,73,1566,21.45,1,5.2,111.9
82,83,Georgia Southern,12,18,388,21.56,1,1.5,32.3
83,84,South Alabama,13,47,1017,21.64,0,3.6,78.2
84,85,North Texas,13,25,544,21.76,1,1.9,41.8
85,85,Boise State,13,37,805,21.76,1,2.8,61.9
86,85,Oklahoma,13,51,1110,21.76,0,3.9,85.4
87,88,Michigan State,12,31,678,21.87,1,2.6,56.5
88,88,East Carolina,12,47,1028,21.87,1,3.9,85.7
89,90,Florida International,12,44,967,21.98,1,3.7,80.6
90,91,Louisiana Tech,14,77,1693,21.99,0,5.5,120.9
91,92,Michigan,13,42,928,22.10,0,3.2,71.4
92,93,Nebraska,13,38,840,22.11,0,2.9,64.6
93,94,South Florida,13,71,1577,22.21,0,5.5,121.3
94,95,Buffalo,12,35,778,22.23,1,2.9,64.8
95,96,Notre Dame,12,42,935,22.26,2,3.5,77.9
96,97,Southern Mississippi,13,52,1158,22.27,0,4.0,89.1
97,98,Massachusetts,12,46,1029,22.37,0,3.8,85.8
98,99,Rutgers,12,37,836,22.59,2,3.1,69.7
99,100,Texas Tech,12,41,927,22.61,1,3.4,77.3
100,101,Texas State,12,33,747,22.64,1,2.8,62.3
101,102,North Carolina,13,34,775,22.79,0,2.6,59.6
102,103,West Virginia,13,49,1125,22.96,1,3.8,86.5
103,104,Houston,13,43,991,23.05,0,3.3,76.2
104,104,Louisiana-Monroe,12,42,968,23.05,1,3.5,80.7
105,106,Florida Atlantic,12,18,415,23.06,0,1.5,34.6
106,107,Miami (Florida),13,33,763,23.12,1,2.5,58.7
107,108,Vanderbilt,13,39,902,23.13,1,3.0,69.4
108,109,Rice,12,31,722,23.29,1,2.6,60.2
109,110,Florida,13,15,354,23.60,0,1.2,27.2
110,111,New Mexico,13,13,307,23.62,0,1.0,23.6
111,112,Tulsa,13,64,1517,23.70,0,4.9,116.7
112,113,SMU,12,47,1118,23.79,1,3.9,93.2
113,114,Appalachian State,13,27,643,23.81,0,2.1,49.5
114,115,Wake Forest,13,29,691,23.83,0,2.2,53.2
115,115,Georgia,13,42,1001,23.83,1,3.2,77.0
116,117,Illinois,12,28,676,24.14,0,2.3,56.3
117,118,Syracuse,12,35,847,24.20,2,2.9,70.6
118,119,Georgia State,12,31,773,24.94,1,2.6,64.4
119,120,UNLV,12,44,1102,25.05,0,3.7,91.8
120,121,UCLA,12,37,931,25.16,1,3.1,77.6
121,122,Missouri,12,21,541,25.76,1,1.8,45.1
122,123,Colorado,14,36,929,25.81,0,2.6,66.4
123,124,Wyoming,14,52,1344,25.85,2,3.7,96.0
124,125,Arizona State,12,19,493,25.95,2,1.6,41.1
125,126,Virginia,12,31,807,26.03,1,2.6,67.3
126,127,New Mexico State,12,29,768,26.48,1,2.4,64.0
127,128,South Carolina,13,36,1032,28.67,3,2.8,79.4
