,Rank,Name,G,Att.,Made,Pct.,Att/G,Made/G
0,1,Florida,11,18,17,94.4,1.6,1.5
1,2,Indiana,12,17,16,94.1,1.4,1.3
2,3,North Texas,14,22,20,90.9,1.6,1.4
3,4,Tulane,12,10,9,90.0,0.8,0.8
4,5,Wisconsin,14,18,16,88.9,1.3,1.1
5,6,Georgia,15,24,21,87.5,1.6,1.4
6,6,TCU,14,16,14,87.5,1.1,1.0
7,8,Utah,13,35,30,85.7,2.7,2.3
8,8,Florida State,13,21,18,85.7,1.6,1.4
9,8,Nebraska,12,14,12,85.7,1.2,1.0
10,11,Kansas,12,20,17,85.0,1.7,1.4
11,11,Missouri,13,20,17,85.0,1.5,1.3
12,11,Southern Mississippi,13,20,17,85.0,1.5,1.3
13,11,Louisville,13,20,17,85.0,1.5,1.3
14,15,Iowa,13,13,11,84.6,1.0,0.8
15,16,South Alabama,12,19,16,84.2,1.6,1.3
16,17,South Florida,12,25,21,84.0,2.1,1.8
17,17,Wake Forest,13,25,21,84.0,1.9,1.6
18,19,UTSA,11,24,20,83.3,2.2,1.8
19,19,Baylor,12,24,20,83.3,2.0,1.7
20,19,Washington State,13,24,20,83.3,1.8,1.5
21,19,Colorado State,13,18,15,83.3,1.4,1.2
22,19,Middle Tennessee,13,18,15,83.3,1.4,1.2
23,19,Wyoming,13,18,15,83.3,1.4,1.2
24,19,Ohio,13,18,15,83.3,1.4,1.2
25,19,Florida International,13,18,15,83.3,1.4,1.2
26,27,San Jose State,13,17,14,82.4,1.3,1.1
27,28,Bowling Green,12,22,18,81.8,1.8,1.5
28,28,Duke,13,22,18,81.8,1.7,1.4
29,28,Texas A&M,13,22,18,81.8,1.7,1.4
30,31,Northwestern,13,16,13,81.3,1.2,1.0
31,32,UCLA,13,21,17,81.0,1.6,1.3
32,32,Ohio State,14,21,17,81.0,1.5,1.2
33,32,Oklahoma,14,21,17,81.0,1.5,1.2
34,35,Kansas State,13,26,21,80.8,2.0,1.6
35,35,Stanford,14,26,21,80.8,1.9,1.5
36,37,Toledo,14,31,25,80.6,2.2,1.8
37,38,Houston,12,15,12,80.0,1.3,1.0
38,38,San Diego State,13,15,12,80.0,1.2,0.9
39,40,Oklahoma State,13,29,23,79.3,2.2,1.8
40,41,Mississippi,12,24,19,79.2,2.0,1.6
41,41,Michigan,13,24,19,79.2,1.8,1.5
42,43,Georgia Southern,12,19,15,78.9,1.6,1.3
43,43,Michigan State,13,19,15,78.9,1.5,1.2
44,45,UNLV,12,28,22,78.6,2.3,1.8
45,45,Kentucky,13,28,22,78.6,2.2,1.7
