,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Oklahoma State,13,195,72,45,26,18,11,4,2,0
1,2,Oklahoma,14,187,85,43,28,15,6,4,3,0
2,3,Washington State,13,184,57,17,11,6,2,0,0,0
3,4,USC,14,176,67,26,10,3,0,0,0,0
4,5,Memphis,13,173,70,34,16,8,4,1,1,0
5,6,New Mexico State,13,172,66,24,10,5,3,1,1,0
6,7,Texas Tech,13,169,59,26,15,10,6,4,0,0
7,8,Western Kentucky,13,167,56,19,8,6,3,1,1,1
8,9,UCLA,13,166,67,32,16,7,2,1,0,0
9,10,Louisville,13,165,59,18,9,6,6,3,0,0
10,11,Colorado State,13,164,53,23,7,4,1,1,0,0
11,12,Arkansas State,12,161,60,29,10,6,2,2,0,0
12,13,UCF,13,159,80,36,20,8,5,2,1,0
13,14,North Texas,14,155,49,25,18,7,5,3,0,0
14,15,Toledo,14,153,63,25,13,7,7,4,3,0
15,16,Mississippi,12,149,54,33,19,11,6,5,0,0
16,17,Penn State,13,148,59,20,8,2,2,2,1,0
17,18,Troy,13,143,42,22,14,3,0,0,0,0
18,19,East Carolina,12,142,49,25,11,4,4,4,2,2
19,19,Syracuse,12,142,42,22,8,3,1,0,0,0
20,21,Missouri,13,140,62,32,23,19,9,4,0,0
21,22,Utah,13,137,44,20,11,3,2,2,0,0
22,23,Boise State,14,136,56,26,15,4,2,1,1,0
23,23,Massachusetts,12,136,51,21,10,5,4,0,0,0
24,23,Ohio State,14,136,50,23,11,8,4,3,1,0
25,26,Iowa State,13,135,53,19,8,5,2,1,0,0
26,26,Wake Forest,13,135,59,34,14,2,0,0,0,0
27,28,Purdue,13,134,50,19,5,2,1,0,0,0
28,28,Texas,13,134,48,15,8,2,1,1,1,1
29,28,West Virginia,13,134,57,38,21,13,8,3,0,0
30,31,Temple,13,130,44,21,9,4,2,1,0,0
31,32,North Carolina State,13,129,53,21,9,3,2,2,0,0
32,32,Northwestern,13,129,36,10,6,2,0,0,0,0
33,32,SMU,13,129,65,28,15,10,7,4,1,0
34,32,TCU,14,129,46,24,12,6,4,2,1,1
35,36,Louisiana-Monroe,12,128,52,24,12,8,4,2,1,0
36,36,Nebraska,12,128,49,20,8,3,2,2,1,0
37,36,Virginia Tech,13,128,53,18,6,2,1,1,0,0
38,39,Akron,14,127,36,16,9,3,1,1,0,0
39,39,Florida International,13,127,38,20,10,5,2,2,0,0
40,41,Buffalo,12,126,54,27,19,12,3,1,0,0
41,41,Houston,12,126,44,21,7,4,3,1,0,0
