,Rank,Name,Team,Yr,Pos,G,Rush,Recv.,Punt Ret.,Kick Ret.,Plays,Total Yards,Yards/Play,Yards/G
0,1,Darrell Henderson,Memphis,JR,RB,13,1909,295,0,124,243,2328,9.6,179.1
1,2,J.J. Taylor,Arizona,SO,RB,12,1434,133,0,540,293,2107,7.2,175.6
2,3,Jonathan Taylor,Wisconsin,SO,RB,13,2194,60,0,0,315,2254,7.2,173.4
3,4,Rondale Moore,Purdue,FR,WR,13,213,1258,82,662,180,2215,12.3,170.4
4,5,Trayveon Williams,Texas A&M,JR,RB,13,1760,278,0,0,298,2038,6.8,156.8
5,6,Andy Isabella,U Mass,SR,WR,12,79,1698,55,0,120,1832,15.3,152.7
6,7,Pooka Williams Jr.,Kansas,FR,RB,11,1125,289,0,246,205,1660,8.1,150.9
7,8,Tra Minter,South Ala,JR,RB,12,801,201,91,710,241,1803,7.5,150.3
8,9,Eno Benjamin,Ariz St,SO,RB,13,1642,263,0,0,335,1905,5.7,146.5
9,10,Marquis Young,U Mass,SR,RB,11,778,173,0,659,206,1610,7.8,146.4
10,11,Greg Dortch,Wk Forest,SO,WR,12,20,1078,276,376,137,1750,12.8,145.8
11,12,Nico Evans,Wyoming,SR,RB,10,1325,66,0,0,210,1391,6.6,139.1
12,13,James Proche,SMU,JR,WR,12,17,1199,165,276,127,1657,13.0,138.1
13,14,Jason Huntley,NMSU,JR,RB,12,505,529,0,598,178,1632,9.2,136.0
14,15,Darrynton Evans,App St,SO,RB,13,1187,87,0,490,206,1764,8.6,135.7
15,16,"Kerrith Whyte, Jr.",FAU,JR,RB,12,866,160,0,545,163,1571,9.6,130.9
16,17,Michael Walker,BC,SR,WR,12,57,218,274,1020,87,1569,18.0,130.8
17,18,Joshua Kelley,UCLA,JR,RB,11,1243,193,0,0,252,1436,5.7,130.5
18,19,Michael Warren II,Cincinnati,SO,RB,12,1329,232,0,0,269,1561,5.8,130.1
19,20,Alex Barnes,Kansas St,JR,RB,12,1355,194,0,0,276,1549,5.6,129.1
20,21,Alexander Mattison,Boise St,JR,RB,13,1415,173,0,87,333,1675,5.0,128.8
21,22,LeVante Bellamy,W Mich,JR,RB,13,1228,185,0,255,249,1668,6.7,128.3
22,23,Jermar Jefferson,Oregon St,FR,RB,12,1380,147,0,0,264,1527,5.8,127.3
23,24,Benny LeMay,Charlotte,JR,RB,12,1243,282,0,0,253,1525,6.0,127.1
24,25,Marcus Green,La-Monroe,SR,WR,12,193,855,85,385,94,1518,16.1,126.5
25,26,Laviska Shenault Jr.,Colorado,SO,WR,9,115,1011,0,0,103,1126,10.9,125.1
26,27,Anthony Ratliff-Williams,N Carolina,JR,WR,11,83,689,0,598,81,1370,16.9,124.5
27,28,Raymond Calais,La-Lafytte,JR,RB,14,754,69,0,908,122,1731,14.2,123.6
28,29,Deebo Samuel,S Carolina,SR,WR,12,26,882,0,570,93,1478,15.9,123.2
29,29,Preston Williams,CSU,JR,WR,12,13,1345,1,119,108,1478,13.7,123.2
30,29,Deon Jackson,Duke,SO,RB,13,847,253,0,502,210,1602,7.6,123.2
31,32,Austin Walter,Rice,SR,RB,13,564,525,0,491,195,1580,8.1,121.5
32,33,Isaiah Wright,Temple,JR,WR,13,84,368,249,873,104,1574,15.1,121.1
33,34,Mohamed Ibrahim,Minnesota,FR,RB,10,1160,26,0,19,207,1205,5.8,120.5
34,35,Tony Pollard,Memphis,JR,RB,14,552,458,0,667,144,1677,11.6,119.8
35,36,Trevon Brown,ECU,SR,WR,12,-2,1123,88,225,99,1434,14.5,119.5
36,36,"Benny Snell, Jr.",Kentucky,JR,RB,13,1449,105,0,0,306,1554,5.1,119.5
37,38,Myles Gaskin,Washington,SR,RB,12,1268,77,0,74,284,1419,5.0,118.3
38,39,Ke'Shawn Vaughn,Vanderbilt,JR,RB,12,1244,170,0,0,170,1414,8.3,117.8
39,40,Antoine Wesley,Texas Tech,JR,WR,12,-2,1410,0,0,89,1408,15.8,117.3
40,41,Tylan Wallace,Okla St,SO,WR,13,6,1491,22,0,90,1519,16.9,116.8
41,41,A.J. Ouellette,Ohio,SR,RB,13,1306,212,0,0,234,1518,6.5,116.8
42,43,DeAndre Torrey,N Texas,SO,RB,13,977,205,0,330,212,1512,7.1,116.3
43,44,Travis Etienne,Clemson,SO,RB,15,1658,78,0,0,216,1736,8.0,115.7
44,45,Devin Singletary,FAU,JR,RB,12,1348,36,0,0,267,1384,5.2,115.3
45,46,Ryquell Armstead,Temple,SR,RB,10,1098,52,0,0,218,1150,5.3,115.0
46,47,AJ Dillon,BC,SO,RB,10,1108,41,0,0,235,1149,4.9,114.9
47,48,Isaiah Harper,ODU,SR,WR,12,22,479,138,655,99,1377,13.9,114.8
48,49,David Montgomery,Iowa State,JR,RB,12,1216,157,0,0,279,1373,4.9,114.4
49,50,Chuba Hubbard,Okla St,FR,RB,13,740,229,0,510,169,1479,8.8,113.8
50,51,"Lynn Bowden, Jr.",Kentucky,SO,WR,13,25,745,146,539,106,1455,13.7,111.9
51,52,Jalen Reagor,TCU,SO,WR,13,170,1061,97,121,97,1449,14.9,111.5
52,52,JD Spielman,Nebraska,SO,WR,10,24,818,104,169,87,1115,12.8,111.5
53,54,Karan Higdon,Michigan,SR,RB,11,1178,43,0,0,231,1221,5.3,111.0
54,55,Marquez Stevenson,Houston,SO,WR,13,126,1019,22,269,104,1436,13.8,110.5
55,56,Diontae Johnson,Toledo,JR,WR,13,17,761,241,412,80,1431,17.9,110.1
56,57,A.J. Brown,Miss,JR,WR,12,0,1320,0,0,85,1320,15.5,110.0
57,58,Malcolm Perry,Navy,JR,QB,13,1087,167,0,173,188,1427,7.6,109.8
58,59,Sean Riley,Syracuse,JR,WR,13,37,756,262,369,103,1424,13.8,109.5
59,60,KJ Hamler,Penn State,SO,WR,13,44,754,96,523,80,1417,17.7,109.0
60,61,Miles Sanders,Penn State,JR,RB,13,1274,139,0,0,244,1413,5.8,108.7
61,62,Ronnie Rivers,Fresno St,SO,RB,11,743,311,138,0,172,1192,6.9,108.4
62,63,Scott Miller,BGSU,SR,WR,11,16,1148,19,0,79,1183,15.0,107.5
63,63,Adrian Killins Jr.,UCF,JR,RB,13,715,377,0,306,180,1398,7.8,107.5
