,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Southern Mississippi,11,107,30,20,10,5,1,0,0,0
1,2,Michigan,13,119,53,26,8,4,2,2,1,0
2,3,Cincinnati,13,126,50,22,11,4,3,3,0,0
3,4,San Diego State,13,127,45,27,17,9,5,4,2,0
4,5,Eastern Michigan,13,129,42,19,13,4,3,3,1,0
5,6,California,13,132,43,18,9,3,2,1,0,0
6,7,Iowa,13,135,30,19,7,5,1,1,1,0
7,7,Wyoming,12,135,38,15,5,1,0,0,0,0
8,9,BYU,13,136,35,15,4,2,0,0,0,0
9,10,Mississippi State,13,137,39,11,5,1,1,1,0,0
10,11,Appalachian State,13,139,40,10,6,1,0,0,0,0
11,12,Charlotte,12,140,54,26,13,6,4,4,1,1
12,12,Virginia,13,140,52,27,12,4,3,3,0,0
13,14,Michigan State,13,144,39,13,5,4,4,3,0,0
14,15,Central Michigan,12,145,52,18,11,4,1,1,0,0
15,16,Army,13,148,42,19,8,7,3,1,1,0
16,16,Florida,13,148,58,24,13,5,3,3,1,0
17,18,Maryland,12,149,53,26,11,6,5,2,2,0
18,18,Miami (Florida),13,149,48,20,8,2,1,1,0,0
19,20,Georgia,14,153,32,19,11,5,1,1,0,0
20,20,Washington,14,153,34,11,1,1,1,0,0,0
21,22,Fresno State,14,155,33,15,9,6,4,4,0,0
22,22,Kentucky,13,155,56,24,8,4,2,2,1,0
23,24,Tennessee,12,156,50,20,9,5,4,3,0,0
24,24,USC,12,156,58,25,15,7,2,1,0,0
25,26,Clemson,15,157,61,19,13,7,5,2,0,0
26,26,Texas State,12,157,44,20,14,8,6,2,0,0
27,28,Air Force,12,159,61,29,16,8,4,2,0,0
28,28,Troy,13,159,56,23,13,6,0,0,0,0
29,28,Wisconsin,13,159,50,21,13,4,4,3,2,0
30,31,Buffalo,14,160,59,26,15,9,7,4,1,0
