,Rank,Name,G,Total Time,Time/G
0,1,Army,13,501:12,38:33.23
1,2,Charlotte,12,419:49,34:59.08
2,3,Texas A&M,13,447:53,34:27.15
3,4,Air Force,12,412:24,34:22.00
4,5,Michigan,13,445:56,34:18.15
5,6,Western Michigan,13,436:55,33:36.54
6,7,Georgia Tech,13,435:00,33:27.69
7,8,Navy,13,433:48,33:22.15
8,9,Boise State,13,433:18,33:19.85
9,10,Ohio,13,433:06,33:18.92
10,11,Cincinnati,13,431:16,33:10.46
11,12,North Carolina State,13,430:30,33:06.92
12,13,Michigan State,13,426:31,32:48.54
13,14,Coastal Carolina,12,393:30,32:47.50
14,15,UAB,14,458:39,32:45.64
15,16,Rice,13,424:52,32:40.92
16,17,Baylor,13,424:49,32:40.69
17,18,Southern Mississippi,11,359:16,32:39.64
18,19,Pittsburgh,14,456:01,32:34.36
19,20,Virginia,13,423:17,32:33.62
20,21,Iowa,13,423:02,32:32.46
21,22,Texas,14,454:44,32:28.86
22,23,Washington,14,452:50,32:20.71
23,24,Tulane,13,419:20,32:15.38
24,25,Washington State,13,419:01,32:13.92
25,26,Minnesota,13,418:00,32:09.23
26,27,Georgia Southern,13,417:54,32:08.77
27,28,Wisconsin,13,416:57,32:04.38
28,29,Ohio State,14,447:13,31:56.64
29,30,Kansas State,12,382:04,31:50.33
30,31,LSU,13,413:48,31:49.85
31,32,Connecticut,12,380:35,31:42.92
32,33,Buffalo,14,441:41,31:32.93
33,34,North Texas,13,409:25,31:29.62
34,35,Georgia,14,440:52,31:29.43
35,36,Colorado State,12,373:11,31:05.92
36,37,Vanderbilt,13,403:54,31:04.15
37,38,Mississippi State,13,403:13,31:01.00
38,39,TCU,13,402:43,30:58.69
39,40,Missouri,13,401:33,30:53.31
40,41,Florida International,13,399:29,30:43.77
41,42,Fresno State,14,429:40,30:41.43
42,43,Kentucky,13,398:37,30:39.77
43,44,Georgia State,12,367:03,30:35.25
44,45,Appalachian State,13,397:29,30:34.54
45,46,Syracuse,13,396:14,30:28.77
46,47,Middle Tennessee,14,426:15,30:26.79
47,48,BYU,13,395:34,30:25.69
48,49,UNLV,12,364:39,30:23.25
49,50,Miami (Ohio),12,364:31,30:22.58
50,51,East Carolina,12,364:19,30:21.58
51,52,Alabama,15,454:55,30:19.67
52,53,California,13,394:07,30:19.00
53,54,San Diego State,13,393:58,30:18.31
54,55,Louisiana Tech,13,393:20,30:15.38
55,56,Virginia Tech,13,392:55,30:13.46
56,57,Texas Tech,12,362:40,30:13.33
57,58,Oregon State,12,362:06,30:10.50
58,59,Arkansas State,13,391:34,30:07.23
59,60,Stanford,13,391:04,30:04.92
60,61,Troy,13,390:34,30:02.62
61,62,South Alabama,12,360:17,30:01.42
62,63,Northwestern,14,419:51,29:59.36
63,64,Wyoming,12,359:19,29:56.58
64,65,Florida,13,389:08,29:56.00
65,66,Eastern Michigan,13,388:32,29:53.23
66,67,Utah,14,417:39,29:49.93
67,68,UTEP,12,357:33,29:47.75
68,69,Kansas,12,357:28,29:47.33
69,70,Marshall,13,386:44,29:44.92
70,71,Arkansas,12,356:39,29:43.25
71,72,Purdue,13,385:25,29:38.85
72,73,Louisville,12,355:32,29:37.67
73,74,Colorado,12,355:30,29:37.50
74,75,Arizona State,13,383:44,29:31.08
75,76,Liberty,12,353:26,29:27.17
76,77,Toledo,13,382:40,29:26.15
77,78,Western Kentucky,12,352:45,29:23.75
78,79,Florida Atlantic,12,352:42,29:23.50
79,80,Old Dominion,12,352:22,29:21.83
80,81,Bowling Green,12,351:46,29:18.83
81,82,Hawai'i,14,410:10,29:17.86
82,83,Nevada,13,380:18,29:15.23
83,84,Memphis,14,408:59,29:12.79
84,85,Tulsa,12,350:20,29:11.67
85,86,Tennessee,12,350:02,29:10.17
86,87,Miami (Florida),13,377:49,29:03.77
87,87,Notre Dame,13,377:49,29:03.77
88,89,Maryland,12,348:23,29:01.92
89,90,Oklahoma,14,405:34,28:58.14
90,91,Rutgers,12,346:56,28:54.67
91,92,Iowa State,13,375:40,28:53.85
92,93,West Virginia,12,346:09,28:50.75
93,94,Indiana,12,345:42,28:48.50
94,94,USC,12,345:42,28:48.50
95,96,Clemson,15,431:20,28:45.33
96,97,Illinois,12,342:52,28:34.33
97,98,Temple,13,371:23,28:34.08
98,99,Louisiana-Lafayette,14,399:32,28:32.29
99,100,Auburn,13,368:30,28:20.77
100,101,Arizona,12,339:11,28:15.92
101,102,North Carolina,11,310:54,28:15.82
102,103,Wake Forest,13,366:58,28:13.69
103,104,Northern Illinois,14,394:52,28:12.29
104,105,Akron,12,337:54,28:09.50
105,106,Oregon,13,362:56,27:55.08
106,107,Ball State,12,334:53,27:54.42
107,108,Texas State,12,334:37,27:53.08
108,109,Kent State,12,334:16,27:51.33
109,110,Duke,13,361:45,27:49.62
110,111,Boston College,12,333:55,27:49.58
111,112,Nebraska,12,332:45,27:43.75
112,113,Penn State,13,359:53,27:41.00
113,114,Louisiana-Monroe,12,331:54,27:39.50
114,115,UTSA,12,331:43,27:38.58
