,Rank,Name,G,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,LSU,4,6,2,1,1,0,0,0,0
1,2,Auburn,4,4,2,1,0,0,0,0,0
2,3,Georgia,4,3,1,1,0,0,0,0,0
3,3,Missouri,4,3,2,2,1,1,1,0,0
4,3,Oregon,4,3,1,1,1,1,1,1,0
5,3,South Carolina,4,3,1,0,0,0,0,0,0
6,7,Alabama,4,2,1,1,0,0,0,0,0
7,7,Ball State,4,2,1,1,0,0,0,0,0
8,7,California,4,2,1,0,0,0,0,0,0
9,7,Eastern Michigan,4,2,1,0,0,0,0,0,0
10,7,Florida State,4,2,0,0,0,0,0,0,0
11,7,Kansas State,3,2,0,0,0,0,0,0,0
12,7,Kentucky,4,2,0,0,0,0,0,0,0
13,7,Maryland,3,2,2,2,1,0,0,0,0
14,7,Memphis,3,2,0,0,0,0,0,0,0
15,7,North Carolina State,4,2,1,1,1,1,1,0,0
16,7,Ohio State,4,2,2,1,1,0,0,0,0
17,7,Oklahoma,3,2,0,0,0,0,0,0,0
18,7,Penn State,3,2,0,0,0,0,0,0,0
19,7,TCU,3,2,0,0,0,0,0,0,0
20,7,Tennessee,4,2,1,0,0,0,0,0,0
21,7,Texas A&M,4,2,2,1,0,0,0,0,0
22,7,UCF,4,2,2,2,1,1,1,1,0
23,7,UCLA,4,2,2,1,1,1,0,0,0
24,7,Utah State,3,2,1,1,0,0,0,0,0
25,7,Wake Forest,4,2,0,0,0,0,0,0,0
26,27,Appalachian State,3,1,1,0,0,0,0,0,0
27,27,Arizona,3,1,1,1,0,0,0,0,0
28,27,Arizona State,4,1,1,0,0,0,0,0,0
29,27,Arkansas State,4,1,0,0,0,0,0,0,0
30,27,Baylor,3,1,1,1,1,1,1,0,0
31,27,Boise State,4,1,0,0,0,0,0,0,0
32,27,Cincinnati,3,1,0,0,0,0,0,0,0
33,27,Clemson,4,1,0,0,0,0,0,0,0
34,27,Coastal Carolina,4,1,1,0,0,0,0,0,0
35,27,Colorado State,4,1,0,0,0,0,0,0,0
36,27,Duke,3,1,0,0,0,0,0,0,0
37,27,Florida International,4,1,1,0,0,0,0,0,0
38,27,Fresno State,3,1,0,0,0,0,0,0,0
39,27,Georgia Southern,3,1,0,0,0,0,0,0,0
40,27,Georgia Tech,3,1,0,0,0,0,0,0,0
41,27,Kent State,4,1,0,0,0,0,0,0,0
42,27,Louisiana Tech,4,1,0,0,0,0,0,0,0
43,27,Louisiana-Lafayette,4,1,0,0,0,0,0,0,0
44,27,Louisville,4,1,1,0,0,0,0,0,0
45,27,Marshall,3,1,1,1,1,1,0,0,0
46,27,Massachusetts,4,1,1,1,0,0,0,0,0
47,27,Michigan,3,1,0,0,0,0,0,0,0
48,27,Mississippi State,4,1,1,1,0,0,0,0,0
