,Rank,Name,G,10+Yards,20+Yards,30+Yards,40+Yards,50+Yards,60+Yards,70+Yards,80+Yards,90+Yards
0,1,Washington State,4,93,35,18,7,5,1,0,0,0
1,2,Louisiana-Lafayette,4,87,28,13,4,4,2,1,0,0
2,3,Georgia,4,81,20,12,5,2,2,0,0,0
3,4,Alabama,4,78,30,13,7,4,4,4,1,0
4,4,Ball State,4,78,22,11,5,2,0,0,0,0
5,6,Boise State,4,77,29,8,4,0,0,0,0,0
6,6,Hawai'i,4,77,21,6,2,0,0,0,0,0
7,6,UCF,4,77,34,22,9,5,3,2,0,0
8,9,LSU,4,76,33,13,9,4,3,0,0,0
9,10,Texas,4,74,19,6,4,3,1,1,0,0
10,10,Texas A&M,4,74,19,7,3,1,1,1,1,0
11,12,Colorado State,4,73,25,13,8,5,5,5,0,0
12,12,Florida State,4,73,17,10,6,4,2,1,0,0
13,12,Oklahoma,3,73,32,22,11,3,1,1,0,0
14,15,Mississippi State,4,72,16,4,1,0,0,0,0,0
15,16,Nebraska,4,71,31,11,10,4,4,1,0,0
16,16,North Carolina,4,71,25,7,3,3,1,0,0,0
17,18,Clemson,4,70,22,11,8,6,3,2,2,1
18,18,North Carolina State,4,70,15,4,2,0,0,0,0,0
19,20,Houston,4,69,22,7,1,1,1,1,0,0
20,20,Miami (Florida),4,69,24,9,4,3,0,0,0,0
21,22,Louisiana Tech,4,68,15,7,6,2,1,1,0,0
22,22,Missouri,4,68,22,8,4,3,0,0,0,0
23,22,Ohio State,4,68,25,12,6,5,2,0,0,0
24,25,Oregon,4,67,18,8,4,3,3,0,0,0
25,25,Washington,4,67,23,9,3,1,0,0,0,0
26,25,Western Michigan,4,67,31,19,10,5,5,1,0,0
27,28,South Carolina,4,65,21,11,6,4,3,2,0,0
28,28,Wake Forest,4,65,25,11,7,4,2,2,1,1
29,30,California,4,64,18,6,2,1,1,0,0,0
30,30,Iowa State,3,64,14,5,5,4,3,3,1,0
31,30,Mississippi,4,64,25,9,5,1,0,0,0,0
32,33,BYU,4,63,16,4,1,1,1,0,0,0
33,33,Indiana,4,63,18,5,4,2,2,1,0,0
34,33,Tulane,4,63,19,9,7,5,1,1,1,0
35,36,Arkansas,4,62,22,10,6,3,2,0,0,0
36,36,Kansas,4,62,22,8,4,2,2,2,1,0
37,36,Kentucky,4,62,25,10,3,1,0,0,0,0
38,36,Oklahoma State,4,62,28,15,8,8,5,3,1,1
39,40,Arkansas State,4,61,18,10,6,2,2,2,1,0
40,40,Florida,4,61,18,10,6,4,4,1,0,0
41,42,Colorado,4,60,20,7,3,2,1,1,1,1
42,42,North Texas,4,60,24,10,7,4,1,0,0,0
43,42,Tulsa,4,60,17,7,2,1,0,0,0,0
44,42,Utah,4,60,20,7,2,2,2,1,1,0
45,46,Coastal Carolina,4,59,21,5,2,0,0,0,0,0
46,46,Illinois,4,59,19,8,3,3,1,0,0,0
47,46,Pittsburgh,4,59,16,4,3,2,1,1,0,0
48,46,San Diego State,4,59,13,2,1,0,0,0,0,0
49,50,Charlotte,4,58,24,13,7,4,3,0,0,0
50,50,Maryland,3,58,23,11,6,3,2,0,0,0
51,50,Michigan State,4,58,20,6,3,1,0,0,0,0
52,53,Arizona,3,57,24,14,11,4,3,3,2,1
53,53,East Carolina,4,57,21,5,2,0,0,0,0,0
54,53,Florida Atlantic,4,57,21,8,3,2,0,0,0,0
55,53,Kent State,4,57,19,9,6,5,2,2,0,0
56,53,Nevada,4,57,19,5,2,0,0,0,0,0
57,53,Utah State,3,57,24,11,7,4,0,0,0,0
58,53,Wisconsin,3,57,16,7,3,1,1,1,0,0
59,60,Auburn,4,56,19,9,3,1,0,0,0,0
60,60,Eastern Michigan,4,56,18,6,3,1,0,0,0,0
61,60,Louisville,4,56,21,12,8,5,3,1,0,0
62,63,Boston College,4,55,21,11,7,3,0,0,0,0
63,63,Florida International,4,55,15,7,4,1,1,1,0,0
64,63,Georgia State,4,55,14,6,6,1,1,0,0,0
65,66,Marshall,3,54,15,6,3,1,0,0,0,0
66,66,SMU,4,54,30,18,10,3,0,0,0,0
67,66,UCLA,4,54,16,9,4,3,3,2,1,1
68,66,USC,4,54,21,11,5,2,2,1,0,0
69,66,Virginia,4,54,15,5,1,0,0,0,0,0
70,71,Middle Tennessee,3,53,16,5,3,2,1,1,1,0
71,72,Arizona State,4,52,16,11,7,4,2,2,0,0
72,72,New Mexico State,4,52,14,8,3,1,0,0,0,0
73,72,Stanford,4,52,12,2,1,0,0,0,0,0
74,72,Texas Tech,3,52,12,8,4,2,2,0,0,0
75,76,Baylor,3,51,21,10,4,3,1,0,0,0
76,76,Central Michigan,4,51,18,6,2,0,0,0,0,0
77,76,San Jose State,3,51,14,6,3,1,0,0,0,0
78,76,Southern Mississippi,4,51,25,11,8,5,2,0,0,0
79,76,Troy,3,51,18,10,5,2,1,0,0,0
80,81,Fresno State,3,50,18,5,3,1,0,0,0,0
81,82,Liberty,4,49,21,11,8,7,4,2,0,0
82,82,Ohio,4,49,25,9,4,2,1,1,0,0
83,82,Oregon State,3,49,14,6,5,2,2,2,0,0
84,82,Texas State,4,49,14,4,1,1,0,0,0,0
85,86,Akron,4,48,16,8,5,1,1,0,0,0
86,86,Buffalo,4,48,15,5,3,0,0,0,0,0
87,86,Kansas State,3,48,14,5,2,2,0,0,0,0
88,86,New Mexico,3,48,22,15,10,4,1,0,0,0
89,86,Syracuse,4,48,17,10,6,4,1,0,0,0
90,91,Louisiana-Monroe,3,47,15,8,3,1,0,0,0,0
91,91,Virginia Tech,3,47,16,5,2,2,0,0,0,0
92,93,Bowling Green,4,46,11,4,2,1,0,0,0,0
93,93,Penn State,3,46,19,9,7,5,2,2,2,0
94,93,South Alabama,4,46,16,5,2,1,1,1,0,0
95,93,Temple,3,46,19,9,5,3,2,2,1,0
96,97,Memphis,3,45,18,10,9,6,3,2,0,0
97,97,Notre Dame,3,45,22,10,4,4,1,0,0,0
98,97,TCU,3,45,16,8,3,2,1,1,0,0
99,100,Tennessee,4,43,13,6,3,3,0,0,0,0
100,100,Toledo,3,43,20,12,7,4,2,1,0,0
101,102,Appalachian State,3,42,15,9,5,4,3,2,1,0
102,102,Cincinnati,3,42,12,4,4,3,1,1,0,0
103,102,Purdue,3,42,22,10,4,3,1,1,0,0
104,102,West Virginia,4,42,14,4,3,1,0,0,0,0
105,106,Army,4,41,8,6,2,1,1,1,1,0
106,107,Minnesota,3,40,11,5,2,1,1,1,0,0
