,Rank,Name,G,Pen.,Yards,Pen./G,Yards/G
0,1,Houston,4,41,406,10.3,101.5
1,2,Oklahoma State,4,40,370,10.0,92.5
2,3,Purdue,3,31,255,10.3,85.0
3,4,Fresno State,3,23,247,7.7,82.3
4,5,UCF,4,33,324,8.3,81.0
5,6,Florida,4,35,317,8.8,79.3
6,6,Louisiana-Monroe,3,25,238,8.3,79.3
7,8,Vanderbilt,3,24,232,8.0,77.3
8,9,Charlotte,4,32,306,8.0,76.5
9,10,Connecticut,3,24,229,8.0,76.3
10,11,Tulsa,4,34,296,8.5,74.0
11,12,Ohio,4,32,293,8.0,73.3
12,13,San Jose State,3,24,217,8.0,72.3
13,14,Clemson,4,31,286,7.8,71.5
14,15,New Mexico,3,26,213,8.7,71.0
15,16,Arkansas,4,28,281,7.0,70.3
16,17,Eastern Michigan,4,29,278,7.3,69.5
17,18,Florida International,4,32,276,8.0,69.0
18,19,Troy,3,25,204,8.3,68.0
19,19,California,4,28,272,7.0,68.0
20,21,SMU,4,29,271,7.3,67.8
21,22,USC,4,34,270,8.5,67.5
22,22,South Alabama,4,30,270,7.5,67.5
23,24,Michigan,3,25,201,8.3,67.0
24,24,North Carolina State,4,32,268,8.0,67.0
25,26,Western Michigan,4,29,265,7.3,66.3
26,27,Stanford,4,26,262,6.5,65.5
27,28,Florida State,4,31,260,7.8,65.0
28,29,Georgia Tech,3,20,193,6.7,64.3
29,30,Hawai'i,4,28,255,7.0,63.8
30,31,Toledo,3,23,191,7.7,63.7
31,32,West Virginia,4,25,253,6.3,63.3
32,32,Northwestern,3,18,190,6.0,63.3
33,34,Miami (Ohio),4,28,249,7.0,62.3
34,34,Kentucky,4,28,249,7.0,62.3
35,36,Washington State,4,32,247,8.0,61.8
36,37,Bowling Green,4,25,243,6.3,60.8
37,38,Kent State,4,24,242,6.0,60.5
38,39,Auburn,4,31,241,7.8,60.3
39,40,Appalachian State,3,23,180,7.7,60.0
40,40,Ball State,4,27,240,6.8,60.0
41,40,Old Dominion,3,18,180,6.0,60.0
42,43,Oregon,4,29,238,7.3,59.5
43,43,Liberty,4,27,238,6.8,59.5
44,45,Georgia State,4,28,237,7.0,59.3
45,45,BYU,4,28,237,7.0,59.3
46,47,Rutgers,3,20,177,6.7,59.0
47,47,Buffalo,4,25,236,6.3,59.0
48,49,Utah,4,25,235,6.3,58.8
49,49,Syracuse,4,25,235,6.3,58.8
50,51,South Carolina,4,27,233,6.8,58.3
51,51,Florida Atlantic,4,26,233,6.5,58.3
52,53,Boston College,4,30,230,7.5,57.5
53,53,Miami (Florida),4,28,230,7.0,57.5
54,55,Colorado State,4,27,227,6.8,56.8
55,55,Arizona State,4,26,227,6.5,56.8
56,57,Temple,3,19,168,6.3,56.0
57,58,Utah State,3,18,164,6.0,54.7
58,59,Penn State,3,20,163,6.7,54.3
