,Rank,Name,G,Att,Yards,Avg.,TD,Att/G,Yards/G
0,1,Navy,2,131,743,5.67,10,65.50,371.50
1,2,Oklahoma,3,117,973,8.32,10,39.00,324.33
2,3,Louisiana-Lafayette,4,172,1295,7.53,18,43.00,323.75
3,4,Air Force,3,168,949,5.65,10,56.00,316.33
4,5,Arizona,3,139,923,6.64,9,46.33,307.67
5,6,Army,4,241,1174,4.87,14,60.25,293.50
6,7,Kansas State,3,151,840,5.56,12,50.33,280.00
7,8,Maryland,3,139,832,5.99,12,46.33,277.33
8,9,Tulane,4,181,1093,6.04,12,45.25,273.25
9,10,Oklahoma State,4,198,1082,5.46,13,49.50,270.50
10,11,Toledo,3,120,807,6.73,9,40.00,269.00
11,12,Wisconsin,3,143,792,5.54,14,47.67,264.00
12,13,Charlotte,4,165,1043,6.32,10,41.25,260.75
13,14,TCU,3,136,782,5.75,7,45.33,260.67
14,15,Ohio State,4,178,1040,5.84,13,44.50,260.00
15,16,Auburn,4,192,1038,5.41,11,48.00,259.50
16,17,Houston,4,169,1020,6.04,9,42.25,255.00
17,18,Baylor,3,111,760,6.85,11,37.00,253.33
18,19,Georgia,4,146,1012,6.93,12,36.50,253.00
19,20,Boston College,4,206,1008,4.89,11,51.50,252.00
20,21,Clemson,4,150,988,6.59,12,37.50,247.00
21,22,Coastal Carolina,4,184,981,5.33,11,46.00,245.25
22,23,UNLV,3,123,729,5.93,10,41.00,243.00
23,24,Louisiana-Monroe,3,123,721,5.86,7,41.00,240.33
24,25,Appalachian State,3,115,714,6.21,9,38.33,238.00
25,26,Marshall,3,117,701,5.99,5,39.00,233.67
26,27,UCF,4,181,933,5.15,10,45.25,233.25
27,28,Utah,4,170,925,5.44,8,42.50,231.25
28,29,Oregon State,3,113,688,6.09,6,37.67,229.33
29,30,Mississippi State,4,165,913,5.53,11,41.25,228.25
30,31,Memphis,3,138,681,4.93,7,46.00,227.00
31,32,Louisville,4,182,901,4.95,6,45.50,225.25
32,33,Buffalo,4,207,892,4.31,7,51.75,223.00
33,34,Nebraska,4,187,878,4.70,11,46.75,219.50
34,35,Wyoming,4,172,867,5.04,9,43.00,216.75
35,35,SMU,4,188,867,4.61,15,47.00,216.75
36,37,Georgia State,4,186,831,4.47,5,46.50,207.75
37,38,North Carolina State,4,162,830,5.12,11,40.50,207.50
38,39,Colorado State,4,141,829,5.88,7,35.25,207.25
39,40,Wake Forest,4,183,815,4.45,7,45.75,203.75
40,41,North Texas,4,151,812,5.38,5,37.75,203.00
41,42,Western Michigan,4,138,808,5.86,11,34.50,202.00
42,43,New Mexico,3,129,600,4.65,9,43.00,200.00
43,44,Missouri,4,186,799,4.30,6,46.50,199.75
44,45,Georgia Southern,3,124,592,4.77,4,41.33,197.33
45,46,Utah State,3,100,587,5.87,7,33.33,195.67
46,47,South Carolina,4,122,772,6.33,10,30.50,193.00
47,48,Penn State,3,101,576,5.70,10,33.67,192.00
48,49,Washington,4,159,763,4.80,8,39.75,190.75
49,50,East Carolina,4,157,760,4.84,6,39.25,190.00
50,51,Kansas,4,146,747,5.12,4,36.50,186.75
51,52,Kent State,4,156,732,4.69,4,39.00,183.00
52,53,Iowa State,3,101,546,5.41,5,33.67,182.00
53,54,Illinois,4,159,725,4.56,9,39.75,181.25
54,55,Duke,3,123,543,4.41,3,41.00,181.00
55,56,Troy,3,109,539,4.94,6,36.33,179.67
56,57,Alabama,4,134,715,5.34,9,33.50,178.75
57,58,Mississippi,4,174,714,4.10,7,43.50,178.50
58,59,Kentucky,4,147,709,4.82,8,36.75,177.25
59,60,South Alabama,4,174,704,4.05,5,43.50,176.00
60,61,Georgia Tech,3,127,521,4.10,5,42.33,173.67
61,62,Iowa,3,117,519,4.44,3,39.00,173.00
62,63,Cincinnati,3,131,516,3.94,4,43.67,172.00
63,64,Northwestern,3,127,508,4.00,4,42.33,169.33
64,65,Texas Tech,3,95,502,5.28,7,31.67,167.33
65,66,UTSA,4,152,666,4.38,6,38.00,166.50
66,67,Texas,4,146,662,4.53,6,36.50,165.50
67,68,Bowling Green,4,171,660,3.86,5,42.75,165.00
68,69,Florida International,4,150,652,4.35,7,37.50,163.00
69,70,Louisiana Tech,4,146,647,4.43,6,36.50,161.75
70,71,Ohio,4,126,639,5.07,7,31.50,159.75
71,72,UTEP,3,131,479,3.66,6,43.67,159.67
72,73,California,4,170,634,3.73,4,42.50,158.50
73,74,North Carolina,4,165,625,3.79,2,41.25,156.25
74,75,Oregon,4,140,619,4.42,5,35.00,154.75
75,76,Tennessee,4,145,618,4.26,3,36.25,154.50
76,77,Boise State,4,164,614,3.74,6,41.00,153.50
77,78,UAB,3,125,460,3.68,3,41.67,153.33
78,79,Arkansas,4,135,611,4.53,5,33.75,152.75
79,80,Virginia Tech,3,124,456,3.68,4,41.33,152.00
80,81,Middle Tennessee,3,88,442,5.02,3,29.33,147.33
81,82,San Diego State,4,183,582,3.18,4,45.75,145.50
82,83,Michigan State,4,149,581,3.90,5,37.25,145.25
83,84,Texas A&M,4,118,578,4.90,7,29.50,144.50
84,85,Notre Dame,3,94,433,4.61,6,31.33,144.33
85,86,Colorado,4,149,575,3.86,8,37.25,143.75
86,87,Miami (Florida),4,144,574,3.99,8,36.00,143.50
87,88,Fresno State,3,108,422,3.91,4,36.00,140.67
88,89,Florida State,4,148,553,3.74,7,37.00,138.25
89,90,Massachusetts,4,154,550,3.57,6,38.50,137.50
90,91,Florida,4,130,547,4.21,9,32.50,136.75
91,92,Nevada,4,145,545,3.76,5,36.25,136.25
92,93,Syracuse,4,162,535,3.30,6,40.50,133.75
93,94,Virginia,4,129,534,4.14,9,32.25,133.50
94,95,Old Dominion,3,126,400,3.17,6,42.00,133.33
95,96,LSU,4,133,527,3.96,11,33.25,131.75
96,97,Michigan,3,109,381,3.50,5,36.33,127.00
97,98,Ball State,4,141,503,3.57,5,35.25,125.75
98,99,San Jose State,3,88,374,4.25,6,29.33,124.67
99,100,Minnesota,3,142,371,2.61,7,47.33,123.67
100,101,Temple,3,98,369,3.77,3,32.67,123.00
101,102,Indiana,4,138,482,3.49,6,34.50,120.50
102,103,Hawai'i,4,113,480,4.25,3,28.25,120.00
103,103,Rutgers,3,91,360,3.96,4,30.33,120.00
104,105,Central Michigan,4,129,479,3.71,6,32.25,119.75
105,106,USC,4,131,474,3.62,7,32.75,118.50
106,107,Liberty,4,127,470,3.70,8,31.75,117.50
107,108,Arkansas State,4,122,464,3.80,3,30.50,116.00
108,109,Stanford,4,125,460,3.68,2,31.25,115.00
109,110,Pittsburgh,4,129,458,3.55,4,32.25,114.50
110,111,South Florida,3,93,336,3.61,3,31.00,112.00
111,112,Arizona State,4,139,446,3.21,4,34.75,111.50
112,113,Vanderbilt,3,91,332,3.65,3,30.33,110.67
113,114,Western Kentucky,3,93,325,3.49,4,31.00,108.33
114,115,West Virginia,4,132,429,3.25,6,33.00,107.25
115,116,Tulsa,4,175,424,2.42,6,43.75,106.00
116,117,Washington State,4,75,423,5.64,5,18.75,105.75
117,118,Florida Atlantic,4,157,411,2.62,5,39.25,102.75
118,119,Eastern Michigan,4,126,410,3.25,2,31.50,102.50
119,120,BYU,4,119,409,3.44,6,29.75,102.25
120,121,Rice,4,133,399,3.00,4,33.25,99.75
121,122,Connecticut,3,111,295,2.66,4,37.00,98.33
122,123,UCLA,4,142,384,2.70,3,35.50,96.00
123,124,Miami (Ohio),4,148,383,2.59,6,37.00,95.75
124,125,New Mexico State,4,116,381,3.28,5,29.00,95.25
125,126,Southern Mississippi,4,130,370,2.85,3,32.50,92.50
126,127,Northern Illinois,3,92,231,2.51,1,30.67,77.00
127,128,Texas State,4,116,296,2.55,4,29.00,74.00
128,129,Purdue,3,72,150,2.08,1,24.00,50.00
129,130,Akron,4,114,184,1.61,1,28.50,46.00
