,Rank,Name,G,Sacks,Sack Yards,Sacks/G
0,1,New Mexico,3,0.0,0,0.00
1,2,Air Force,3,1.0,3,0.33
2,2,UAB,3,1.0,6,0.33
3,2,Duke,3,1.0,8,0.33
4,2,Georgia,4,1.0,9,0.25
5,6,Utah State,3,2.0,7,0.67
6,6,Texas Tech,3,2.0,8,0.67
7,6,Western Kentucky,3,2.0,12,0.67
8,6,Oregon State,3,2.0,12,0.67
9,6,Utah,4,2.0,13,0.50
10,6,Rutgers,3,2.0,13,0.67
11,6,Oklahoma,3,2.0,17,0.67
12,13,Baylor,3,3.0,10,1.00
13,13,Boston College,4,3.0,13,0.75
14,13,Wyoming,4,3.0,14,0.75
15,13,Georgia Southern,3,3.0,16,1.00
16,13,Kansas State,3,3.0,19,1.00
17,13,Navy,2,3.0,19,1.50
18,13,Iowa State,3,3.0,21,1.00
19,13,San Jose State,3,3.0,23,1.00
20,13,Clemson,4,3.0,33,0.75
21,22,Michigan State,4,4.0,19,1.00
22,22,Oklahoma State,4,4.0,19,1.00
23,22,Notre Dame,3,4.0,21,1.33
24,22,Purdue,3,4.0,21,1.33
25,22,Memphis,3,4.0,22,1.33
26,22,Alabama,4,4.0,24,1.00
27,22,Wake Forest,4,4.0,25,1.00
28,22,Temple,3,4.0,25,1.33
29,22,Eastern Michigan,4,4.0,26,1.00
30,22,SMU,4,4.0,26,1.00
31,22,North Carolina State,4,4.0,28,1.00
32,22,Marshall,3,4.0,30,1.33
33,22,Louisiana-Monroe,3,4.0,31,1.33
34,22,Auburn,4,4.0,32,1.00
35,22,Bowling Green,4,4.0,32,1.00
36,22,Iowa,3,4.0,43,1.33
37,38,Washington,4,5.0,14,1.25
38,38,Arizona,3,5.0,18,1.67
39,38,Florida,4,5.0,24,1.25
40,38,Coastal Carolina,4,5.0,25,1.25
41,38,Maryland,3,5.0,28,1.67
42,38,Arkansas,4,5.0,29,1.25
43,38,Washington State,4,5.0,32,1.25
44,38,Tulane,4,5.0,33,1.25
45,38,Army,4,5.0,34,1.25
46,38,Appalachian State,3,5.0,34,1.67
47,38,Louisiana-Lafayette,4,5.0,37,1.25
48,38,Wisconsin,3,5.0,37,1.67
49,38,USC,4,5.0,38,1.25
50,38,Buffalo,4,5.0,38,1.25
51,38,Colorado,4,5.0,41,1.25
52,53,Troy,3,6.0,28,2.00
