,Rank,Name,G,TD,FG,1XP,2XP,Safety,Points,Points/G
0,1,LSU,4,30,7,28,1,0,231,57.8
1,2,Oklahoma,3,23,2,23,0,0,167,55.7
2,3,Ohio State,4,30,1,29,0,1,214,53.5
3,4,Maryland,3,22,0,21,0,3,159,53.0
4,5,Washington State,4,28,5,28,0,0,211,52.8
5,6,Alabama,4,27,4,26,0,0,200,50.0
6,7,Wisconsin,3,20,1,20,0,1,145,48.3
7,8,UCF,4,25,5,24,0,0,189,47.3
8,9,Penn State,3,18,5,18,0,0,141,47.0
9,10,Baylor,3,20,0,20,0,0,140,46.7
10,11,Louisiana-Lafayette,4,26,1,26,0,0,185,46.3
11,12,Oklahoma State,4,23,6,22,0,0,178,44.5
12,13,Appalachian State,3,18,2,18,0,0,132,44.0
13,13,Kansas State,3,18,2,18,0,0,132,44.0
14,15,Arizona,3,18,1,16,1,1,131,43.7
15,16,SMU,4,23,5,15,3,0,174,43.5
16,16,Navy,2,12,1,12,0,0,87,43.5
17,18,Georgia,4,21,8,21,0,0,171,42.8
18,19,Clemson,4,22,5,22,0,0,169,42.3
19,20,Texas,4,22,4,21,1,0,167,41.8
20,21,Washington,4,20,7,20,0,1,163,40.8
21,22,Troy,3,16,2,16,0,1,120,40.0
22,22,Utah State,3,15,5,15,0,0,120,40.0
23,24,Notre Dame,3,16,2,16,0,0,118,39.3
24,24,Iowa State,3,14,7,13,0,0,118,39.3
25,26,Western Michigan,4,21,4,17,0,0,155,38.8
26,27,Oregon,4,22,0,22,0,0,154,38.5
27,28,Missouri,4,19,7,18,0,0,153,38.3
28,29,Nebraska,4,21,2,18,1,0,152,38.0
29,29,Charlotte,4,21,2,18,1,0,152,38.0
30,29,Wake Forest,4,20,4,20,0,0,152,38.0
31,32,Memphis,3,14,4,12,1,1,112,37.3
32,33,TCU,3,12,9,12,0,0,111,37.0
33,34,Toledo,3,14,4,14,0,0,110,36.7
34,35,Oregon State,3,15,2,13,0,0,109,36.3
35,36,Tulane,4,19,4,18,0,0,144,36.0
36,36,New Mexico,3,13,6,12,0,0,108,36.0
37,38,Coastal Carolina,4,19,5,14,0,0,143,35.8
38,38,Colorado,4,18,6,17,0,0,143,35.8
39,40,Illinois,4,19,3,19,0,0,142,35.5
40,41,Virginia,4,18,5,16,1,0,141,35.3
41,42,North Texas,4,17,7,17,0,0,140,35.0
42,43,Colorado State,4,17,6,16,1,0,138,34.5
43,44,North Carolina State,4,16,8,16,0,0,136,34.0
44,45,Florida State,4,18,3,18,0,0,135,33.8
45,45,Ball State,4,17,5,16,0,1,135,33.8
46,47,Minnesota,3,14,1,12,1,0,101,33.7
47,48,Boston College,4,18,3,17,0,0,134,33.5
48,48,Auburn,4,17,5,17,0,0,134,33.5
49,48,Indiana,4,16,7,15,1,0,134,33.5
50,51,USC,4,17,4,17,0,1,133,33.3
51,51,Texas A&M,4,16,7,16,0,0,133,33.3
52,53,Florida,4,17,5,15,0,0,132,33.0
53,54,Hawai'i,4,18,2,17,0,0,131,32.8
54,55,Temple,3,14,1,11,0,0,98,32.7
55,56,Georgia State,4,16,6,16,0,0,130,32.5
56,57,South Carolina,4,16,6,15,0,0,129,32.3
57,57,Air Force,3,13,3,10,0,0,97,32.3
58,57,Texas Tech,3,13,2,13,0,0,97,32.3
59,60,Mississippi State,4,17,3,17,0,0,128,32.0
60,60,Marshall,3,13,2,12,0,0,96,32.0
61,62,Louisiana-Monroe,3,13,2,11,0,0,95,31.7
62,63,Miami (Florida),4,16,5,14,0,0,125,31.3
63,63,Boise State,4,15,7,14,0,0,125,31.3
64,65,Houston,4,15,6,15,0,0,123,30.8
65,66,Fresno State,3,11,5,9,1,0,92,30.7
66,67,Louisville,4,16,3,16,0,0,121,30.3
67,68,UAB,3,12,2,12,0,0,90,30.0
68,69,Utah,4,15,5,14,0,0,119,29.8
69,70,Duke,3,11,4,11,0,0,89,29.7
70,71,Army,4,16,2,16,0,0,118,29.5
71,71,Florida Atlantic,4,15,4,12,2,0,118,29.5
72,73,Michigan State,4,13,8,13,0,1,117,29.3
73,74,Arkansas,4,14,6,14,0,0,116,29.0
74,74,UNLV,3,12,1,12,0,0,87,29.0
75,76,Eastern Michigan,4,15,4,9,2,0,115,28.8
76,77,Purdue,3,11,3,11,0,0,86,28.7
77,77,Iowa,3,9,8,8,0,0,86,28.7
78,79,Arkansas State,4,14,5,13,0,1,114,28.5
79,80,Louisiana Tech,4,13,7,13,0,0,112,28.0
80,80,Middle Tennessee,3,11,2,10,1,0,84,28.0
81,82,Liberty,4,16,0,15,0,0,111,27.8
82,82,Kent State,4,13,7,12,0,0,111,27.8
83,84,Virginia Tech,3,11,2,11,0,0,83,27.7
84,85,Kentucky,4,14,4,14,0,0,110,27.5
85,86,UCLA,4,15,1,14,1,0,109,27.3
86,86,San Jose State,3,11,2,10,0,0,82,27.3
87,88,Ohio,4,13,6,11,0,0,107,26.8
88,88,Southern Mississippi,4,13,5,10,2,0,107,26.8
89,90,Buffalo,4,13,5,13,0,0,106,26.5
90,91,Tennessee,4,11,9,11,0,0,104,26.0
91,91,Michigan,3,10,3,7,1,0,78,26.0
92,93,Kansas,4,13,4,11,1,0,103,25.8
93,94,Syracuse,4,13,4,12,0,0,102,25.5
94,94,Wyoming,4,12,6,12,0,0,102,25.5
95,96,Mississippi,4,12,6,11,0,0,101,25.3
96,96,North Carolina,4,11,7,8,3,0,101,25.3
97,98,West Virginia,4,12,6,10,0,0,100,25.0
98,99,California,4,11,7,11,0,0,98,24.5
99,100,Nevada,4,10,9,9,0,0,96,24.0
100,101,Central Michigan,4,11,5,10,1,1,95,23.8
101,102,Western Kentucky,3,9,2,9,0,0,69,23.0
102,103,Vanderbilt,3,8,4,6,1,0,68,22.7
103,104,BYU,4,9,10,6,0,0,90,22.5
104,104,Arizona State,4,9,9,9,0,0,90,22.5
