,Rank,Name,G,Fum. Gain,Int. Gain,Total Gain,Fum. Lost,Int. Lost,Total Lost,Margin,Margin/G
0,1,Boston College,4,3,7,10,0,1,1,9,2.25
1,2,Alabama,4,5,5,10,1,1,2,8,2.00
2,2,South Florida,3,7,4,11,3,2,5,6,2.00
3,2,Wisconsin,3,3,5,8,2,0,2,6,2.00
4,5,Colorado,4,6,5,11,2,2,4,7,1.75
5,6,Arizona,3,2,8,10,1,4,5,5,1.67
6,6,Notre Dame,3,5,3,8,1,2,3,5,1.67
7,6,Appalachian State,3,3,3,6,0,1,1,5,1.67
8,6,Iowa,3,3,3,6,1,0,1,5,1.67
9,10,Miami (Florida),4,5,3,8,2,0,2,6,1.50
10,10,Oregon,4,2,6,8,2,0,2,6,1.50
11,12,San Jose State,3,0,7,7,2,1,3,4,1.33
12,12,Maryland,3,4,2,6,0,2,2,4,1.33
13,14,Michigan State,4,3,6,9,3,1,4,5,1.25
14,14,Wyoming,4,4,3,7,1,1,2,5,1.25
15,14,Utah,4,2,5,7,2,0,2,5,1.25
16,17,Mississippi State,4,7,4,11,4,3,7,4,1.00
17,17,Illinois,4,7,3,10,3,3,6,4,1.00
18,17,Tulane,4,3,5,8,2,2,4,4,1.00
19,17,San Diego State,4,4,3,7,1,2,3,4,1.00
20,17,Toledo,3,2,3,5,1,1,2,3,1.00
21,17,Oklahoma,3,1,4,5,2,0,2,3,1.00
22,17,Oregon State,3,2,2,4,0,1,1,3,1.00
23,24,Syracuse,4,5,6,11,4,4,8,3,0.75
24,24,Florida State,4,4,4,8,3,2,5,3,0.75
25,24,Florida Atlantic,4,5,2,7,2,2,4,3,0.75
26,24,Ohio State,4,3,4,7,4,0,4,3,0.75
27,24,Arizona State,4,5,1,6,2,1,3,3,0.75
28,24,North Carolina State,4,2,3,5,0,2,2,3,0.75
29,30,Kansas State,3,3,3,6,4,0,4,2,0.67
30,30,Old Dominion,3,3,2,5,0,3,3,2,0.67
31,32,Washington State,4,7,3,10,4,4,8,2,0.50
32,32,Army,4,6,4,10,7,1,8,2,0.50
33,32,SMU,4,5,3,8,2,4,6,2,0.50
34,32,Eastern Michigan,4,3,5,8,2,4,6,2,0.50
35,32,Mississippi,4,2,5,7,4,1,5,2,0.50
36,32,North Texas,4,4,2,6,1,3,4,2,0.50
37,32,Washington,4,2,4,6,2,2,4,2,0.50
38,32,Georgia,4,2,4,6,3,1,4,2,0.50
39,32,Texas,4,1,5,6,3,1,4,2,0.50
40,32,Wake Forest,4,2,3,5,1,2,3,2,0.50
41,32,Navy,2,2,1,3,2,0,2,1,0.50
42,43,Fresno State,3,6,2,8,4,3,7,1,0.33
43,43,Louisiana-Monroe,3,2,4,6,2,3,5,1,0.33
44,43,Penn State,3,1,2,3,2,0,2,1,0.33
45,46,Nevada,4,4,6,10,4,5,9,1,0.25
46,46,Florida,4,3,7,10,4,5,9,1,0.25
47,46,Texas State,4,4,5,9,1,7,8,1,0.25
48,46,Tennessee,4,3,6,9,3,5,8,1,0.25
49,46,Louisiana-Lafayette,4,4,4,8,5,2,7,1,0.25
50,46,Missouri,4,2,5,7,3,3,6,1,0.25
51,46,Stanford,4,4,2,6,2,3,5,1,0.25
52,46,Buffalo,4,3,3,6,3,2,5,1,0.25
53,46,West Virginia,4,3,2,5,0,4,4,1,0.25
54,46,Kent State,4,2,3,5,4,0,4,1,0.25
55,46,Florida International,4,1,4,5,2,2,4,1,0.25
56,46,Rice,4,3,0,3,2,0,2,1,0.25
57,58,Arkansas,4,4,4,8,2,6,8,0,0.00
58,58,Clemson,4,3,5,8,2,6,8,0,0.00
59,58,Kentucky,4,3,5,8,4,4,8,0,0.00
60,58,Ball State,4,2,6,8,4,4,8,0,0.00
61,58,Western Michigan,4,4,3,7,4,3,7,0,0.00
62,58,Georgia Tech,3,3,3,6,3,3,6,0,0.00
63,58,Miami (Ohio),4,3,3,6,4,2,6,0,0.00
64,58,Minnesota,3,3,3,6,4,2,6,0,0.00
65,58,Liberty,4,2,4,6,3,3,6,0,0.00
66,58,Coastal Carolina,4,1,5,6,1,5,6,0,0.00
67,58,BYU,4,1,5,6,3,3,6,0,0.00
68,58,Cincinnati,3,3,2,5,2,3,5,0,0.00
69,58,California,4,3,2,5,3,2,5,0,0.00
70,58,Houston,4,3,2,5,3,2,5,0,0.00
71,58,Tulsa,4,3,1,4,3,1,4,0,0.00
72,58,LSU,4,2,2,4,1,3,4,0,0.00
73,58,Vanderbilt,3,2,2,4,1,3,4,0,0.00
74,58,Middle Tennessee,3,2,2,4,2,2,4,0,0.00
75,58,Memphis,3,2,2,4,2,2,4,0,0.00
76,58,Marshall,3,2,2,4,2,2,4,0,0.00
77,58,Arkansas State,4,1,3,4,2,2,4,0,0.00
78,58,Baylor,3,2,1,3,3,0,3,0,0.00
79,58,UCF,4,1,2,3,1,2,3,0,0.00
80,58,Troy,3,1,1,2,1,1,2,0,0.00
81,82,Nebraska,4,4,6,10,9,2,11,-1,-0.25
82,82,UCLA,4,5,3,8,4,5,9,-1,-0.25
83,82,Texas A&M,4,1,5,6,4,3,7,-1,-0.25
84,82,Louisiana Tech,4,3,2,5,2,4,6,-1,-0.25
85,82,Boise State,4,3,2,5,3,3,6,-1,-0.25
86,82,Oklahoma State,4,2,3,5,3,3,6,-1,-0.25
87,82,Massachusetts,4,1,4,5,0,6,6,-1,-0.25
88,82,Bowling Green,4,3,1,4,1,4,5,-1,-0.25
89,82,East Carolina,4,1,3,4,2,3,5,-1,-0.25
90,82,North Carolina,4,0,4,4,3,2,5,-1,-0.25
91,82,Auburn,4,2,1,3,2,2,4,-1,-0.25
92,82,Pittsburgh,4,0,2,2,1,2,3,-1,-0.25
93,94,Connecticut,3,3,2,5,2,4,6,-1,-0.33
94,94,TCU,3,0,5,5,5,1,6,-1,-0.33
95,94,UAB,3,3,1,4,2,3,5,-1,-0.33
96,94,UTEP,3,2,2,4,1,4,5,-1,-0.33
97,94,Georgia Southern,3,2,2,4,5,0,5,-1,-0.33
98,94,Northern Illinois,3,2,1,3,1,3,4,-1,-0.33
99,94,Utah State,3,1,2,3,1,3,4,-1,-0.33
100,94,Texas Tech,3,1,2,3,1,3,4,-1,-0.33
101,102,South Alabama,4,4,5,9,5,6,11,-2,-0.50
102,102,Charlotte,4,2,2,4,1,5,6,-2,-0.50
103,102,Virginia,4,0,4,4,1,5,6,-2,-0.50
104,102,Indiana,4,1,2,3,1,4,5,-2,-0.50
105,106,Northwestern,3,5,1,6,2,6,8,-2,-0.67
106,106,Duke,3,3,0,3,2,3,5,-2,-0.67
107,106,Air Force,3,1,2,3,3,2,5,-2,-0.67
108,106,Iowa State,3,1,2,3,4,1,5,-2,-0.67
109,110,South Carolina,4,2,4,6,4,5,9,-3,-0.75
110,110,Central Michigan,4,4,1,5,6,2,8,-3,-0.75
111,110,Georgia State,4,2,2,4,4,3,7,-3,-0.75
112,113,New Mexico,3,1,1,2,1,4,5,-3,-1.00
113,113,UNLV,3,1,1,2,3,2,5,-3,-1.00
114,113,Louisville,4,3,0,3,5,2,7,-4,-1.00
115,113,Southern Mississippi,4,1,2,3,3,4,7,-4,-1.00
116,117,USC,4,3,2,5,4,6,10,-5,-1.25
117,117,Akron,4,1,2,3,5,3,8,-5,-1.25
118,119,Michigan,3,3,2,5,7,2,9,-4,-1.33
119,120,Ohio,4,1,1,2,4,4,8,-6,-1.50
120,120,Kansas,4,0,2,2,4,4,8,-6,-1.50
121,122,Temple,3,1,2,3,3,5,8,-5,-1.67
122,122,Western Kentucky,3,1,0,1,2,4,6,-5,-1.67
123,124,UTSA,4,2,1,3,5,5,10,-7,-1.75
124,124,Colorado State,4,2,0,2,6,3,9,-7,-1.75
125,126,Virginia Tech,3,1,2,3,5,4,9,-6,-2.00
126,126,Rutgers,3,0,2,2,2,6,8,-6,-2.00
127,126,Purdue,3,0,2,2,3,5,8,-6,-2.00
128,129,New Mexico State,4,0,2,2,5,6,11,-9,-2.25
129,130,Hawai'i,4,0,3,3,6,9,15,-12,-3.00
